"sim_number","generation","diameter","experiment","experiment_name"
1,0,11,"slow_first_div","Slow First Division"
1,1,11,"slow_first_div","Slow First Division"
1,2,11,"slow_first_div","Slow First Division"
1,3,11,"slow_first_div","Slow First Division"
1,4,11,"slow_first_div","Slow First Division"
1,5,11,"slow_first_div","Slow First Division"
1,6,11,"slow_first_div","Slow First Division"
1,7,11,"slow_first_div","Slow First Division"
1,8,12,"slow_first_div","Slow First Division"
1,9,12,"slow_first_div","Slow First Division"
1,10,11,"slow_first_div","Slow First Division"
1,11,11,"slow_first_div","Slow First Division"
1,12,11,"slow_first_div","Slow First Division"
1,13,12,"slow_first_div","Slow First Division"
1,14,11,"slow_first_div","Slow First Division"
1,15,11,"slow_first_div","Slow First Division"
1,16,12,"slow_first_div","Slow First Division"
1,17,11,"slow_first_div","Slow First Division"
1,18,11,"slow_first_div","Slow First Division"
1,19,12,"slow_first_div","Slow First Division"
1,20,11,"slow_first_div","Slow First Division"
1,21,12,"slow_first_div","Slow First Division"
1,22,11,"slow_first_div","Slow First Division"
1,23,11,"slow_first_div","Slow First Division"
1,24,12,"slow_first_div","Slow First Division"
1,25,11,"slow_first_div","Slow First Division"
1,26,11,"slow_first_div","Slow First Division"
1,27,11,"slow_first_div","Slow First Division"
1,28,11,"slow_first_div","Slow First Division"
1,29,11,"slow_first_div","Slow First Division"
1,30,11,"slow_first_div","Slow First Division"
1,31,12,"slow_first_div","Slow First Division"
1,32,11,"slow_first_div","Slow First Division"
1,33,11,"slow_first_div","Slow First Division"
1,34,12,"slow_first_div","Slow First Division"
1,35,12,"slow_first_div","Slow First Division"
1,36,11,"slow_first_div","Slow First Division"
1,37,11,"slow_first_div","Slow First Division"
1,38,13,"slow_first_div","Slow First Division"
1,39,11,"slow_first_div","Slow First Division"
1,40,11,"slow_first_div","Slow First Division"
1,41,11,"slow_first_div","Slow First Division"
1,42,12,"slow_first_div","Slow First Division"
1,43,11,"slow_first_div","Slow First Division"
1,44,12,"slow_first_div","Slow First Division"
