"sim_number","number_divisions","minutes","experiment","experiment_name"
1,2,92.4533,"slow_first_div","Slow First Division"
1,1,129.3999,"slow_first_div","Slow First Division"
1,3,86.3589,"slow_first_div","Slow First Division"
1,1,130.0619,"slow_first_div","Slow First Division"
1,2,95.2477,"slow_first_div","Slow First Division"
1,1,124.8803,"slow_first_div","Slow First Division"
1,4,78.9661,"slow_first_div","Slow First Division"
1,1,118.259,"slow_first_div","Slow First Division"
1,2,80.5825,"slow_first_div","Slow First Division"
1,1,125.0678,"slow_first_div","Slow First Division"
1,3,97.5933,"slow_first_div","Slow First Division"
1,1,125.252,"slow_first_div","Slow First Division"
1,2,93.8428,"slow_first_div","Slow First Division"
1,1,97.6592,"slow_first_div","Slow First Division"
1,5,88.6542,"slow_first_div","Slow First Division"
1,1,116.623,"slow_first_div","Slow First Division"
1,2,114.5529,"slow_first_div","Slow First Division"
1,1,118.5435,"slow_first_div","Slow First Division"
1,3,88.7156,"slow_first_div","Slow First Division"
1,1,113.5827,"slow_first_div","Slow First Division"
1,4,95.9127,"slow_first_div","Slow First Division"
1,1,124.7412,"slow_first_div","Slow First Division"
1,6,88.3636,"slow_first_div","Slow First Division"
1,1,101.4166,"slow_first_div","Slow First Division"
1,2,93.8793,"slow_first_div","Slow First Division"
1,1,117.7911,"slow_first_div","Slow First Division"
1,3,106.4308,"slow_first_div","Slow First Division"
1,1,111.1319,"slow_first_div","Slow First Division"
1,2,99.1806,"slow_first_div","Slow First Division"
1,1,120.1706,"slow_first_div","Slow First Division"
1,2,88.584,"slow_first_div","Slow First Division"
1,1,128.9533,"slow_first_div","Slow First Division"
1,2,86.9252,"slow_first_div","Slow First Division"
1,1,132.6131,"slow_first_div","Slow First Division"
1,4,92.3128,"slow_first_div","Slow First Division"
1,1,110.5682,"slow_first_div","Slow First Division"
1,3,93.3657,"slow_first_div","Slow First Division"
1,1,142.6115,"slow_first_div","Slow First Division"
1,2,80.9927,"slow_first_div","Slow First Division"
1,1,123.4053,"slow_first_div","Slow First Division"
1,2,91.6709,"slow_first_div","Slow First Division"
1,1,124.5856,"slow_first_div","Slow First Division"
