"sim_number","diameter","cases_mother_with_undivided_cells","strain"
1,13,21,"Petite"
2,13,18,"Petite"
3,13,14,"Petite"
4,14,20,"Petite"
5,14,13,"Petite"
6,13,10,"Petite"
7,14,11,"Petite"
8,15,14,"Petite"
9,14,12,"Petite"
10,13,16,"Petite"
11,13,21,"Petite"
12,14,16,"Petite"
13,13,14,"Petite"
14,14,17,"Petite"
15,14,15,"Petite"
16,12,22,"Petite"
17,14,18,"Petite"
18,12,19,"Petite"
19,12,19,"Petite"
20,15,16,"Petite"
21,14,16,"Petite"
22,13,15,"Petite"
23,14,21,"Petite"
24,13,22,"Petite"
25,13,13,"Petite"
26,14,17,"Petite"
27,13,20,"Petite"
28,14,21,"Petite"
29,12,15,"Petite"
30,14,20,"Petite"
31,13,14,"Petite"
32,13,16,"Petite"
33,13,13,"Petite"
34,15,12,"Petite"
35,14,11,"Petite"
36,13,16,"Petite"
37,14,21,"Petite"
38,12,13,"Petite"
39,14,14,"Petite"
40,13,15,"Petite"
41,13,17,"Petite"
42,12,12,"Petite"
43,12,18,"Petite"
44,14,20,"Petite"
45,14,12,"Petite"
46,13,17,"Petite"
47,13,18,"Petite"
48,13,20,"Petite"
49,13,20,"Petite"
50,12,24,"Petite"
51,14,19,"Petite"
52,13,13,"Petite"
53,13,19,"Petite"
54,13,17,"Petite"
55,13,19,"Petite"
56,13,14,"Petite"
57,13,26,"Petite"
58,13,20,"Petite"
59,15,17,"Petite"
60,14,24,"Petite"
61,14,24,"Petite"
62,14,14,"Petite"
63,13,21,"Petite"
64,13,21,"Petite"
65,13,15,"Petite"
66,14,27,"Petite"
67,14,22,"Petite"
68,13,19,"Petite"
69,13,17,"Petite"
70,13,21,"Petite"
71,13,19,"Petite"
72,14,17,"Petite"
73,13,17,"Petite"
74,14,19,"Petite"
75,13,26,"Petite"
76,13,18,"Petite"
77,13,13,"Petite"
78,12,18,"Petite"
79,14,18,"Petite"
80,13,14,"Petite"
81,13,18,"Petite"
82,14,21,"Petite"
83,13,17,"Petite"
84,14,14,"Petite"
85,12,12,"Petite"
86,15,12,"Petite"
87,14,21,"Petite"
88,13,18,"Petite"
89,12,19,"Petite"
90,13,18,"Petite"
91,14,13,"Petite"
92,13,17,"Petite"
93,13,13,"Petite"
94,14,18,"Petite"
95,13,12,"Petite"
96,13,17,"Petite"
97,14,20,"Petite"
98,13,19,"Petite"
99,13,12,"Petite"
100,13,16,"Petite"
101,13,18,"Petite"
102,14,15,"Petite"
103,12,12,"Petite"
104,14,14,"Petite"
105,14,19,"Petite"
106,12,11,"Petite"
107,13,22,"Petite"
108,12,21,"Petite"
109,13,12,"Petite"
110,13,12,"Petite"
111,12,22,"Petite"
112,14,16,"Petite"
113,12,17,"Petite"
114,13,20,"Petite"
115,14,18,"Petite"
116,13,10,"Petite"
117,12,21,"Petite"
118,14,14,"Petite"
119,13,19,"Petite"
120,12,27,"Petite"
121,12,21,"Petite"
122,13,14,"Petite"
123,13,19,"Petite"
124,12,16,"Petite"
125,13,12,"Petite"
126,13,23,"Petite"
127,14,22,"Petite"
128,15,22,"Petite"
129,13,15,"Petite"
130,12,11,"Petite"
131,13,21,"Petite"
132,13,25,"Petite"
133,13,12,"Petite"
134,13,15,"Petite"
135,13,18,"Petite"
136,13,18,"Petite"
137,12,13,"Petite"
138,14,15,"Petite"
139,13,17,"Petite"
140,12,18,"Petite"
141,13,17,"Petite"
142,13,14,"Petite"
143,14,24,"Petite"
144,12,21,"Petite"
145,14,19,"Petite"
146,13,19,"Petite"
147,12,20,"Petite"
148,13,23,"Petite"
149,12,20,"Petite"
150,13,17,"Petite"
151,13,20,"Petite"
152,14,19,"Petite"
153,14,14,"Petite"
154,13,17,"Petite"
155,13,17,"Petite"
156,14,18,"Petite"
157,14,17,"Petite"
158,14,20,"Petite"
159,12,15,"Petite"
160,13,19,"Petite"
161,13,17,"Petite"
162,12,18,"Petite"
163,12,18,"Petite"
164,14,14,"Petite"
165,13,17,"Petite"
166,13,19,"Petite"
167,12,13,"Petite"
168,13,19,"Petite"
169,12,16,"Petite"
170,12,17,"Petite"
171,14,14,"Petite"
172,13,22,"Petite"
173,12,18,"Petite"
174,13,12,"Petite"
175,14,18,"Petite"
176,13,17,"Petite"
177,13,15,"Petite"
178,13,11,"Petite"
179,13,22,"Petite"
180,14,16,"Petite"
181,12,22,"Petite"
182,14,18,"Petite"
183,13,20,"Petite"
184,12,17,"Petite"
185,13,14,"Petite"
186,13,12,"Petite"
187,13,17,"Petite"
188,13,22,"Petite"
189,13,16,"Petite"
190,14,18,"Petite"
191,13,19,"Petite"
192,13,25,"Petite"
193,13,13,"Petite"
194,13,18,"Petite"
195,13,11,"Petite"
196,13,18,"Petite"
197,14,16,"Petite"
198,13,23,"Petite"
199,12,13,"Petite"
200,12,20,"Petite"
201,13,23,"Petite"
202,14,22,"Petite"
203,14,15,"Petite"
204,13,16,"Petite"
205,13,18,"Petite"
206,13,13,"Petite"
207,13,17,"Petite"
208,12,20,"Petite"
209,13,12,"Petite"
210,15,16,"Petite"
211,15,18,"Petite"
212,13,21,"Petite"
213,13,19,"Petite"
214,12,17,"Petite"
215,14,18,"Petite"
216,14,20,"Petite"
217,13,17,"Petite"
218,14,18,"Petite"
219,12,11,"Petite"
220,13,17,"Petite"
221,13,18,"Petite"
222,13,12,"Petite"
223,14,10,"Petite"
224,14,21,"Petite"
225,13,16,"Petite"
226,14,20,"Petite"
227,13,13,"Petite"
228,12,21,"Petite"
229,14,14,"Petite"
230,14,21,"Petite"
231,13,19,"Petite"
232,12,14,"Petite"
233,13,22,"Petite"
234,12,15,"Petite"
235,13,23,"Petite"
236,13,20,"Petite"
237,13,17,"Petite"
238,12,12,"Petite"
239,14,24,"Petite"
240,13,18,"Petite"
241,12,15,"Petite"
242,13,18,"Petite"
243,13,15,"Petite"
244,13,19,"Petite"
245,12,20,"Petite"
246,13,18,"Petite"
247,12,15,"Petite"
248,13,17,"Petite"
249,14,13,"Petite"
250,13,15,"Petite"
251,13,18,"Petite"
252,13,19,"Petite"
253,13,19,"Petite"
254,14,20,"Petite"
255,12,20,"Petite"
256,13,26,"Petite"
257,13,18,"Petite"
258,13,23,"Petite"
259,13,21,"Petite"
260,12,19,"Petite"
261,13,20,"Petite"
262,13,14,"Petite"
263,13,19,"Petite"
264,13,17,"Petite"
265,12,18,"Petite"
266,13,17,"Petite"
267,13,16,"Petite"
268,13,15,"Petite"
269,11,12,"Petite"
270,12,14,"Petite"
271,13,18,"Petite"
272,13,18,"Petite"
273,14,24,"Petite"
274,12,19,"Petite"
275,13,15,"Petite"
276,14,19,"Petite"
277,14,20,"Petite"
278,14,16,"Petite"
279,13,21,"Petite"
280,13,16,"Petite"
281,13,17,"Petite"
282,13,16,"Petite"
283,13,27,"Petite"
284,13,20,"Petite"
285,12,16,"Petite"
286,12,18,"Petite"
287,12,17,"Petite"
288,13,24,"Petite"
289,12,12,"Petite"
290,13,22,"Petite"
291,13,21,"Petite"
292,14,12,"Petite"
293,13,24,"Petite"
294,14,17,"Petite"
295,11,26,"Petite"
296,13,15,"Petite"
297,14,17,"Petite"
298,14,18,"Petite"
299,13,18,"Petite"
300,12,13,"Petite"
1,14,5,"Grande"
2,15,4,"Grande"
3,14,6,"Grande"
4,14,8,"Grande"
5,15,3,"Grande"
6,13,5,"Grande"
7,14,4,"Grande"
8,13,2,"Grande"
9,14,4,"Grande"
10,14,4,"Grande"
11,14,6,"Grande"
12,15,10,"Grande"
13,14,4,"Grande"
14,15,7,"Grande"
15,14,5,"Grande"
16,15,8,"Grande"
17,14,3,"Grande"
18,15,13,"Grande"
19,14,5,"Grande"
20,14,6,"Grande"
21,15,5,"Grande"
22,14,5,"Grande"
23,14,2,"Grande"
