"date","strain","image_num","replicate","Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Ch","AR","Round","Solidity"
"2024may23","petite","001","1",18.53341,1422.08653,356.94581,1059,3430,18.4319,4.11576,16.52125,5.66347,4.16661,127.37367,0.85326,26356.11182,1306,100,4930374,1,1.35925,0.7357,0.98986
"2024may23","petite","001","1",16.81745,1168.96885,214.10499,983,3229,61.06374,6.22569,15.47991,4.94093,4.33373,132.99222,0.88193,19659.07744,1127,100,3677576,1,1.14011,0.87711,0.98729
"2024may23","petite","001","1",17.30925,1172.27363,228.11692,974,2839,20.19794,9.50688,15.69406,5.03176,4.37995,110.80829,0.88312,20291.18056,1119,100,3795822,1,1.14882,0.87046,0.98569
"2024may23","petite","001","1",15.71625,1723.8966,610.80445,1320,5103,350.21005,28.73237,15.6084,5.31473,3.76511,72.73346,0.81067,27093.18235,1513,100,5068256,1,1.41157,0.70843,0.97967
"2024may23","petite","001","1",17.45893,1928.90906,687.89239,1443,4940,345.22331,29.38497,15.96877,5.17081,4.29902,127.88396,0.86037,33676.69091,1658,100,6299817,1,1.20279,0.8314,0.9827
"2024may23","petite","001","1",15.60933,1986.325,1229.3094,1120,9082,296.47863,30.15856,15.38386,4.8311,4.11385,134.95415,0.82883,31005.20713,1604,100,5800069,1,1.17435,0.85154,0.97252
"2024may23","petite","001","1",19.36733,2003.87331,569.98265,1482,5015,348.67686,34.06729,16.81371,5.54561,4.44662,110.08174,0.8609,38809.68088,1786,100,7260033,1,1.24715,0.80183,0.98251
"2024may23","petite","001","1",16.90298,2347.05566,1431.55761,1407,9314,299.30531,33.94304,15.59066,4.75445,4.52661,155.07564,0.87386,39672.24082,1771,100,7421390,1,1.05033,0.95208,0.98321
"2024may23","petite","001","1",18.16456,1728.21189,497.49571,1190,4450,174.16632,35.88692,16.40011,5.55432,4.16394,84.79085,0.84867,31392.20632,1559,100,5872464,1,1.33391,0.74967,0.98336
"2024may23","petite","001","1",17.37875,880.92771,165.20382,683,1968,253.18646,35.41453,15.77237,5.10182,4.33714,153.9424,0.87788,15309.41937,831,100,2863896,1,1.17631,0.85012,0.9856
