"Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","group_id","num_cells","date","strain","replicate","image_num"
9571.75315,255,0,255,255,356.33259,106.17921,578.29977,121.50456,100.30187,7.87173,0.35966,2440797.05232,255,100,115851600,1,1.21139,0.8255,0.89123,"2",365,"2025may19","grande","1","001"
5888.61282,255,0,255,255,415.34707,223.85079,411.13245,99.04604,75.69828,105.8252,0.43778,1501596.26897,255,100,71272755,1,1.30843,0.76427,0.88898,"3",209,"2025may19","grande","1","001"
66.82867,255,0,255,255,322.04854,207.29574,31.56709,10.09115,8.43203,76.01116,0.84276,17041.31064,255,100,808860,1,1.19676,0.83559,0.94517,"4",1,"2025may19","grande","1","001"
52.88145,255,0,255,255,655.60161,220.73258,29.52042,8.87952,7.5827,50.09929,0.76255,13484.76977,255,100,640050,1,1.17102,0.85395,0.91206,"5",1,"2025may19","grande","1","001"
8619.10752,255,0,255,255,420.00195,357.58314,555.5971,109.02046,100.66174,73.03644,0.35087,2197872.41701,255,100,104321265,1,1.08304,0.92333,0.85098,"6",338,"2025may19","grande","1","001"
4805.59651,255,0,255,255,558.87745,348.66732,388.1028,81.71334,74.87976,133.94091,0.40093,1225427.10963,255,100,58164480,1,1.09126,0.91637,0.87284,"7",161,"2025may19","grande","1","001"
89.32962,255,0,255,255,277.35616,329.45687,39.09172,13.39773,8.48935,93.1266,0.73457,22779.05331,255,100,1081200,1,1.57818,0.63364,0.91825,"8",2,"2025may19","grande","1","001"
6730.83945,255,0,255,255,134.12011,372.54877,485.8444,101.38218,84.53133,19.06292,0.35833,1716364.06032,255,100,81466635,1,1.19934,0.83379,0.87137,"9",248,"2025may19","grande","1","001"
223.72435,255,0,255,255,269.14826,354.848,67.26026,20.33223,14.01001,77.3601,0.62145,57049.70923,255,100,2707845,1,1.45126,0.68905,0.89851,"10",4,"2025may19","grande","1","001"
167.70372,255,0,255,255,108.79123,411.58109,54.28436,15.62578,13.66505,98.84105,0.71516,42764.44915,255,100,2029800,1,1.14348,0.87452,0.93598,"11",3,"2025may19","grande","1","001"
