"date","strain","image_num","replicate","Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","volume"
"2024may23","petite","001","1",1279.50528,255,0,255,255,8356.8427,101.8815,182.71779,44.3288,36.75075,70.16112,0.4816,326273.84528,255,100,624240,1,1.2062,0.82905,0.85729,45609.6297839396
"2024may23","petite","001","1",1148.31417,255,0,255,255,9121.91422,173.59326,223.19118,41.33315,35.37303,155.31171,0.28968,292820.1136,255,100,560235,1,1.16849,0.8558,0.78802,36973.8040027732
"2024may23","petite","001","1",860.32095,255,0,255,255,7980.31118,266.47905,167.90771,39.13594,27.98948,161.96479,0.38347,219381.84205,255,100,419730,1,1.39824,0.71519,0.77678,31385.2744641111
"2024may23","petite","001","1",2358.30384,255,0,255,255,9748.37952,289.78782,300.76242,61.48517,48.83594,179.53716,0.32761,601367.47954,255,100,1150560,1,1.25901,0.79427,0.84828,121705.374416652
"2024may23","petite","001","1",1875.35332,255,0,255,255,6345.01737,291.03322,228.62404,50.5722,47.21515,123.44429,0.45087,478215.09676,255,100,914940,1,1.0711,0.93362,0.86635,67722.6841335293
"2024may23","petite","001","1",166.21024,255,0,255,255,6888.40932,364.91836,63.85625,15.9081,13.303,170.41839,0.51223,42383.61225,255,100,81090,1,1.19583,0.83624,0.84574,2107.91725708657
"2024may23","petite","001","1",1651.64897,255,0,255,255,10314.12039,523.66867,253.41025,49.95419,42.09747,27.96059,0.32321,421170.48656,255,100,805800,1,1.18663,0.84272,0.85614,65270.1162703357
"2024may23","petite","001","1",903.18019,255,0,255,255,9601.82641,531.21834,142.44991,39.03098,29.46287,23.12425,0.55932,230310.94961,255,100,440640,1,1.32475,0.75486,0.86943,31133.4314152006
"2024may23","petite","001","1",1234.55534,255,0,255,255,7378.2035,550.85218,192.44585,41.42758,37.94295,154.01247,0.41889,314811.61052,255,100,602310,1,1.09184,0.91589,0.83848,37227.7952141324
"2024may23","petite","001","1",1644.33153,255,0,255,255,9420.74181,577.20753,207.67943,51.66564,40.52263,35.21568,0.47908,419304.54137,255,100,802230,1,1.27498,0.78432,0.86583,72211.116984259
