LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,minutes,FIRST,LAST,d1_id,d1_minutes,d2_id,d2_minutes,diff_minutes,mother_id,mother_minutes,daughter_id,daughter_minutes,date,strain,timepoint,strain_timepoint,complete_id,id_file
Track_63: ID10496 → ID10520,63,0,2,40.0,10496,10520,10508,90,14680,85,5,10508,90,14680,85,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_106: ID10543 → ID10570,106,0,2,30.0,10543,10570,15338,95,10581,95,0,10581,95,15338,95,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_15: ID10883 → ID11068,15,0,2,30.0,10883,11068,10914,100,15633,95,5,10914,100,15633,95,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID10508 → ID10582,63,1,2,90.0,10508,10582,14738,90,10587,90,0,10587,90,14738,90,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_106: ID10581 → ID10689,106,1,2,95.0,10581,10689,15357,75,10703,85,10,10703,85,15357,75,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID10583 → ID10712,63,1,2,90.0,10583,10712,10710,85,14785,85,0,10710,85,14785,85,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID10726 → ID10963,63,1,2,95.0,10726,10963,11018,95,14805,95,0,11018,95,14805,95,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID11025 → ID11220,63,1,2,90.0,11025,11220,11429,80,14854,85,5,11429,80,14854,85,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID11447 → ID11686,63,1,2,95.0,11447,11686,14898,95,11752,110,15,11752,110,14898,95,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
Track_63: ID11758 → ID12089,63,1,2,105.0,11758,12089,14921,95,12075,90,5,12075,90,14921,95,2023jan12,PA3,t400,PA3_t400,PA3_t400_6_2023jan12,2023jan12_pa3-t400_6
