sim_number,strain,num_clusters,time,transfer,number_cells,total_clusters,total_cells
37,petite,509,50,1,50557,842,101778
37,second,333,50,1,51221,842,101778
37,petite,534,75,1,52024,892,106485
37,second,358,75,1,54461,892,106485
37,petite,540,80,1,52478,905,107979
37,second,365,80,1,55501,905,107979
37,petite,540,85,1,52905,905,108406
37,second,365,85,1,55501,905,108406
37,petite,567,90,1,54553,949,113130
37,second,382,90,1,58577,949,113130
37,petite,567,95,1,55337,950,113914
37,second,383,95,1,58577,950,113914
37,petite,568,100,1,55930,951,114545
37,second,383,100,1,58615,951,114545
37,petite,604,105,1,58613,1016,121354
37,second,412,105,1,62741,1016,121354
37,petite,669,110,1,63910,1139,134978
37,second,470,110,1,71068,1139,134978
37,petite,691,115,1,66787,1182,141006
37,second,491,115,1,74219,1182,141006
37,petite,734,120,1,70218,1253,149834
37,second,519,120,1,79616,1253,149834
37,petite,752,125,1,72868,1286,154875
37,second,534,125,1,82007,1286,154875
37,petite,770,130,1,75210,1319,159430
37,second,549,130,1,84220,1319,159430
37,petite,803,135,1,77760,1378,165091
37,second,575,135,1,87331,1378,165091
37,petite,845,140,1,80913,1453,172564
37,second,608,140,1,91651,1453,172564
37,petite,864,145,1,83065,1485,176805
37,second,621,145,1,93740,1485,176805
37,petite,877,150,1,85514,1502,180652
37,second,625,150,1,95138,1502,180652
37,petite,884,155,1,86822,1509,182586
37,second,625,155,1,95764,1509,182586
37,petite,899,160,1,88359,1540,185871
37,second,641,160,1,97512,1540,185871
37,petite,906,165,1,89696,1554,188282
37,second,648,165,1,98586,1554,188282
37,petite,935,170,1,92195,1601,193585
37,second,666,170,1,101390,1601,193585
37,petite,936,175,1,93670,1606,195257
37,second,670,175,1,101587,1606,195257
37,petite,953,180,1,95265,1638,198557
37,second,685,180,1,103292,1638,198557
37,petite,976,185,1,96894,1681,202939
37,second,705,185,1,106045,1681,202939
37,petite,998,190,1,99257,1722,208182
37,second,724,190,1,108925,1722,208182
37,petite,1020,195,1,100826,1759,212675
37,second,739,195,1,111849,1759,212675
37,petite,1035,200,1,102741,1786,217838
37,second,751,200,1,115097,1786,217838
37,petite,1039,205,1,104534,1798,221132
37,second,759,205,1,116598,1798,221132
37,petite,1052,210,1,106479,1825,226193
37,second,773,210,1,119714,1825,226193
37,petite,1090,215,1,110054,1900,235313
37,second,810,215,1,125259,1900,235313
37,petite,1152,220,1,113328,1999,244175
37,second,847,220,1,130847,1999,244175
37,petite,1211,225,1,117259,2097,254256
37,second,886,225,1,136997,2097,254256
37,petite,1253,230,1,121076,2160,264049
37,second,907,230,1,142973,2160,264049
37,petite,1284,235,1,124644,2230,272326
37,second,946,235,1,147682,2230,272326
37,petite,1322,240,1,128126,2298,280675
37,second,976,240,1,152549,2298,280675
37,petite,1368,245,1,132220,2387,290523
37,second,1019,245,1,158303,2387,290523
37,petite,1418,250,1,136476,2483,300970
37,second,1065,250,1,164494,2483,300970
37,petite,1462,255,1,140746,2567,310207
37,second,1105,255,1,169461,2567,310207
37,petite,1513,260,1,145064,2662,319726
37,second,1149,260,1,174662,2662,319726
37,petite,1549,265,1,148873,2731,327584
37,second,1182,265,1,178711,2731,327584
37,petite,1587,270,1,152727,2797,335537
37,second,1210,270,1,182810,2797,335537
37,petite,1635,275,1,156462,2865,343709
37,second,1230,275,1,187247,2865,343709
37,petite,1683,280,1,160671,2958,352872
37,second,1275,280,1,192201,2958,352872
37,petite,1708,285,1,164719,3002,360412
37,second,1294,285,1,195693,3002,360412
37,petite,1742,290,1,168717,3068,369036
37,second,1326,290,1,200319,3068,369036
37,petite,1774,295,1,172610,3140,377296
37,second,1366,295,1,204686,3140,377296
37,petite,1816,300,1,176779,3221,386865
37,second,1405,300,1,210086,3221,386865
37,petite,1853,305,1,180886,3294,396783
37,second,1441,305,1,215897,3294,396783
37,petite,1904,310,1,185140,3373,406699
37,second,1469,310,1,221559,3373,406699
37,petite,1939,315,1,189294,3441,416102
37,second,1502,315,1,226808,3441,416102
37,petite,1980,320,1,193794,3522,427063
37,second,1542,320,1,233269,3522,427063
37,petite,2025,325,1,198559,3615,439240
37,second,1590,325,1,240681,3615,439240
37,petite,2076,330,1,203657,3708,452501
37,second,1632,330,1,248844,3708,452501
37,petite,2148,335,1,209132,3824,466859
37,second,1676,335,1,257727,3824,466859
37,petite,2209,340,1,214819,3944,481470
37,second,1735,340,1,266651,3944,481470
37,petite,2296,345,1,220555,4077,495511
37,second,1781,345,1,274956,4077,495511
37,petite,2352,350,1,226361,4189,510313
37,second,1837,350,1,283952,4189,510313
37,petite,2420,355,1,232658,4326,526144
37,second,1906,355,1,293486,4326,526144
37,petite,2491,360,1,239035,4466,542453
37,second,1975,360,1,303418,4466,542453
37,petite,2563,365,1,245888,4606,559161
37,second,2043,365,1,313273,4606,559161
37,petite,2635,370,1,252660,4764,575786
37,second,2129,370,1,323126,4764,575786
37,petite,2693,375,1,259424,4896,591533
37,second,2203,375,1,332109,4896,591533
37,petite,2757,380,1,266368,5028,607830
37,second,2271,380,1,341462,5028,607830
37,petite,2839,385,1,273539,5186,624781
37,second,2347,385,1,351242,5186,624781
37,petite,2906,390,1,280837,5313,641554
37,second,2407,390,1,360717,5313,641554
37,petite,2977,395,1,288410,5440,658624
37,second,2463,395,1,370214,5440,658624
37,petite,3029,400,1,295789,5548,675707
37,second,2519,400,1,379918,5548,675707
37,petite,3106,405,1,303507,5681,693049
37,second,2575,405,1,389542,5681,693049
37,petite,3185,410,1,311165,5823,711401
37,second,2638,410,1,400236,5823,711401
37,petite,3270,415,1,319157,5991,730406
37,second,2721,415,1,411249,5991,730406
37,petite,3341,420,1,327293,6120,749732
37,second,2779,420,1,422439,6120,749732
37,petite,3446,425,1,335608,6277,769345
37,second,2831,425,1,433737,6277,769345
37,petite,3501,430,1,344099,6405,789788
37,second,2904,430,1,445689,6405,789788
37,petite,3573,435,1,352736,6576,811266
37,second,3003,435,1,458530,6576,811266
37,petite,3665,440,1,361761,6752,834306
37,second,3087,440,1,472545,6752,834306
37,petite,3753,445,1,371239,6926,858698
37,second,3173,445,1,487459,6926,858698
37,petite,3876,450,1,380983,7142,883620
37,second,3266,450,1,502637,7142,883620
37,petite,3986,455,1,390819,7350,908825
37,second,3364,455,1,518006,7350,908825
37,petite,4100,460,1,400942,7556,934896
37,second,3456,460,1,533954,7556,934896
37,petite,4224,465,1,411429,7783,962131
37,second,3559,465,1,550702,7783,962131
37,petite,4342,470,1,422357,8022,990367
37,second,3680,470,1,568010,8022,990367
37,petite,4463,475,1,433716,8260,1019487
37,second,3797,475,1,585771,8260,1019487
37,petite,4575,480,1,445130,8497,1048527
37,second,3922,480,1,603397,8497,1048527
37,petite,4705,485,1,456925,8746,1078404
37,second,4041,485,1,621479,8746,1078404
37,petite,4818,490,1,469024,8974,1108873
37,second,4156,490,1,639849,8974,1108873
37,petite,4946,495,1,481375,9238,1140115
37,second,4292,495,1,658740,9238,1140115
37,petite,5088,500,1,493865,9496,1171720
37,second,4408,500,1,677855,9496,1171720
37,petite,5219,505,1,506870,9749,1203968
