"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,"petite","second",3699,4165,367504,632626,8330,1265252,264,449,26429,73666,898,147332,"10mill-boot"
37,2,"petite","second",3686,4133,361999,638146,8266,1276292,283,420,29096,70904,840,141808,"10mill-boot"
37,3,"petite","second",3726,4127,366745,633373,8254,1266746,289,416,30441,69652,832,139304,"10mill-boot"
37,4,"petite","second",3622,4215,357908,642113,8430,1284226,281,445,29145,70899,890,141798,"10mill-boot"
37,5,"petite","second",3621,4219,356592,643463,8438,1286926,262,454,27061,73082,908,146164,"10mill-boot"
37,6,"petite","second",3672,4223,360990,639270,8446,1278540,271,430,29031,71042,860,142084,"10mill-boot"
37,7,"petite","second",3752,4142,370853,629170,8284,1258340,312,416,32999,67064,832,134128,"10mill-boot"
37,8,"petite","second",3587,4236,354494,645540,8472,1291080,283,417,30244,69774,834,139548,"10mill-boot"
37,9,"petite","second",3685,4183,365927,634116,8366,1268232,285,440,30291,69758,880,139516,"10mill-boot"
37,10,"petite","second",3762,4159,372587,627443,8318,1254886,312,415,32915,67096,830,134192,"10mill-boot"
37,11,"petite","second",3595,4184,360066,640056,8368,1280112,273,431,28453,71921,862,143842,"10mill-boot"
37,12,"petite","second",3628,4202,358573,641477,8404,1282954,273,445,29040,71192,890,142384,"10mill-boot"
37,13,"petite","second",3764,4177,370417,629646,8354,1259292,265,424,28493,71600,848,143200,"10mill-boot"
37,14,"petite","second",3641,4226,359268,640847,8452,1281694,280,424,30159,69891,848,139782,"10mill-boot"
37,15,"petite","second",3678,4187,367494,632574,8374,1265148,295,414,31357,68684,828,137368,"10mill-boot"
37,16,"petite","second",3603,4162,360373,639792,8324,1279584,269,434,28637,71432,868,142864,"10mill-boot"
37,17,"petite","second",3623,4234,357074,642996,8468,1285992,267,443,28754,71285,886,142570,"10mill-boot"
37,18,"petite","second",3551,4305,349785,650290,8610,1300580,277,432,30199,69970,864,139940,"10mill-boot"
37,19,"petite","second",3605,4228,358404,641603,8456,1283206,272,435,28909,71170,870,142340,"10mill-boot"
37,20,"petite","second",3660,4218,361564,638652,8436,1277304,284,434,30582,69499,868,138998,"10mill-boot"
37,21,"petite","second",3690,4205,361580,638473,8410,1276946,275,425,29422,70726,850,141452,"10mill-boot"
37,22,"petite","second",3666,4249,358191,641905,8498,1283810,276,430,29742,70321,860,140642,"10mill-boot"
37,23,"petite","second",3656,4161,359538,640480,8322,1280960,259,435,27270,72841,870,145682,"10mill-boot"
37,24,"petite","second",3638,4173,365005,635210,8346,1270420,302,409,32588,67598,818,135196,"10mill-boot"
37,25,"petite","second",3616,4236,360245,639932,8472,1279864,299,401,33033,67149,802,134298,"10mill-boot"
37,26,"petite","second",3671,4193,364617,635396,8386,1270792,270,429,29654,70483,858,140966,"10mill-boot"
37,27,"petite","second",3631,4250,357594,642432,8500,1284864,274,438,28920,71127,876,142254,"10mill-boot"
37,28,"petite","second",3584,4274,352000,648170,8548,1296340,294,431,31981,68062,862,136124,"10mill-boot"
37,29,"petite","second",3650,4201,360035,640179,8402,1280358,282,434,29967,70054,868,140108,"10mill-boot"
37,30,"petite","second",3575,4260,355047,645000,8520,1290000,236,453,25054,74968,906,149936,"10mill-boot"
30,1,"petite","second",3715,4228,360072,639945,8456,1279890,272,429,28554,71491,858,142982,"10mill-boot"
30,2,"petite","second",3838,4184,376507,623688,8368,1247376,266,440,27782,72330,880,144660,"10mill-boot"
30,3,"petite","second",3761,4170,369616,630522,8340,1261044,301,420,31614,68503,840,137006,"10mill-boot"
30,4,"petite","second",3762,4234,365438,634570,8468,1269140,272,451,28565,71491,902,142982,"10mill-boot"
30,5,"petite","second",3613,4267,353800,646423,8534,1292846,275,424,29515,70766,848,141532,"10mill-boot"
30,6,"petite","second",3761,4251,362529,637535,8502,1275070,286,462,28319,71774,924,143548,"10mill-boot"
30,7,"petite","second",3751,4211,362956,637089,8422,1274178,283,443,29969,70093,886,140186,"10mill-boot"
30,8,"petite","second",3748,4181,368434,631693,8362,1263386,300,411,33503,66638,822,133276,"10mill-boot"
30,9,"petite","second",3847,4159,373533,626496,8318,1252992,276,442,28671,71438,884,142876,"10mill-boot"
30,10,"petite","second",3762,4164,365415,634612,8328,1269224,291,415,30092,69997,830,139994,"10mill-boot"
30,11,"petite","second",3701,4200,361694,638458,8400,1276916,262,444,27805,72693,888,145386,"10mill-boot"
30,12,"petite","second",3744,4240,366869,633255,8480,1266510,311,415,33243,66794,830,133588,"10mill-boot"
30,13,"petite","second",3653,4191,362064,637982,8382,1275964,282,442,29903,70380,884,140760,"10mill-boot"
30,14,"petite","second",3739,4163,369392,630723,8326,1261446,292,431,31431,68666,862,137332,"10mill-boot"
30,15,"petite","second",3788,4218,364614,635426,8436,1270852,306,425,31344,68828,850,137656,"10mill-boot"
30,16,"petite","second",3678,4224,355601,644474,8448,1288948,253,442,26413,73626,884,147252,"10mill-boot"
30,17,"petite","second",3805,4166,371954,628219,8332,1256438,289,443,30638,69415,886,138830,"10mill-boot"
30,18,"petite","second",3740,4197,364523,635534,8394,1271068,262,429,28635,71373,858,142746,"10mill-boot"
30,19,"petite","second",3833,4161,372166,627927,8322,1255854,288,433,30576,69612,866,139224,"10mill-boot"
30,20,"petite","second",3787,4138,371912,628127,8276,1256254,281,430,29535,70467,860,140934,"10mill-boot"
30,21,"petite","second",3743,4209,364434,635576,8418,1271152,299,418,30292,69723,836,139446,"10mill-boot"
30,22,"petite","second",3714,4210,357563,642524,8420,1285048,262,440,27525,72897,880,145794,"10mill-boot"
30,23,"petite","second",3754,4218,365063,634945,8436,1269890,287,426,30293,69887,852,139774,"10mill-boot"
30,24,"petite","second",3692,4216,363107,637007,8432,1274014,263,437,28308,71935,874,143870,"10mill-boot"
30,25,"petite","second",3796,4127,368589,631422,8254,1262844,314,413,32784,67222,826,134444,"10mill-boot"
30,26,"petite","second",3724,4240,361530,638517,8480,1277034,294,429,31345,68668,858,137336,"10mill-boot"
30,27,"petite","second",3732,4242,360816,639199,8484,1278398,275,433,28638,71587,866,143174,"10mill-boot"
30,28,"petite","second",3841,4126,371986,628061,8252,1256122,334,415,34288,65887,830,131774,"10mill-boot"
30,29,"petite","second",3769,4199,367490,632529,8398,1265058,270,440,28069,71975,880,143950,"10mill-boot"
30,30,"petite","second",3662,4252,360582,639479,8504,1278958,280,436,29647,70403,872,140806,"10mill-boot"
39,1,"petite","second",3757,4102,376293,623709,8204,1247418,293,436,31066,69031,872,138062,"10mill-boot"
39,2,"petite","second",3700,4170,365770,634312,8340,1268624,299,433,30435,69681,866,139362,"10mill-boot"
39,3,"petite","second",3713,4147,370607,629539,8294,1259078,290,435,31002,69120,870,138240,"10mill-boot"
39,4,"petite","second",3764,4097,375029,625023,8194,1250046,304,418,32184,67839,836,135678,"10mill-boot"
39,5,"petite","second",3715,4116,367858,632159,8232,1264318,289,441,30249,69915,882,139830,"10mill-boot"
39,6,"petite","second",3719,4125,373167,626853,8250,1253706,263,428,28928,71115,856,142230,"10mill-boot"
39,7,"petite","second",3736,4118,371563,628518,8236,1257036,277,419,30445,69599,838,139198,"10mill-boot"
39,8,"petite","second",3644,4197,361340,638718,8394,1277436,254,456,27624,72483,912,144966,"10mill-boot"
39,9,"petite","second",3758,4103,373293,626735,8206,1253470,296,427,32814,67359,854,134718,"10mill-boot"
39,10,"petite","second",3750,4151,371830,628183,8302,1256366,255,433,28479,71595,866,143190,"10mill-boot"
39,11,"petite","second",3729,4155,370217,629856,8310,1259712,303,409,32200,67832,818,135664,"10mill-boot"
39,12,"petite","second",3682,4133,366298,633763,8266,1267526,290,403,31791,68459,806,136918,"10mill-boot"
39,13,"petite","second",3753,4068,376088,623929,8136,1247858,273,427,28968,71174,854,142348,"10mill-boot"
39,14,"petite","second",3628,4153,363778,636279,8306,1272558,266,428,29016,71002,856,142004,"10mill-boot"
39,15,"petite","second",3704,4081,370564,629563,8162,1259126,294,415,30749,69403,830,138806,"10mill-boot"
39,16,"petite","second",3727,4096,373858,626161,8192,1252322,271,423,29898,70163,846,140326,"10mill-boot"
39,17,"petite","second",3609,4159,362280,637729,8318,1275458,274,428,28355,71764,856,143528,"10mill-boot"
39,18,"petite","second",3667,4167,364246,635843,8334,1271686,284,422,29462,70671,844,141342,"10mill-boot"
39,19,"petite","second",3592,4201,358090,641939,8402,1283878,293,436,31946,68238,872,136476,"10mill-boot"
39,20,"petite","second",3654,4113,364589,635533,8226,1271066,275,425,30417,69812,850,139624,"10mill-boot"
39,21,"petite","second",3734,4151,370368,629679,8302,1259358,294,427,31890,68166,854,136332,"10mill-boot"
39,22,"petite","second",3637,4215,365004,635008,8430,1270016,279,450,29203,70888,900,141776,"10mill-boot"
39,23,"petite","second",3782,4072,376834,623193,8144,1246386,314,393,34995,65280,786,130560,"10mill-boot"
39,24,"petite","second",3768,4088,377077,622957,8176,1245914,319,400,33619,66538,800,133076,"10mill-boot"
39,25,"petite","second",3652,4138,365069,634975,8276,1269950,253,438,26912,73530,876,147060,"10mill-boot"
39,26,"petite","second",3643,4219,361184,638860,8438,1277720,278,432,29514,70522,864,141044,"10mill-boot"
39,27,"petite","second",3771,4111,369304,630779,8222,1261558,289,426,29875,70160,852,140320,"10mill-boot"
39,28,"petite","second",3709,4090,370054,630057,8180,1260114,292,426,31774,68279,852,136558,"10mill-boot"
39,29,"petite","second",3675,4188,367886,632192,8376,1264384,280,430,30557,69541,860,139082,"10mill-boot"
39,30,"petite","second",3717,4135,371896,628515,8270,1257030,277,452,29068,70966,904,141932,"10mill-boot"
4,1,"petite","second",3722,4181,363673,636331,8362,1272662,307,423,33146,67091,846,134182,"10mill-boot"
4,2,"petite","second",3809,4173,371527,628503,8346,1257006,282,448,28961,71042,896,142084,"10mill-boot"
4,3,"petite","second",3756,4160,366944,633113,8320,1266226,293,424,30145,69867,848,139734,"10mill-boot"
4,4,"petite","second",3767,4147,366561,633486,8294,1266972,295,419,31083,68950,838,137900,"10mill-boot"
4,5,"petite","second",3732,4147,365099,635037,8294,1270074,279,427,29621,70508,854,141016,"10mill-boot"
4,6,"petite","second",3710,4181,366447,633579,8362,1267158,284,434,29284,71099,868,142198,"10mill-boot"
4,7,"petite","second",3763,4160,373312,626753,8320,1253506,292,455,30191,70101,910,140202,"10mill-boot"
4,8,"petite","second",3776,4152,369872,630179,8304,1260358,279,438,28989,71084,876,142168,"10mill-boot"
4,9,"petite","second",3689,4211,359781,640333,8422,1280666,296,429,30677,69461,858,138922,"10mill-boot"
4,10,"petite","second",3696,4174,361931,638211,8348,1276422,264,453,28080,71946,906,143892,"10mill-boot"
4,11,"petite","second",3748,4163,365923,634147,8326,1268294,320,421,32985,67030,842,134060,"10mill-boot"
4,12,"petite","second",3759,4142,371124,628890,8284,1257780,297,421,32002,68209,842,136418,"10mill-boot"
4,13,"petite","second",3791,4087,375308,624713,8174,1249426,298,418,31443,68598,836,137196,"10mill-boot"
4,14,"petite","second",3684,4155,364271,635749,8310,1271498,295,439,30872,69169,878,138338,"10mill-boot"
4,15,"petite","second",3773,4108,372786,627301,8216,1254602,294,436,30835,69277,872,138554,"10mill-boot"
4,16,"petite","second",3775,4140,367603,632414,8280,1264828,304,425,31332,68768,850,137536,"10mill-boot"
4,17,"petite","second",3816,4094,375371,624765,8188,1249530,297,414,31237,68810,828,137620,"10mill-boot"
4,18,"petite","second",3782,4095,372799,627369,8190,1254738,300,414,32597,67496,828,134992,"10mill-boot"
4,19,"petite","second",3831,4107,375962,624076,8214,1248152,259,435,27254,72892,870,145784,"10mill-boot"
4,20,"petite","second",3748,4184,365263,634843,8368,1269686,299,439,29900,70211,878,140422,"10mill-boot"
4,21,"petite","second",3761,4152,368671,631668,8304,1263336,301,420,31768,68459,840,136918,"10mill-boot"
4,22,"petite","second",3685,4098,367263,632861,8196,1265722,280,416,29394,70686,832,141372,"10mill-boot"
4,23,"petite","second",3745,4129,366931,633238,8258,1266476,295,432,29768,70372,864,140744,"10mill-boot"
4,24,"petite","second",3748,4190,370777,629228,8380,1258456,274,439,29348,70832,878,141664,"10mill-boot"
4,25,"petite","second",3720,4166,362496,637519,8332,1275038,261,441,27930,72118,882,144236,"10mill-boot"
4,26,"petite","second",3755,4141,367676,632344,8282,1264688,287,429,30055,70042,858,140084,"10mill-boot"
4,27,"petite","second",3734,4135,366107,633943,8270,1267886,312,408,32380,67676,816,135352,"10mill-boot"
4,28,"petite","second",3732,4174,363993,636056,8348,1272112,290,421,29348,70810,842,141620,"10mill-boot"
4,29,"petite","second",3716,4172,362237,637821,8344,1275642,292,427,30402,69682,854,139364,"10mill-boot"
4,30,"petite","second",3821,4117,372072,627940,8234,1255880,315,394,34114,65914,788,131828,"10mill-boot"
3,1,"petite","second",3799,4140,368900,631120,8280,1262240,291,425,29517,70517,850,141034,"10mill-boot"
3,2,"petite","second",3893,4118,378002,622061,8236,1244122,307,413,31987,68292,826,136584,"10mill-boot"
