"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,"petite","second",3736,4221,364907,635150,8442,1270300,8,398,1684,98327,796,196654,"10mill-boot"
37,2,"petite","second",3731,4080,366753,633251,8160,1266502,20,366,4507,95510,732,191020,"10mill-boot"
37,3,"petite","second",3753,4153,364160,635895,8306,1271790,10,396,2070,97971,792,195942,"10mill-boot"
37,4,"petite","second",3821,4105,373638,626413,8210,1252826,16,386,3287,96865,772,193730,"10mill-boot"
37,5,"petite","second",3856,4101,381760,618382,8202,1236764,11,398,2292,97799,796,195598,"10mill-boot"
37,6,"petite","second",3798,4156,369302,630708,8312,1261416,18,396,3859,97702,792,195404,"10mill-boot"
37,7,"petite","second",3739,4147,367956,632117,8294,1264234,13,377,2893,97124,754,194248,"10mill-boot"
37,8,"petite","second",3820,4093,376570,623582,8186,1247164,10,395,2280,97776,790,195552,"10mill-boot"
37,9,"petite","second",3774,4118,370900,629123,8236,1258246,11,390,2543,97872,780,195744,"10mill-boot"
37,10,"petite","second",3847,4114,377180,622825,8228,1245650,11,397,2360,98104,794,196208,"10mill-boot"
37,11,"petite","second",3760,4189,362368,637646,8378,1275292,7,405,1508,98983,810,197966,"10mill-boot"
37,12,"petite","second",3809,4157,374034,626004,8314,1252008,11,402,2225,97903,804,195806,"10mill-boot"
37,13,"petite","second",3807,4107,370088,629966,8214,1259932,14,378,2837,97632,756,195264,"10mill-boot"
37,14,"petite","second",3746,4198,365777,634325,8396,1268650,9,394,1948,98139,788,196278,"10mill-boot"
37,15,"petite","second",3795,4054,372179,627914,8108,1255828,11,396,2118,97889,792,195778,"10mill-boot"
37,16,"petite","second",3712,4106,363222,637156,8212,1274312,5,378,965,99900,756,199800,"10mill-boot"
37,17,"petite","second",3791,4171,369748,630297,8342,1260594,12,387,2267,97775,774,195550,"10mill-boot"
37,18,"petite","second",3701,4198,362028,638017,8396,1276034,11,392,2275,97832,784,195664,"10mill-boot"
37,19,"petite","second",3740,4162,364985,635095,8324,1270190,8,388,1737,98403,776,196806,"10mill-boot"
37,20,"petite","second",3791,4184,368783,631256,8368,1262512,10,401,1783,98689,802,197378,"10mill-boot"
37,21,"petite","second",3804,4097,373159,626898,8194,1253796,11,392,2495,97632,784,195264,"10mill-boot"
37,22,"petite","second",3787,4179,368427,631669,8358,1263338,12,387,2663,97903,774,195806,"10mill-boot"
37,23,"petite","second",3830,4113,374508,625548,8226,1251096,14,386,2714,97459,772,194918,"10mill-boot"
37,24,"petite","second",3800,4127,374442,625594,8254,1251188,9,406,1990,98599,812,197198,"10mill-boot"
37,25,"petite","second",3759,4218,366976,633058,8436,1266116,9,398,1864,98200,796,196400,"10mill-boot"
37,26,"petite","second",3776,4146,368680,631331,8292,1262662,12,393,2385,97761,786,195522,"10mill-boot"
37,27,"petite","second",3732,4146,364796,635309,8292,1270618,15,383,3199,96873,766,193746,"10mill-boot"
37,28,"petite","second",3653,4221,356620,643403,8442,1286806,14,389,2774,97366,778,194732,"10mill-boot"
37,29,"petite","second",3832,4091,378894,621294,8182,1242588,9,396,2044,98130,792,196260,"10mill-boot"
37,30,"petite","second",3747,4124,372724,627351,8248,1254702,15,391,3081,96920,782,193840,"10mill-boot"
30,1,"petite","second",3787,4203,361982,638053,8406,1276106,16,385,3302,96703,770,193406,"10mill-boot"
30,2,"petite","second",3766,4125,361339,638674,8250,1277348,10,371,2094,98386,742,196772,"10mill-boot"
30,3,"petite","second",3861,4153,371125,628926,8306,1257852,15,378,3091,97093,756,194186,"10mill-boot"
30,4,"petite","second",3751,4168,363201,636910,8336,1273820,16,378,2804,97268,756,194536,"10mill-boot"
30,5,"petite","second",3748,4168,362448,637776,8336,1275552,7,392,1397,98695,784,197390,"10mill-boot"
30,6,"petite","second",3753,4157,360521,639580,8314,1279160,19,374,3663,96363,748,192726,"10mill-boot"
30,7,"petite","second",3721,4179,358009,642009,8358,1284018,10,379,2117,97953,758,195906,"10mill-boot"
30,8,"petite","second",3848,4146,370429,629752,8292,1259504,8,391,1208,98879,782,197758,"10mill-boot"
