"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,740,"petite","second",2,1,92,125,3,217,34,43,3134,7007,77,10141,"10k"
30,1,695,"petite","second",1,1,121,168,2,289,31,42,3271,6978,73,10249,"10k"
39,1,645,"petite","second",1,1,71,286,2,357,15,56,1394,8818,71,10212,"10k"
4,1,745,"petite","second",1,1,93,127,2,220,31,47,3177,6936,78,10113,"10k"
3,1,690,"petite","second",1,1,114,188,2,302,32,46,2814,7356,78,10170,"10k"
2,1,695,"petite","second",2,1,126,160,3,286,36,40,3458,6647,76,10105,"10k"
38,1,700,"petite","second",1,1,58,202,2,260,17,56,1561,8509,73,10070,"10k"
5,1,730,"petite","second",2,1,146,113,3,259,51,35,4716,5512,86,10228,"10k"
31,1,820,"petite","second",1,1,53,87,2,140,28,49,2643,7622,77,10265,"10k"
31,2,670,"petite","second",1,1,87,224,2,311,22,54,2220,8002,76,10222,"10k"
36,1,675,"petite","second",1,1,80,221,2,301,19,52,1957,8061,71,10018,"10k"
36,2,800,"petite","second",1,1,103,69,2,172,44,32,5179,4996,76,10175,"10k"
14,1,765,"petite","second",1,1,106,95,2,201,43,37,4259,5797,80,10056,"10k"
13,1,745,"petite","second",1,1,76,133,2,209,27,45,2626,7474,72,10100,"10k"
25,1,695,"petite","second",1,1,92,188,2,280,26,47,2502,7743,73,10245,"10k"
22,1,695,"petite","second",1,1,78,195,2,273,20,56,2101,8121,76,10222,"10k"
49,1,765,"petite","second",1,1,96,104,2,200,40,41,3752,6404,81,10156,"10k"
49,2,785,"petite","second",1,1,89,94,2,183,41,41,4017,6218,82,10235,"10k"
47,1,830,"petite","second",1,1,71,70,2,141,36,41,3726,6354,77,10080,"10k"
40,1,795,"petite","second",1,1,80,89,2,169,38,40,3662,6487,78,10149,"10k"
23,1,670,"petite","second",1,1,126,208,2,334,32,46,3017,7251,78,10268,"10k"
24,1,670,"petite","second",2,1,245,122,3,367,58,28,5851,4346,86,10197,"10k"
12,1,765,"petite","second",1,1,80,112,2,192,28,44,3035,6990,72,10025,"10k"
12,2,590,"petite","second",1,1,89,370,2,459,16,53,1532,8532,69,10064,"10k"
15,1,750,"petite","second",1,1,138,88,2,226,51,33,4881,5191,84,10072,"10k"
41,1,745,"petite","second",1,1,51,153,2,204,16,56,1662,8466,72,10128,"10k"
41,2,880,"petite","second",1,1,59,50,2,109,45,36,4344,5887,81,10231,"10k"
41,3,765,"petite","second",1,1,67,115,2,182,28,50,2898,7128,78,10026,"10k"
46,1,680,"petite","second",1,1,178,156,2,334,46,45,4330,5948,91,10278,"10k"
46,2,710,"petite","second",1,1,65,182,2,247,21,54,1939,8292,75,10231,"10k"
46,3,820,"petite","second",1,1,62,76,2,138,34,43,3453,6636,77,10089,"10k"
48,1,755,"petite","second",1,1,61,135,2,196,24,54,2195,7905,78,10100,"10k"
33,1,760,"petite","second",1,1,97,110,2,207,33,45,3639,6464,78,10103,"10k"
9,1,805,"petite","second",1,1,55,96,2,151,27,46,2707,7336,73,10043,"10k"
34,1,585,"petite","second",1,1,102,391,2,493,17,51,1548,8579,68,10127,"10k"
7,1,760,"petite","second",1,1,98,108,2,206,40,43,3633,6514,83,10147,"10k"
6,1,705,"petite","second",1,1,126,145,2,271,34,43,3537,6472,77,10009,"10k"
1,1,630,"petite","second",1,1,71,314,2,385,17,54,1428,8836,71,10264,"10k"
8,1,730,"petite","second",1,1,113,131,2,244,38,39,3734,6382,77,10116,"10k"
35,1,750,"petite","second",1,1,108,110,2,218,39,41,3772,6332,80,10104,"10k"
32,1,730,"petite","second",1,1,127,122,2,249,41,43,4097,5904,84,10001,"10k"
50,1,665,"petite","second",2,1,180,177,3,357,42,38,4042,6157,80,10199,"10k"
43,1,810,"petite","second",1,1,67,89,2,156,35,45,3316,6955,80,10271,"10k"
44,1,760,"petite","second",1,1,125,90,2,215,49,39,4857,5363,88,10220,"10k"
10,1,705,"petite","second",1,1,106,161,2,267,29,45,3007,7267,74,10274,"10k"
17,1,775,"petite","second",1,1,77,111,2,188,34,47,3062,7055,81,10117,"10k"
28,1,740,"petite","second",1,1,65,151,2,216,22,46,2120,8067,68,10187,"10k"
28,2,845,"petite","second",1,1,52,71,2,123,34,39,3318,6701,73,10019,"10k"
21,1,775,"petite","second",1,1,70,108,2,178,32,44,2979,7063,76,10042,"10k"
26,1,765,"petite","second",2,1,168,61,3,229,70,24,6585,3633,94,10218,"10k"
19,1,780,"petite","second",1,1,109,83,2,192,44,37,4616,5464,81,10080,"10k"
45,1,760,"petite","second",1,1,73,125,2,198,29,50,2676,7447,79,10123,"10k"
42,1,705,"petite","second",1,1,219,89,2,308,60,28,6167,4128,88,10295,"10k"
42,2,785,"petite","second",1,1,63,102,2,165,30,49,2858,7203,79,10061,"10k"
27,1,720,"petite","second",1,1,100,148,2,248,34,51,3073,7087,85,10160,"10k"
27,2,745,"petite","second",1,1,40,164,2,204,16,54,1497,8669,70,10166,"10k"
18,1,680,"petite","second",1,1,111,187,2,298,30,50,2803,7200,80,10003,"10k"
20,1,595,"petite","second",1,1,359,179,2,538,65,27,5835,4291,92,10126,"10k"
16,1,715,"petite","second",1,1,132,132,2,264,42,38,3933,6297,80,10230,"10k"
29,1,780,"petite","second",1,1,108,78,2,186,47,36,4756,5301,83,10057,"10k"
11,1,700,"petite","second",2,1,188,118,3,306,55,28,5195,4908,83,10103,"10k"
37,1,870,"petite","second",6,5,580,543,11,1123,393,418,38634,62998,811,101632,"100k"
37,2,850,"petite","second",1,5,51,972,6,1023,34,629,3339,98282,663,101621,"100k"
30,1,870,"petite","second",6,5,600,551,11,1151,398,414,40038,61508,812,101546,"100k"
30,2,875,"petite","second",3,3,349,662,6,1011,254,515,25786,76461,769,102247,"100k"
