"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,955,"petite","second-15min",379,237,50078,50155,616,100233,38599,22753,5167429,4935241,61352,10102670,"Equal Growth Rates"
37,2,955,"petite","second-15min",282,242,41304,58901,524,100205,31313,26658,4252551,5795939,57971,10048490,"Equal Growth Rates"
37,3,960,"petite","second-15min",217,306,31455,68640,523,100095,24461,31912,3331048,6922375,56373,10253423,"Equal Growth Rates"
37,4,960,"petite","second-15min",166,322,24642,75368,488,100010,19270,34919,2609829,7613406,54189,10223235,"Equal Growth Rates"
37,5,955,"petite","second-15min",140,354,19716,80827,494,100543,14948,36732,2033326,7970816,51680,10004142,"Equal Growth Rates"
37,6,960,"petite","second-15min",110,368,16579,83539,478,100118,12904,38800,1759837,8438194,51704,10198031,"Equal Growth Rates"
37,7,960,"petite","second-15min",99,372,14666,85471,471,100137,11469,39907,1552567,8639745,51376,10192312,"Equal Growth Rates"
37,8,960,"petite","second-15min",81,382,12226,88012,463,100238,9511,40986,1294705,8894051,50497,10188756,"Equal Growth Rates"
37,9,960,"petite","second-15min",66,395,9298,90845,461,100143,7284,42265,984580,9170464,49549,10155044,"Equal Growth Rates"
37,10,960,"petite","second-15min",44,414,7513,92696,458,100209,5894,43119,794547,9371158,49013,10165705,"Equal Growth Rates"
37,11,960,"petite","second-15min",35,409,5442,94667,444,100109,4228,43951,576986,9564596,48179,10141582,"Equal Growth Rates"
37,12,960,"petite","second-15min",19,424,2591,97417,443,100008,2037,45113,275019,9834355,47150,10109374,"Equal Growth Rates"
37,13,960,"petite","second-15min",14,407,2309,97756,421,100065,1776,45223,244084,9863469,46999,10107553,"Equal Growth Rates"
37,14,960,"petite","second-15min",13,418,2045,98037,431,100082,1609,45447,217075,9901033,47056,10118108,"Equal Growth Rates"
37,15,960,"petite","second-15min",12,425,1331,98697,437,100028,1042,45936,141388,9984281,46978,10125669,"Equal Growth Rates"
37,16,960,"petite","second-15min",7,422,1227,98930,429,100157,965,45991,130360,9995235,46956,10125595,"Equal Growth Rates"
37,17,960,"petite","second-15min",8,431,1084,98988,439,100072,831,46029,113945,9988653,46860,10102598,"Equal Growth Rates"
37,18,960,"petite","second-15min",3,426,351,99784,429,100135,273,46278,36709,10080021,46551,10116730,"Equal Growth Rates"
37,19,960,"petite","second-15min",3,443,292,99834,446,100126,226,46389,31373,10076290,46615,10107663,"Equal Growth Rates"
30,1,955,"petite","second-15min",382,226,50017,50070,608,100087,38446,22789,5152635,4931112,61235,10083747,"Equal Growth Rates"
30,2,955,"petite","second-15min",314,235,45365,54829,549,100194,34376,24977,4678644,5392563,59353,10071207,"Equal Growth Rates"
30,3,955,"petite","second-15min",275,267,40525,59769,542,100294,30676,27124,4171801,5899160,57800,10070961,"Equal Growth Rates"
30,4,955,"petite","second-15min",249,285,36566,63654,534,100220,27865,28809,3768510,6276330,56674,10044840,"Equal Growth Rates"
30,5,960,"petite","second-15min",234,289,33276,66758,523,100034,25943,30982,3515213,6738623,56925,10253836,"Equal Growth Rates"
30,6,960,"petite","second-15min",166,320,24982,75080,486,100062,19498,34894,2648467,7596465,54392,10244932,"Equal Growth Rates"
30,7,960,"petite","second-15min",137,350,19479,80780,487,100259,15036,37518,2055111,8162075,52554,10217186,"Equal Growth Rates"
30,8,960,"petite","second-15min",116,366,17182,82927,482,100109,13288,38650,1820567,8381378,51938,10201945,"Equal Growth Rates"
30,9,960,"petite","second-15min",101,370,15274,84855,471,100129,11861,39468,1616877,8592967,51329,10209844,"Equal Growth Rates"
30,10,960,"petite","second-15min",82,380,11772,88487,462,100259,9140,41005,1249925,8933050,50145,10182975,"Equal Growth Rates"
30,11,960,"petite","second-15min",62,396,8731,91541,458,100272,6799,42577,923409,9274092,49376,10197501,"Equal Growth Rates"
30,12,960,"petite","second-15min",55,403,8499,91714,458,100213,6581,42527,897178,9263503,49108,10160681,"Equal Growth Rates"
30,13,960,"petite","second-15min",38,407,5342,94715,445,100057,4205,44026,564427,9561088,48231,10125515,"Equal Growth Rates"
30,14,960,"petite","second-15min",23,408,3318,96836,431,100154,2596,45087,353780,9800970,47683,10154750,"Equal Growth Rates"
30,15,960,"petite","second-15min",19,439,2715,97379,458,100094,2127,45356,291178,9844195,47483,10135373,"Equal Growth Rates"
30,16,960,"petite","second-15min",16,419,2617,97727,435,100344,2048,45461,277123,9875588,47509,10152711,"Equal Growth Rates"
30,17,960,"petite","second-15min",14,418,1462,98721,432,100183,1113,45897,155764,9969731,47010,10125495,"Equal Growth Rates"
30,18,960,"petite","second-15min",8,430,1532,98645,438,100177,1170,45908,162141,9968602,47078,10130743,"Equal Growth Rates"
30,19,960,"petite","second-15min",10,432,1453,98705,442,100158,1135,45892,154308,9974811,47027,10129119,"Equal Growth Rates"
30,20,960,"petite","second-15min",3,429,542,99561,432,100103,440,46251,57735,10058937,46691,10116672,"Equal Growth Rates"
30,21,960,"petite","second-15min",4,429,440,99647,433,100087,342,46267,45820,10069446,46609,10115266,"Equal Growth Rates"
30,22,960,"petite","second-15min",1,433,93,100265,434,100358,75,46578,10054,10133260,46653,10143314,"Equal Growth Rates"
30,23,960,"petite","second-15min",1,442,142,100182,443,100324,111,46484,15007,10117893,46595,10132900,"Equal Growth Rates"
30,24,960,"petite","second-15min",1,445,110,100378,446,100488,83,46539,11782,10138626,46622,10150408,"Equal Growth Rates"
39,1,955,"petite","second-15min",347,229,50003,50049,576,100052,38685,22674,5165019,4929792,61359,10094811,"Equal Growth Rates"
39,2,955,"petite","second-15min",318,236,45395,54820,554,100215,34498,24855,4684220,5402056,59353,10086276,"Equal Growth Rates"
39,3,955,"petite","second-15min",280,260,40842,59347,540,100189,31021,26783,4218941,5838481,57804,10057422,"Equal Growth Rates"
39,4,955,"petite","second-15min",246,285,36022,64226,531,100248,27348,29001,3719075,6319867,56349,10038942,"Equal Growth Rates"
39,5,955,"petite","second-15min",227,296,33052,67059,523,100111,24992,30526,3406019,6605063,55518,10011082,"Equal Growth Rates"
39,6,955,"petite","second-15min",208,305,29401,70929,513,100330,22349,31943,3033903,6984484,54292,10018387,"Equal Growth Rates"
39,7,960,"petite","second-15min",169,326,25266,75025,495,100291,19573,34901,2670141,7578300,54474,10248441,"Equal Growth Rates"
39,8,960,"petite","second-15min",143,343,20896,79145,486,100041,16222,36832,2209990,7989517,53054,10199507,"Equal Growth Rates"
39,9,960,"petite","second-15min",124,352,17367,82733,476,100100,13493,38509,1833799,8352331,52002,10186130,"Equal Growth Rates"
39,10,960,"petite","second-15min",83,368,13348,87012,451,100360,10423,40316,1412565,8785837,50739,10198402,"Equal Growth Rates"
39,11,960,"petite","second-15min",80,384,11681,88320,464,100001,9145,40985,1234995,8926928,50130,10161923,"Equal Growth Rates"
39,12,960,"petite","second-15min",64,401,9088,91030,465,100118,7074,42244,961813,9189568,49318,10151381,"Equal Growth Rates"
39,13,960,"petite","second-15min",61,379,8386,91866,440,100252,6525,42665,886771,9277742,49190,10164513,"Equal Growth Rates"
39,14,960,"petite","second-15min",50,400,7466,92620,450,100086,5830,42949,788552,9364213,48779,10152765,"Equal Growth Rates"
39,15,960,"petite","second-15min",41,415,5983,94027,456,100010,4616,43553,631748,9487556,48169,10119304,"Equal Growth Rates"
39,16,960,"petite","second-15min",33,406,5189,94978,439,100167,4047,43998,550719,9597131,48045,10147850,"Equal Growth Rates"
39,17,960,"petite","second-15min",36,412,5411,94689,448,100100,4199,43927,569816,9559870,48126,10129686,"Equal Growth Rates"
