"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
31,1,"petite","second",1,7,87,992,8,1079,1,1,87,224,2,311,"10k"
36,1,"petite","second",4,4,364,598,8,962,1,1,103,69,2,172,"10k"
49,1,"petite","second",4,5,248,763,9,1011,1,1,89,94,2,183,"10k"
12,1,"petite","second",3,5,353,944,8,1297,1,1,89,370,2,459,"10k"
41,1,"petite","second",2,6,180,873,8,1053,1,1,59,50,2,109,"10k"
41,2,"petite","second",6,3,622,477,9,1099,1,1,67,115,2,182,"10k"
46,1,"petite","second",5,5,433,745,10,1178,1,1,65,182,2,247,"10k"
46,2,"petite","second",1,7,62,786,8,848,1,1,62,76,2,138,"10k"
28,1,"petite","second",3,4,205,604,7,809,1,1,52,71,2,123,"10k"
42,1,"petite","second",5,4,583,396,9,979,1,1,63,102,2,165,"10k"
27,1,"petite","second",5,4,328,553,9,881,1,1,40,164,2,204,"10k"
37,1,"petite","second",40,42,3141,6486,82,9627,1,5,51,972,6,1023,"100k"
30,1,"petite","second",37,45,3128,7470,82,10598,3,3,349,662,6,1011,"100k"
39,1,"petite","second",35,44,3237,7666,79,10903,1,2,232,770,3,1002,"100k"
39,2,"petite","second",20,53,1947,7879,73,9826,1,6,87,935,7,1022,"100k"
39,3,"petite","second",4,64,340,9941,68,10281,1,5,72,998,6,1070,"100k"
4,1,"petite","second",45,34,4262,5437,79,9699,7,2,746,258,9,1004,"100k"
3,1,"petite","second",31,50,3092,7337,81,10429,5,3,656,398,8,1054,"100k"
3,2,"petite","second",55,30,4690,5065,85,9755,6,3,476,738,9,1214,"100k"
3,3,"petite","second",29,49,2780,7154,78,9934,5,3,490,599,8,1089,"100k"
3,4,"petite","second",38,42,3444,6174,80,9618,4,5,413,734,9,1147,"100k"
3,5,"petite","second",33,43,3326,6255,76,9581,3,5,371,707,8,1078,"100k"
3,6,"petite","second",26,49,2537,7011,75,9548,3,3,364,643,6,1007,"100k"
3,7,"petite","second",24,53,2316,7993,77,10309,2,7,232,939,9,1171,"100k"
3,8,"petite","second",19,53,1996,7413,72,9409,3,6,404,618,9,1022,"100k"
3,9,"petite","second",34,46,2966,7035,80,10001,2,4,212,791,6,1003,"100k"
3,10,"petite","second",12,62,968,9042,74,10010,1,5,76,1237,6,1313,"100k"
2,1,"petite","second",35,43,3517,6371,78,9888,1,4,78,924,5,1002,"100k"
38,1,"petite","second",30,50,2592,6992,80,9584,6,4,551,611,10,1162,"100k"
38,2,"petite","second",37,44,3639,6550,81,10189,4,4,484,591,8,1075,"100k"
38,3,"petite","second",36,43,3186,7165,79,10351,1,6,61,1052,7,1113,"100k"
5,1,"petite","second",37,40,3604,6012,77,9616,5,3,419,679,8,1098,"100k"
5,2,"petite","second",31,46,2533,7312,77,9845,2,4,184,868,6,1052,"100k"
31,1,"petite","second",38,42,3380,5913,80,9293,3,5,344,698,8,1042,"100k"
31,2,"petite","second",23,49,2063,7850,72,9913,1,6,97,1113,7,1210,"100k"
36,1,"petite","second",45,37,4598,5086,82,9684,7,2,782,292,9,1074,"100k"
36,2,"petite","second",67,24,6763,3313,91,10076,8,2,765,248,10,1013,"100k"
36,3,"petite","second",73,18,7259,2650,91,9909,7,1,877,218,8,1095,"100k"
36,4,"petite","second",79,13,7328,1873,92,9201,9,1,900,133,10,1033,"100k"
36,5,"petite","second",82,13,8254,1842,95,10096,8,1,897,166,9,1063,"100k"
36,6,"petite","second",78,18,7541,2291,96,9832,9,1,938,71,10,1009,"100k"
36,7,"petite","second",90,8,8758,1243,98,10001,8,1,989,59,9,1048,"100k"
14,1,"petite","second",46,33,4352,4959,79,9311,4,3,467,555,7,1022,"100k"
14,2,"petite","second",36,43,3770,6330,79,10100,3,6,257,810,9,1067,"100k"
13,1,"petite","second",49,35,4314,5845,84,10159,4,5,318,739,9,1057,"100k"
13,2,"petite","second",27,46,2206,7097,73,9303,2,6,123,1013,8,1136,"100k"
25,1,"petite","second",40,42,3835,5704,82,9539,3,7,315,765,10,1080,"100k"
22,1,"petite","second",32,48,3172,6649,80,9821,1,8,146,865,9,1011,"100k"
22,2,"petite","second",12,60,1110,8827,72,9937,1,7,35,1048,8,1083,"100k"
49,1,"petite","second",47,33,4875,4504,80,9379,6,3,589,496,9,1085,"100k"
49,2,"petite","second",41,43,3931,6195,84,10126,3,6,390,771,9,1161,"100k"
49,3,"petite","second",26,51,2274,7139,77,9413,4,5,297,866,9,1163,"100k"
49,4,"petite","second",18,57,1847,8348,75,10195,1,4,119,1116,5,1235,"100k"
49,5,"petite","second",10,58,1021,8394,68,9415,1,5,77,944,6,1021,"100k"
49,6,"petite","second",7,64,614,9883,71,10497,2,6,185,913,8,1098,"100k"
47,1,"petite","second",35,46,3294,6641,81,9935,3,4,327,768,7,1095,"100k"
40,1,"petite","second",35,45,3739,6885,80,10624,1,7,74,928,8,1002,"100k"
40,2,"petite","second",12,59,1186,8056,71,9242,1,8,61,1034,9,1095,"100k"
40,3,"petite","second",3,66,382,9893,69,10275,1,8,75,930,9,1005,"100k"
23,1,"petite","second",32,47,2907,7690,79,10597,3,5,289,766,8,1055,"100k"
24,1,"petite","second",42,40,3841,5780,82,9621,3,4,241,759,7,1000,"100k"
12,1,"petite","second",34,45,3924,6395,79,10319,5,4,598,569,9,1167,"100k"
12,2,"petite","second",39,42,3719,6227,81,9946,3,4,330,707,7,1037,"100k"
12,3,"petite","second",23,53,2186,7402,76,9588,1,6,69,942,7,1011,"100k"
15,1,"petite","second",46,35,4443,5205,81,9648,3,3,336,698,6,1034,"100k"
15,2,"petite","second",27,48,3145,6992,75,10137,3,5,251,777,8,1028,"100k"
15,3,"petite","second",18,55,1839,7946,73,9785,1,7,142,882,8,1024,"100k"
41,1,"petite","second",35,43,3183,6666,78,9849,2,7,222,830,9,1052,"100k"
46,1,"petite","second",45,35,4159,5047,80,9206,1,6,38,979,7,1017,"100k"
48,1,"petite","second",31,49,2762,7694,80,10456,3,5,249,849,8,1098,"100k"
48,2,"petite","second",20,51,2400,7599,71,9999,1,6,62,961,7,1023,"100k"
33,1,"petite","second",29,49,2746,7132,78,9878,1,4,123,986,5,1109,"100k"
9,1,"petite","second",28,48,2873,7387,76,10260,2,6,381,803,8,1184,"100k"
9,2,"petite","second",23,52,1931,7777,75,9708,1,6,102,900,7,1002,"100k"
34,1,"petite","second",44,40,4036,5958,84,9994,3,4,272,762,7,1034,"100k"
34,2,"petite","second",25,51,2189,7518,76,9707,2,6,210,825,8,1035,"100k"
34,3,"petite","second",13,60,1281,8632,73,9913,1,7,114,977,8,1091,"100k"
34,4,"petite","second",5,65,402,9105,70,9507,1,7,167,858,8,1025,"100k"
34,5,"petite","second",12,62,1279,9612,74,10891,1,8,107,1011,9,1118,"100k"
6,1,"petite","second",42,39,4418,5534,81,9952,2,4,229,787,6,1016,"100k"
6,2,"petite","second",15,58,1458,8459,73,9917,2,5,132,1053,7,1185,"100k"
1,1,"petite","second",34,46,3433,6260,80,9693,5,4,540,466,9,1006,"100k"
1,2,"petite","second",49,33,4426,4754,82,9180,5,2,582,422,7,1004,"100k"
1,3,"petite","second",51,33,4585,4967,84,9552,7,3,547,506,10,1053,"100k"
1,4,"petite","second",47,35,4660,5743,82,10403,4,3,582,433,7,1015,"100k"
1,5,"petite","second",51,34,4446,4529,85,8975,6,4,702,392,10,1094,"100k"
1,6,"petite","second",60,28,5673,4465,88,10138,2,4,226,806,6,1032,"100k"
1,7,"petite","second",18,54,1804,8088,72,9892,2,6,284,942,8,1226,"100k"
8,1,"petite","second",45,38,4823,5574,83,10397,4,4,245,772,8,1017,"100k"
8,2,"petite","second",20,52,1744,7948,72,9692,1,5,68,954,6,1022,"100k"
35,1,"petite","second",40,41,3857,5321,81,9178,2,6,170,866,8,1036,"100k"
32,1,"petite","second",31,49,3005,7601,80,10606,3,5,477,740,8,1217,"100k"
32,2,"petite","second",21,56,2104,7660,77,9764,3,5,241,781,8,1022,"100k"
32,3,"petite","second",16,59,1686,8774,75,10460,2,5,214,931,7,1145,"100k"
32,4,"petite","second",14,56,1311,7976,70,9287,1,7,25,1064,8,1089,"100k"
50,1,"petite","second",46,37,3857,5121,83,8978,3,6,179,858,9,1037,"100k"
50,2,"petite","second",12,56,1056,8441,68,9497,2,7,117,994,9,1111,"100k"
50,3,"petite","second",9,59,947,8521,68,9468,1,8,176,963,9,1139,"100k"
50,4,"petite","second",14,57,1207,8316,71,9523,2,6,224,823,8,1047,"100k"
43,1,"petite","second",42,40,4108,5538,82,9646,2,6,157,849,8,1006,"100k"
43,2,"petite","second",7,64,516,9161,71,9677,1,7,79,971,8,1050,"100k"
44,1,"petite","second",35,45,3240,6806,80,10046,3,4,289,752,7,1041,"100k"
44,2,"petite","second",25,49,2496,7368,74,9864,4,5,348,725,9,1073,"100k"
44,3,"petite","second",20,57,1995,8362,77,10357,2,5,233,941,7,1174,"100k"
44,4,"petite","second",14,59,1406,8407,73,9813,4,4,343,667,8,1010,"100k"
10,1,"petite","second",37,44,3119,6692,81,9811,3,4,217,904,7,1121,"100k"
17,1,"petite","second",41,39,3691,7345,80,11036,1,4,110,965,5,1075,"100k"
28,1,"petite","second",42,39,4162,6290,81,10452,3,5,437,606,8,1043,"100k"
28,2,"petite","second",32,46,2794,7660,78,10454,4,4,324,705,8,1029,"100k"
28,3,"petite","second",21,52,2173,7798,73,9971,1,6,77,1083,7,1160,"100k"
28,4,"petite","second",7,59,546,8350,66,8896,3,6,279,753,9,1032,"100k"
21,1,"petite","second",38,44,3544,6311,82,9855,2,4,125,875,6,1000,"100k"
21,2,"petite","second",8,62,796,9678,70,10474,2,5,229,806,7,1035,"100k"
26,1,"petite","second",34,45,3169,6552,79,9721,4,4,445,627,8,1072,"100k"
26,2,"petite","second",30,49,2690,6794,79,9484,4,6,362,839,10,1201,"100k"
26,3,"petite","second",23,51,2297,7511,74,9808,1,4,90,1067,5,1157,"100k"
26,4,"petite","second",6,63,541,9049,69,9590,2,5,185,827,7,1012,"100k"
26,5,"petite","second",18,54,1635,7632,72,9267,2,6,152,883,8,1035,"100k"
19,1,"petite","second",43,37,4055,4696,80,8751,4,7,290,731,11,1021,"100k"
19,2,"petite","second",25,49,2249,7930,74,10179,1,5,72,982,6,1054,"100k"
19,3,"petite","second",7,61,691,9712,68,10403,1,7,128,919,8,1047,"100k"
45,1,"petite","second",40,41,3561,6194,81,9755,2,4,245,868,6,1113,"100k"
42,1,"petite","second",39,41,3688,6011,80,9699,2,4,204,926,6,1130,"100k"
27,1,"petite","second",40,42,3912,6277,82,10189,3,7,220,981,10,1201,"100k"
27,2,"petite","second",14,58,1293,7740,72,9033,1,7,131,980,8,1111,"100k"
18,1,"petite","second",38,41,3137,6082,79,9219,3,5,322,821,8,1143,"100k"
18,2,"petite","second",21,53,1981,7344,74,9325,3,4,347,782,7,1129,"100k"
18,3,"petite","second",23,53,1959,7803,76,9762,2,6,259,852,8,1111,"100k"
18,4,"petite","second",14,58,1337,8562,72,9899,2,6,101,1048,8,1149,"100k"
18,5,"petite","second",8,60,574,9030,68,9604,1,6,109,903,7,1012,"100k"
20,1,"petite","second",28,52,2583,7873,80,10456,3,5,232,843,8,1075,"100k"
20,2,"petite","second",17,56,1657,7780,73,9437,3,5,342,728,8,1070,"100k"
20,3,"petite","second",29,45,2695,7058,74,9753,3,6,213,885,9,1098,"100k"
16,1,"petite","second",41,38,3909,5612,79,9521,3,6,254,793,9,1047,"100k"
29,1,"petite","second",37,46,3364,6824,83,10188,1,5,95,908,6,1003,"100k"
29,2,"petite","second",8,61,716,8726,69,9442,1,6,136,887,7,1023,"100k"
11,1,"petite","second",42,39,3934,5488,81,9422,5,5,441,657,10,1098,"100k"
11,2,"petite","second",30,44,2688,6795,74,9483,3,6,251,977,9,1228,"100k"
11,3,"petite","second",13,59,1427,8756,72,10183,2,5,274,773,7,1047,"100k"
37,1,"petite","second",392,410,40109,63275,802,103384,29,38,3089,7012,67,10101,"1mill"
37,2,"petite","second",237,509,24340,78855,746,103195,16,52,1847,8277,68,10124,"1mill"
