"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,"petite","second-15min",3823,2313,511225,510786,6136,1022011,282,242,41304,58901,524,100205,"Equal Growth Rates"
37,2,"petite","second-15min",3122,2676,420836,578937,5798,999773,217,306,31455,68640,523,100095,"Equal Growth Rates"
37,3,"petite","second-15min",2468,3170,334534,686796,5638,1021330,166,322,24642,75368,488,100010,"Equal Growth Rates"
37,4,"petite","second-15min",1927,3492,259841,762257,5419,1022098,140,354,19716,80827,494,100543,"Equal Growth Rates"
37,5,"petite","second-15min",1483,3685,202264,792025,5168,994289,110,368,16579,83539,478,100118,"Equal Growth Rates"
37,6,"petite","second-15min",1312,3859,181100,836156,5171,1017256,99,372,14666,85471,471,100137,"Equal Growth Rates"
37,7,"petite","second-15min",1131,4007,150838,871801,5138,1022639,81,382,12226,88012,463,100238,"Equal Growth Rates"
37,8,"petite","second-15min",975,4075,133830,882131,5050,1015961,66,395,9298,90845,461,100143,"Equal Growth Rates"
37,9,"petite","second-15min",731,4224,100158,920150,4955,1020308,44,414,7513,92696,458,100209,"Equal Growth Rates"
37,10,"petite","second-15min",603,4299,79937,937297,4902,1017234,35,409,5442,94667,444,100109,"Equal Growth Rates"
37,11,"petite","second-15min",424,4394,59622,944062,4818,1003684,19,424,2591,97417,443,100008,"Equal Growth Rates"
37,12,"petite","second-15min",203,4512,27961,983944,4715,1011905,14,407,2309,97756,421,100065,"Equal Growth Rates"
37,13,"petite","second-15min",182,4518,25165,981602,4700,1006767,13,418,2045,98037,431,100082,"Equal Growth Rates"
37,14,"petite","second-15min",171,4535,22048,990344,4706,1012392,12,425,1331,98697,437,100028,"Equal Growth Rates"
37,15,"petite","second-15min",101,4597,14043,996274,4698,1010317,7,422,1227,98930,429,100157,"Equal Growth Rates"
37,16,"petite","second-15min",96,4600,12784,1002831,4696,1015615,8,431,1084,98988,439,100072,"Equal Growth Rates"
37,17,"petite","second-15min",84,4602,11406,1003990,4686,1015396,3,426,351,99784,429,100135,"Equal Growth Rates"
37,18,"petite","second-15min",31,4625,3832,999197,4656,1003029,3,443,292,99834,446,100126,"Equal Growth Rates"
30,1,"petite","second-15min",3859,2265,514115,492912,6124,1007027,314,235,45365,54829,549,100194,"Equal Growth Rates"
30,2,"petite","second-15min",3402,2534,464372,535781,5936,1000153,275,267,40525,59769,542,100294,"Equal Growth Rates"
30,3,"petite","second-15min",3043,2737,412880,586418,5780,999298,249,285,36566,63654,534,100220,"Equal Growth Rates"
30,4,"petite","second-15min",2812,2856,377655,624472,5668,1002127,234,289,33276,66758,523,100034,"Equal Growth Rates"
30,5,"petite","second-15min",2595,3098,352455,675110,5693,1027565,166,320,24982,75080,486,100062,"Equal Growth Rates"
30,6,"petite","second-15min",1924,3516,263637,753711,5440,1017348,137,350,19479,80780,487,100259,"Equal Growth Rates"
30,7,"petite","second-15min",1478,3778,204419,819360,5256,1023779,116,366,17182,82927,482,100109,"Equal Growth Rates"
30,8,"petite","second-15min",1350,3844,183616,835060,5194,1018676,101,370,15274,84855,471,100129,"Equal Growth Rates"
30,9,"petite","second-15min",1141,3992,152757,866958,5133,1019715,82,380,11772,88487,462,100259,"Equal Growth Rates"
30,10,"petite","second-15min",951,4064,126110,880161,5015,1006271,62,396,8731,91541,458,100272,"Equal Growth Rates"
30,11,"petite","second-15min",652,4286,87557,920210,4938,1007767,55,403,8499,91714,458,100213,"Equal Growth Rates"
30,12,"petite","second-15min",616,4295,83044,930897,4911,1013941,38,407,5342,94715,445,100057,"Equal Growth Rates"
30,13,"petite","second-15min",409,4415,55701,949768,4824,1005469,23,408,3318,96836,431,100154,"Equal Growth Rates"
30,14,"petite","second-15min",265,4504,33763,977165,4769,1010928,19,439,2715,97379,458,100094,"Equal Growth Rates"
30,15,"petite","second-15min",207,4542,28808,988277,4749,1017085,16,419,2617,97727,435,100344,"Equal Growth Rates"
30,16,"petite","second-15min",219,4532,28389,980732,4751,1009121,14,418,1462,98721,432,100183,"Equal Growth Rates"
30,17,"petite","second-15min",123,4578,16309,982549,4701,998858,8,430,1532,98645,438,100177,"Equal Growth Rates"
30,18,"petite","second-15min",125,4583,16570,994033,4708,1010603,10,432,1453,98705,442,100158,"Equal Growth Rates"
30,19,"petite","second-15min",108,4595,14526,997393,4703,1011919,3,429,542,99561,432,100103,"Equal Growth Rates"
