"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,880,"petite","second",5,4,547,519,9,1066,389,405,38928,63017,794,101945,"100k"
37,2,845,"petite","second",1,4,141,937,5,1078,90,617,8918,92132,707,101050,"100k"
30,1,865,"petite","second",8,2,566,585,10,1151,370,414,37446,63693,784,101139,"100k"
39,1,855,"petite","second",4,4,605,606,8,1211,383,420,37653,63584,803,101237,"100k"
4,1,850,"petite","second",6,6,563,679,12,1242,344,457,33601,68875,801,102476,"100k"
3,1,855,"petite","second",5,4,637,599,9,1236,407,399,39043,62460,806,101503,"100k"
2,1,870,"petite","second",7,3,533,573,10,1106,360,432,35312,65437,792,100749,"100k"
38,1,870,"petite","second",6,4,569,570,10,1139,367,442,37292,65094,809,102386,"100k"
5,1,870,"petite","second",5,5,583,555,10,1138,398,414,39035,62837,812,101872,"100k"
31,1,865,"petite","second",5,5,632,548,10,1180,413,403,40531,60499,816,101030,"100k"
31,2,865,"petite","second",1,4,238,786,5,1024,178,544,16997,85473,722,102470,"100k"
36,1,865,"petite","second",6,4,547,600,10,1147,352,453,35214,66445,805,101659,"100k"
14,1,845,"petite","second",6,4,577,692,10,1269,347,436,33476,67467,783,100943,"100k"
13,1,855,"petite","second",6,5,559,650,11,1209,344,450,34204,68381,794,102585,"100k"
25,1,880,"petite","second",6,4,578,523,10,1101,410,399,40065,62621,809,102686,"100k"
22,1,850,"petite","second",5,4,553,674,9,1227,344,430,33730,68168,774,101898,"100k"
49,1,875,"petite","second",5,4,553,539,9,1092,381,391,38043,62305,772,100348,"100k"
49,2,825,"petite","second",1,5,140,1055,6,1195,72,614,7905,92504,686,100409,"100k"
47,1,855,"petite","second",8,4,526,661,12,1187,340,458,32439,68230,798,100669,"100k"
47,2,835,"petite","second",1,5,214,950,6,1164,132,572,12886,87177,704,100063,"100k"
40,1,850,"petite","second",5,3,588,636,8,1224,361,440,35634,64576,801,100210,"100k"
23,1,865,"petite","second",6,4,513,628,10,1141,335,457,32273,68421,792,100694,"100k"
24,1,865,"petite","second",6,4,530,615,10,1145,343,434,34389,66059,777,100448,"100k"
12,1,880,"petite","second",5,4,523,537,9,1060,370,428,36737,64558,798,101295,"100k"
15,1,880,"petite","second",7,4,530,538,11,1068,368,432,36479,64088,800,100567,"100k"
15,2,830,"petite","second",1,5,221,969,6,1190,132,569,13075,87922,701,100997,"100k"
41,1,865,"petite","second",6,3,575,612,9,1187,372,434,36302,66110,806,102412,"100k"
46,1,880,"petite","second",6,4,582,512,10,1094,407,397,40255,61580,804,101835,"100k"
48,1,875,"petite","second",5,3,516,553,8,1069,349,437,35553,65389,786,100942,"100k"
33,1,880,"petite","second",5,4,520,529,9,1049,389,427,37289,63158,816,100447,"100k"
9,1,860,"petite","second",4,3,602,602,7,1204,396,430,38615,63657,826,102272,"100k"
34,1,860,"petite","second",6,4,519,642,10,1161,307,462,32243,68698,769,100941,"100k"
7,1,875,"petite","second",6,4,560,539,10,1099,383,427,37811,62866,810,100677,"100k"
6,1,860,"petite","second",5,4,565,611,9,1176,382,423,36336,64815,805,101151,"100k"
1,1,880,"petite","second",6,3,539,541,9,1080,385,431,37732,64867,816,102599,"100k"
8,1,855,"petite","second",3,4,528,668,7,1196,331,460,32366,70455,791,102821,"100k"
35,1,875,"petite","second",7,4,507,585,11,1092,343,454,34471,68288,797,102759,"100k"
32,1,865,"petite","second",4,3,505,619,7,1124,336,452,33332,67584,788,100916,"100k"
50,1,870,"petite","second",6,4,572,546,10,1118,380,405,37907,62319,785,100226,"100k"
43,1,870,"petite","second",5,3,532,586,8,1118,362,429,35630,65532,791,101162,"100k"
44,1,870,"petite","second",6,5,536,591,11,1127,375,442,35579,66516,817,102095,"100k"
10,1,865,"petite","second",7,6,619,573,13,1192,411,415,40157,62651,826,102808,"100k"
10,2,845,"petite","second",1,4,220,891,5,1111,137,555,13909,86509,692,100418,"100k"
