"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,955,"petite","second-15min",377,232,50020,50134,609,100154,38697,22780,5168202,4934500,61477,10102702,"Equal Growth Rates"
37,2,960,"petite","second-15min",22,275,5815,94299,297,100114,4495,43719,615025,9516390,48214,10131415,"Equal Growth Rates"
37,3,960,"petite","second-15min",1,263,339,99685,264,100024,268,46108,36021,10058570,46376,10094591,"Equal Growth Rates"
30,1,955,"petite","second-15min",380,225,50058,50079,605,100137,38470,22569,5163103,4927204,61039,10090307,"Equal Growth Rates"
30,2,960,"petite","second-15min",26,260,6585,93464,286,100049,5099,43541,697118,9447716,48640,10144834,"Equal Growth Rates"
30,3,960,"petite","second-15min",1,277,250,99897,278,100147,201,46531,27094,10098560,46732,10125654,"Equal Growth Rates"
39,1,955,"petite","second-15min",377,230,50168,50148,607,100316,38567,22681,5172121,4940727,61248,10112848,"Equal Growth Rates"
39,2,960,"petite","second-15min",24,271,6994,93083,295,100077,5497,43218,744517,9405875,48715,10150392,"Equal Growth Rates"
39,3,960,"petite","second-15min",1,274,425,99631,275,100056,318,46291,45044,10070786,46609,10115830,"Equal Growth Rates"
4,1,955,"petite","second-15min",370,231,50028,50059,601,100087,38548,22733,5164715,4933823,61281,10098538,"Equal Growth Rates"
4,2,960,"petite","second-15min",14,278,3912,96262,292,100174,3028,44765,413526,9725069,47793,10138595,"Equal Growth Rates"
4,3,960,"petite","second-15min",1,280,166,100158,281,100324,132,46453,17843,10112110,46585,10129953,"Equal Growth Rates"
3,1,955,"petite","second-15min",352,227,50135,50153,579,100288,38619,22768,5167613,4941847,61387,10109460,"Equal Growth Rates"
3,2,960,"petite","second-15min",25,271,7027,93108,296,100135,5468,43218,744746,9405496,48686,10150242,"Equal Growth Rates"
3,3,960,"petite","second-15min",3,275,866,99263,278,100129,674,46121,92063,10012245,46795,10104308,"Equal Growth Rates"
2,1,955,"petite","second-15min",372,225,50029,50038,597,100067,38639,22589,5170485,4924428,61228,10094913,"Equal Growth Rates"
2,2,960,"petite","second-15min",30,271,7106,93214,301,100320,5553,43129,752437,9416434,48682,10168871,"Equal Growth Rates"
2,3,960,"petite","second-15min",1,275,255,99756,276,100011,197,46244,26988,10071985,46441,10098973,"Equal Growth Rates"
38,1,955,"petite","second-15min",374,243,50258,50012,617,100270,38777,22642,5191255,4920511,61419,10111766,"Equal Growth Rates"
38,2,960,"petite","second-15min",20,287,5738,94300,307,100038,4530,43711,611423,9513734,48241,10125157,"Equal Growth Rates"
38,3,960,"petite","second-15min",3,261,795,99282,264,100077,593,46037,83461,10020396,46630,10103857,"Equal Growth Rates"
5,1,955,"petite","second-15min",367,235,50063,50170,602,100233,38618,22773,5177579,4938402,61391,10115981,"Equal Growth Rates"
5,2,960,"petite","second-15min",24,264,6350,94053,288,100403,4955,43641,670841,9501982,48596,10172823,"Equal Growth Rates"
31,1,955,"petite","second-15min",383,231,50009,50185,614,100194,38589,22733,5157491,4948997,61322,10106488,"Equal Growth Rates"
