"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,"petite","second",44,36,4453,5282,80,9735,1,4,141,937,5,1078,"100k"
31,1,"petite","second",43,39,4396,5309,82,9705,1,4,238,786,5,1024,"100k"
49,1,"petite","second",34,44,3341,6093,78,9434,1,5,140,1055,6,1195,"100k"
47,1,"petite","second",37,43,3449,5923,80,9372,1,5,214,950,6,1164,"100k"
15,1,"petite","second",39,41,3510,5796,80,9306,1,5,221,969,6,1190,"100k"
10,1,"petite","second",47,36,4891,4953,83,9844,1,4,220,891,5,1111,"100k"
28,1,"petite","second",35,45,3334,6367,80,9701,1,4,133,904,5,1037,"100k"
27,1,"petite","second",41,39,4020,5822,80,9842,1,3,172,901,4,1073,"100k"
37,1,"petite","second",396,398,38585,61573,794,100158,2,39,263,9816,41,10079,"1mill"
30,1,"petite","second",388,414,37528,63165,802,100693,2,42,286,9822,44,10108,"1mill"
4,1,"petite","second",365,428,35704,67586,793,103290,1,40,154,9854,41,10008,"1mill"
3,1,"petite","second",370,429,37870,66774,799,104644,2,37,512,9625,39,10137,"1mill"
2,1,"petite","second",375,425,36606,64161,800,100767,3,38,571,9606,41,10177,"1mill"
2,2,"petite","second",39,641,3745,99103,680,102848,1,37,217,9817,38,10034,"1mill"
5,1,"petite","second",382,421,37873,64503,803,102376,1,39,263,9989,40,10252,"1mill"
36,1,"petite","second",369,424,36143,63964,793,100107,2,38,374,9777,40,10151,"1mill"
14,1,"petite","second",399,415,38528,64632,814,103160,1,40,193,9821,41,10014,"1mill"
13,1,"petite","second",400,408,40086,60343,808,100429,3,39,622,9381,42,10003,"1mill"
25,1,"petite","second",389,421,37836,64538,810,102374,1,40,177,9876,41,10053,"1mill"
25,2,"petite","second",13,653,1521,100790,666,102311,1,38,254,9833,39,10087,"1mill"
22,1,"petite","second",391,397,38074,62059,788,100133,3,39,520,9575,42,10095,"1mill"
49,1,"petite","second",348,456,34314,70291,804,104605,2,36,436,9860,38,10296,"1mill"
47,1,"petite","second",377,435,36976,65539,812,102515,2,40,305,9747,42,10052,"1mill"
40,1,"petite","second",370,433,36586,65569,803,102155,1,39,182,9924,40,10106,"1mill"
23,1,"petite","second",377,423,37462,64827,800,102289,2,39,424,9583,41,10007,"1mill"
24,1,"petite","second",389,414,37729,64137,803,101866,3,38,699,9305,41,10004,"1mill"
15,1,"petite","second",398,394,38860,60844,792,99704,1,41,175,9981,42,10156,"1mill"
41,1,"petite","second",378,427,36845,65210,805,102055,3,40,619,9503,43,10122,"1mill"
46,1,"petite","second",375,436,36823,65307,811,102130,2,40,525,9525,42,10050,"1mill"
48,1,"petite","second",383,409,37269,60969,792,98238,3,40,537,9600,43,10137,"1mill"
33,1,"petite","second",375,429,37771,64231,804,102002,4,37,832,9256,41,10088,"1mill"
9,1,"petite","second",358,440,34515,67777,798,102292,2,42,431,9801,44,10232,"1mill"
1,1,"petite","second",370,437,37032,64531,807,101563,3,42,445,9738,45,10183,"1mill"
8,1,"petite","second",400,410,38849,61769,810,100618,3,40,460,9723,43,10183,"1mill"
35,1,"petite","second",392,403,39536,63927,795,103463,2,37,358,9668,39,10026,"1mill"
32,1,"petite","second",380,415,38261,62568,795,100829,1,38,265,9775,39,10040,"1mill"
50,1,"petite","second",394,409,37782,63756,803,101538,2,38,491,9815,40,10306,"1mill"
43,1,"petite","second",406,396,39938,58604,802,98542,2,45,570,9649,47,10219,"1mill"
17,1,"petite","second",402,417,39914,63604,819,103518,2,38,430,9702,40,10132,"1mill"
28,1,"petite","second",376,413,36136,66426,789,102562,1,38,226,9785,39,10011,"1mill"
21,1,"petite","second",365,444,35297,67947,809,103244,1,44,141,9879,45,10020,"1mill"
45,1,"petite","second",406,404,39559,63517,810,103076,1,40,134,9971,41,10105,"1mill"
42,1,"petite","second",396,413,38498,64932,809,103430,1,40,139,10000,41,10139,"1mill"
18,1,"petite","second",400,404,39103,61748,804,100851,1,42,153,9921,43,10074,"1mill"
16,1,"petite","second",402,391,39909,60892,793,100801,2,38,390,9759,40,10149,"1mill"
29,1,"petite","second",363,429,36480,65011,792,101491,2,41,360,9718,43,10078,"1mill"
29,2,"petite","second",30,639,2917,97319,669,100236,1,39,236,9834,40,10070,"1mill"
11,1,"petite","second",373,422,35080,66651,795,101731,1,39,128,9963,40,10091,"1mill"
37,1,"petite","second",3793,4159,372623,636723,7952,1009346,10,395,2090,97950,405,100040,"10mill"
37,2,"petite","second",149,6474,14324,981547,6623,995871,1,379,224,100070,380,100294,"10mill"
30,1,"petite","second",3738,4214,368525,641112,7952,1009637,11,390,2355,97911,401,100266,"10mill"
39,1,"petite","second",3692,4273,362061,652313,7965,1014374,12,385,2481,97530,397,100011,"10mill"
4,1,"petite","second",3705,4261,365517,648471,7966,1013988,10,391,1982,98284,401,100266,"10mill"
4,2,"petite","second",114,6501,11654,986372,6615,998026,1,394,224,99931,395,100155,"10mill"
3,1,"petite","second",3758,4171,367135,634510,7929,1001645,17,400,3393,97104,417,100497,"10mill"
2,1,"petite","second",3816,4169,375992,632437,7985,1008429,10,395,1950,98163,405,100113,"10mill"
2,2,"petite","second",135,6496,13324,992895,6631,1006219,1,384,281,100166,385,100447,"10mill"
38,1,"petite","second",3755,4201,366122,640916,7956,1007038,16,390,3150,96852,406,100002,"10mill"
5,1,"petite","second",3802,4146,372070,615479,7948,987549,12,402,2310,97975,414,100285,"10mill"
31,1,"petite","second",3716,4240,363642,645901,7956,1009543,8,393,1494,98600,401,100094,"10mill"
36,1,"petite","second",3740,4212,364690,644555,7952,1009245,17,387,3367,96870,404,100237,"10mill"
36,2,"petite","second",229,6589,22740,996105,6818,1018845,2,387,502,99714,389,100216,"10mill"
14,1,"petite","second",3820,4111,372929,629429,7931,1002358,12,390,2441,97616,402,100057,"10mill"
13,1,"petite","second",3776,4177,370201,637112,7953,1007313,9,386,1942,98272,395,100214,"10mill"
25,1,"petite","second",3736,4221,361814,643166,7957,1004980,8,402,1289,98928,410,100217,"10mill"
22,1,"petite","second",3723,4209,364804,641140,7932,1005944,11,393,2051,98034,404,100085,"10mill"
49,1,"petite","second",3749,4205,367950,637381,7954,1005331,8,386,1528,98512,394,100040,"10mill"
49,2,"petite","second",94,6528,9574,998267,6622,1007841,1,384,226,100068,385,100294,"10mill"
47,1,"petite","second",3734,4224,363790,640578,7958,1004368,17,393,3441,96878,410,100319,"10mill"
40,1,"petite","second",3708,4253,363799,649152,7961,1012951,15,383,2984,97037,398,100021,"10mill"
40,2,"petite","second",198,6581,20614,1002206,6779,1022820,1,379,265,99868,380,100133,"10mill"
23,1,"petite","second",3776,4156,369240,631164,7932,1000404,20,384,3785,96471,404,100256,"10mill"
23,2,"petite","second",248,6547,25175,988538,6795,1013713,1,400,225,99987,401,100212,"10mill"
24,1,"petite","second",3721,4238,364588,645900,7959,1010488,13,390,2314,97902,403,100216,"10mill"
12,1,"petite","second",3720,4231,360161,641552,7951,1001713,14,381,3058,97043,395,100101,"10mill"
12,2,"petite","second",206,6597,20792,1007944,6803,1028736,1,380,312,99741,381,100053,"10mill"
15,1,"petite","second",3783,4154,373800,637907,7937,1011707,16,391,2871,97272,407,100143,"10mill"
15,2,"petite","second",201,6589,19902,1005344,6790,1025246,1,382,322,99780,383,100102,"10mill"
41,1,"petite","second",3781,4150,374299,635106,7931,1009405,15,392,3212,96889,407,100101,"10mill"
41,2,"petite","second",214,6576,22290,998214,6790,1020504,2,382,551,99530,384,100081,"10mill"
46,1,"petite","second",3718,4238,359404,645584,7956,1004988,16,392,3067,97257,408,100324,"10mill"
46,2,"petite","second",201,6425,19546,980129,6626,999675,2,378,344,99727,380,100071,"10mill"
48,1,"petite","second",3723,4221,362688,641602,7944,1004290,12,405,2361,97771,417,100132,"10mill"
33,1,"petite","second",3749,4198,368261,638779,7947,1007040,14,382,2863,97365,396,100228,"10mill"
9,1,"petite","second",3764,4171,368866,640268,7935,1009134,15,387,2951,97067,402,100018,"10mill"
34,1,"petite","second",3760,4191,366965,632578,7951,999543,18,392,3639,96562,410,100201,"10mill"
7,1,"petite","second",3789,4169,372501,630097,7958,1002598,13,395,2534,97582,408,100116,"10mill"
6,1,"petite","second",3733,4235,364767,653434,7968,1018201,13,376,2620,97605,389,100225,"10mill"
1,1,"petite","second",3743,4215,365831,641809,7958,1007640,15,387,2689,97426,402,100115,"10mill"
1,2,"petite","second",174,6620,17277,1006487,6794,1023764,2,385,462,99720,387,100182,"10mill"
8,1,"petite","second",3730,4236,361106,646133,7966,1007239,15,378,2857,97204,393,100061,"10mill"
35,1,"petite","second",3766,4176,371252,630255,7942,1001507,15,396,3158,97082,411,100240,"10mill"
32,1,"petite","second",3728,4227,364187,636869,7955,1001056,19,389,3408,96705,408,100113,"10mill"
32,2,"petite","second",219,6585,19757,1006743,6804,1026500,1,384,178,99966,385,100144,"10mill"
50,1,"petite","second",3751,4182,368540,631851,7933,1000391,18,391,3990,96176,409,100166,"10mill"
50,2,"petite","second",278,6521,26665,994626,6799,1021291,1,384,198,99858,385,100056,"10mill"
43,1,"petite","second",3722,4219,367953,647065,7941,1015018,11,396,2232,97869,407,100101,"10mill"
43,2,"petite","second",156,6471,16376,981934,6627,998310,1,375,222,99921,376,100143,"10mill"
44,1,"petite","second",3759,4166,372668,631833,7925,1004501,8,401,1454,98706,409,100160,"10mill"
44,2,"petite","second",97,6520,9624,999159,6617,1008783,1,377,261,99746,378,100007,"10mill"
10,1,"petite","second",3718,4197,364016,641362,7915,1005378,10,387,1964,98324,397,100288,"10mill"
17,1,"petite","second",3768,4175,369685,635421,7943,1005106,15,379,3298,97030,394,100328,"10mill"
28,1,"petite","second",3811,4135,370995,627062,7946,998057,13,392,2545,97618,405,100163,"10mill"
28,2,"petite","second",175,6427,17328,980596,6602,997924,1,392,148,99973,393,100121,"10mill"
21,1,"petite","second",3759,4186,366171,633183,7945,999354,12,391,2329,97690,403,100019,"10mill"
26,1,"petite","second",3731,4249,360186,653751,7980,1013937,8,399,1581,98624,407,100205,"10mill"
26,2,"petite","second",101,6503,10208,990355,6604,1000563,1,387,233,99998,388,100231,"10mill"
19,1,"petite","second",3776,4184,370235,641000,7960,1011235,11,381,2663,97759,392,100422,"10mill"
45,1,"petite","second",3764,4195,365828,633941,7959,999769,8,397,1477,98550,405,100027,"10mill"
42,1,"petite","second",3752,4224,365048,644503,7976,1009551,11,396,1940,98071,407,100011,"10mill"
27,1,"petite","second",3783,4158,371387,627924,7941,999311,20,382,3870,96358,402,100228,"10mill"
18,1,"petite","second",3751,4193,368949,637234,7944,1006183,18,388,3509,96775,406,100284,"10mill"
20,1,"petite","second",3713,4229,361141,640738,7942,1001879,14,386,2806,97286,400,100092,"10mill"
20,2,"petite","second",180,6616,18455,1008102,6796,1026557,1,386,208,99903,387,100111,"10mill"
16,1,"petite","second",3790,4193,366870,642022,7983,1008892,11,399,2283,97975,410,100258,"10mill"
16,2,"petite","second",156,6476,14698,989440,6632,1004138,2,386,342,99865,388,100207,"10mill"
29,1,"petite","second",3740,4247,365944,642654,7987,1008598,17,390,3320,96896,407,100216,"10mill"
11,1,"petite","second",3747,4185,366892,638768,7932,1005660,14,388,2872,97288,402,100160,"10mill"
