"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,"petite","second-15min",3847,2301,507773,504648,6148,1012421,22,275,5815,94299,297,100114,"Equal Growth Rates"
37,2,"petite","second-15min",468,4354,64060,937265,4822,1001325,1,263,339,99685,264,100024,"Equal Growth Rates"
30,1,"petite","second-15min",3850,2254,512316,496733,6104,1009049,26,260,6585,93464,286,100049,"Equal Growth Rates"
30,2,"petite","second-15min",491,4373,67162,943959,4864,1011121,1,277,250,99897,278,100147,"Equal Growth Rates"
39,1,"petite","second-15min",3829,2296,505527,505444,6125,1010971,24,271,6994,93083,295,100077,"Equal Growth Rates"
39,2,"petite","second-15min",580,4292,77897,934855,4872,1012752,1,274,425,99631,275,100056,"Equal Growth Rates"
4,1,"petite","second-15min",3840,2289,516790,497221,6129,1014011,14,278,3912,96262,292,100174,"Equal Growth Rates"
4,2,"petite","second-15min",311,4469,43611,959312,4780,1002923,1,280,166,100158,281,100324,"Equal Growth Rates"
3,1,"petite","second-15min",3915,2224,522029,484114,6139,1006143,25,271,7027,93108,296,100135,"Equal Growth Rates"
3,2,"petite","second-15min",511,4358,68477,941380,4869,1009857,3,275,866,99263,278,100129,"Equal Growth Rates"
2,1,"petite","second-15min",3842,2281,505934,498740,6123,1004674,30,271,7106,93214,301,100320,"Equal Growth Rates"
2,2,"petite","second-15min",550,4319,71932,935485,4869,1007417,1,275,255,99756,276,100011,"Equal Growth Rates"
38,1,"petite","second-15min",3898,2244,522113,487550,6142,1009663,20,287,5738,94300,307,100038,"Equal Growth Rates"
38,2,"petite","second-15min",458,4367,60593,945295,4825,1005888,3,261,795,99282,264,100077,"Equal Growth Rates"
5,1,"petite","second-15min",3817,2323,509083,511383,6140,1020466,24,264,6350,94053,288,100403,"Equal Growth Rates"
31,1,"petite","second-15min",3814,2319,510489,513259,6133,1023748,22,270,6101,93946,292,100047,"Equal Growth Rates"
