LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,FIRST,LAST,best_ellipse_angle,best_ellipse_id,ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,date,strain,strain_date,complete_id,cell_death,timepoint,strain_timepoint,strain_timepoint_date,id_file,big_clust,cell_id,division_number,mother_cell_id,budd_angle,mother_delta_t,max_num_div,TOTAL_DISTANCE,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY,minutes,hours,mother_delta_hours,transfer,unique_id_branch
Track_0: ID15532 → ID10521,0,1,2,6900,3.204146026,0.666891413,15532,10521,29.92294073,10525,10521,1456,78.12321559,73.46066199,0,10800,36,3.161409066,1,NA,12882.02531,12839,10218,15224,18833521,720.8132557,-0.95695963,-794.7105942,-0.01067616,-0.012398895,5.661843877,1.821090868,0.529375442,3.109039739,31.39867066,27.71679157,0.513612061,0.892627715,4.946378265,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0002,1,PA3_t400_6_2023jan12_0001_1,2.834127146,3600,1,NA,NA,NA,115,1.916666667,1,400,PA3_t400_6_2023jan12_0
Track_63: ID14680 → ID10578,63,1,2,5100,5.898365131,0.448516618,14680,10578,100.1912548,10578,10578,2485,113.4048615,106.991198,0,14100,47,4.130440035,1,NA,12373.29506,12244,9432,15360,30821878,1397.086781,-0.958972769,-414.024513,-0.077139328,-0.009086033,5.459032936,3.2958314,-1.392924878,1.65634472,53.59725105,28.97644595,0.802162113,0.981477833,3.957982403,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0004,1,PA3_t400_6_2023jan12_0003_1,NA,2400,4,NA,NA,NA,85,1.416666667,0.666666667,400,PA3_t400_6_2023jan12_63
Track_63: ID10508 → ID10582,63,1,2,5400,1.881544226,0.3379334,10508,10582,74.75435006,10582,10582,2197,113.5252904,97.18670797,0,14400,48,3.883843359,1,NA,12589.79946,12392,9424,15789,27747918,1365.735878,-0.957584009,-416.226146,0.002845565,0.039249664,4.507509977,3.39770048,1.304709072,1.326635471,47.38853516,25.85745782,0.890659077,0.979319546,3.756204104,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0003,2,PA3_t400_6_2023jan12_0003_1,27.35303276,2400,3,NA,NA,NA,90,1.5,0.666666667,400,PA3_t400_6_2023jan12_63
Track_0: ID15560 → ID10654,0,1,2,6900,2.069162359,0.557344553,15560,10654,46.31145538,10654,10654,2139,72.46662031,67.27902334,0,18000,60,3.831011572,1,NA,12589.03265,12580,10164,14792,26990886,879.8194815,-0.95814091,-655.0408436,-0.015782669,0.001164259,5.043510444,2.916008191,0.808287089,1.729594059,46.10805476,26.27931212,0.838993658,0.983249197,3.870130351,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0005,1,PA3_t400_6_2023jan12_0002_1,NA,6900,2,NA,NA,NA,115,1.916666667,1.916666667,400,PA3_t400_6_2023jan12_0
Track_63: ID14731 → ID10706,63,1,2,5100,5.00848815,0.457357513,14731,10706,107.4116046,10706,10706,2232,111.131906,117.4714184,0,19500,65,3.918086112,1,NA,11973.25045,12005,9135,15053,26867974,1170.917975,-0.960866,-502.1392626,-0.05039326,0.049850419,5.713226867,2.763542369,-1.266906046,2.067356351,48.22784164,28.00993863,0.77247312,0.979672131,4.03332524,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0008,1,PA3_t400_6_2023jan12_0004_1,NA,5100,3,NA,NA,NA,85,1.416666667,1.416666667,400,PA3_t400_6_2023jan12_63
Track_63: ID10583 → ID10712,63,1,2,5400,0.919584027,0.30236442,10583,10712,99.01718318,10712,10712,2514,113.9624775,107.3982808,0,19800,66,4.148643184,1,NA,12107.80717,11803,9304,15446,30390596,1426.235865,-0.959816248,-405.5475193,-0.040335406,-0.011468098,5.456620033,3.297363487,1.728175245,1.654843349,54.07070599,29.35845914,0.78832516,0.977626459,3.992567232,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0004,2,PA3_t400_6_2023jan12_0004_1,7.220349807,5100,4,NA,NA,NA,90,1.5,1.416666667,400,PA3_t400_6_2023jan12_63
Track_106: ID15338 → ID10683,106,1,2,5700,4.410705237,0.399668879,15338,10683,50.81187462,10683,10683,2339,97.89256377,69.17857859,0,20100,67,4.004977952,1,NA,12471.18228,12502,9676,15536,29282336,1055.691737,-0.955556084,-507.9773687,0.01063801,-0.033502501,5.107939286,3.17361465,0.886834194,1.609502051,50.39066988,27.53582354,0.83514879,0.976438699,3.879028799,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0007,1,PA3_t400_6_2023jan12_0006_1,4.884658839,1800,1,NA,NA,NA,95,1.583333333,0.5,400,PA3_t400_6_2023jan12_106
Track_106: ID10581 → ID10689,106,1,2,5700,0.509386006,0.300311594,10581,10689,45.68013657,10689,10689,2282,103.3767802,77.21007739,0,20100,67,3.955497354,1,NA,11902.74409,12077,9091,14391,27209673,1060.644697,-0.956774873,-496.7989264,0.001308317,-0.036338384,4.957264465,3.219815644,0.797268501,1.539611274,49.15323084,26.80036801,0.859964291,0.97983698,3.822651645,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0006,2,PA3_t400_6_2023jan12_0006_1,NA,1800,3,NA,NA,NA,95,1.583333333,0.5,400,PA3_t400_6_2023jan12_106
Track_63: ID10587 → ID10695,63,1,2,5400,0.686177991,0.52351184,10587,10695,86.05439836,10695,10695,2040,114.1774646,97.27676856,0,20100,67,3.735039987,1,NA,12377.62137,12269,10091,14968,25138949,1212.661809,-0.957666972,-461.8092877,-0.001376984,-0.0230738,4.495963662,3.160710286,1.50193205,1.42245358,43.82686279,25.06766307,0.876440728,0.978146013,3.786549658,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0003,3,PA3_t400_6_2023jan12_0003_2,NA,5400,3,NA,NA,NA,90,1.5,1.5,400,PA3_t400_6_2023jan12_63
Track_63: ID14738 → ID10700,63,1,2,5400,3.844614765,0.62093476,14738,10700,38.50696342,10700,10700,1796,119.8136887,102.8779173,0,20100,67,3.506592301,1,NA,11643.11699,11527,9951,13532,20899395,924.0915788,-0.959963748,-604.2068787,-0.035058086,-0.012857169,4.267552393,2.927461737,0.672073056,1.457765388,38.62961881,23.95277332,0.846094121,0.972109396,3.853856977,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,FALSE,PA3_t400_6_2023jan12_0009,1,PA3_t400_6_2023jan12_0003_2,36.24738664,5400,1,NA,NA,NA,90,1.5,1.5,400,PA3_t400_6_2023jan12_63
