"division_number","delta_t","minutes","hours"
1,5400,90,1.5
0,6000,100,1.66666666666667
1,6300,105,1.75
0,5700,95,1.58333333333333
1,6000,100,1.66666666666667
0,6900,115,1.91666666666667
0,7200,120,2
1,7500,125,2.08333333333333
0,9600,160,2.66666666666667
0,6300,105,1.75
1,6900,115,1.91666666666667
0,6300,105,1.75
1,6000,100,1.66666666666667
0,6600,110,1.83333333333333
0,6000,100,1.66666666666667
0,7800,130,2.16666666666667
0,6600,110,1.83333333333333
1,6600,110,1.83333333333333
1,5700,95,1.58333333333333
0,5700,95,1.58333333333333
1,5700,95,1.58333333333333
0,6900,115,1.91666666666667
0,6000,100,1.66666666666667
0,7200,120,2
0,5700,95,1.58333333333333
0,5400,90,1.5
0,6600,110,1.83333333333333
1,6600,110,1.83333333333333
0,5400,90,1.5
0,7500,125,2.08333333333333
0,6300,105,1.75
1,5400,90,1.5
0,6000,100,1.66666666666667
1,6900,115,1.91666666666667
0,6000,100,1.66666666666667
0,7200,120,2
0,5700,95,1.58333333333333
0,6600,110,1.83333333333333
1,6600,110,1.83333333333333
0,7500,125,2.08333333333333
0,6600,110,1.83333333333333
1,5100,85,1.41666666666667
0,5400,90,1.5
0,7800,130,2.16666666666667
0,7200,120,2
1,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,7800,130,2.16666666666667
1,5700,95,1.58333333333333
0,5700,95,1.58333333333333
0,5700,95,1.58333333333333
0,6600,110,1.83333333333333
1,6900,115,1.91666666666667
0,6300,105,1.75
0,5700,95,1.58333333333333
0,6600,110,1.83333333333333
1,6600,110,1.83333333333333
1,7500,125,2.08333333333333
0,9900,165,2.75
1,5700,95,1.58333333333333
0,6300,105,1.75
1,6000,100,1.66666666666667
1,9000,150,2.5
0,6300,105,1.75
0,9600,160,2.66666666666667
1,5400,90,1.5
0,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,6300,105,1.75
0,6600,110,1.83333333333333
0,6300,105,1.75
0,6000,100,1.66666666666667
1,6600,110,1.83333333333333
0,6900,115,1.91666666666667
1,8100,135,2.25
0,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,6300,105,1.75
1,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,6000,100,1.66666666666667
1,6300,105,1.75
0,6600,110,1.83333333333333
0,6600,110,1.83333333333333
0,6000,100,1.66666666666667
0,6000,100,1.66666666666667
0,6300,105,1.75
0,6600,110,1.83333333333333
0,5700,95,1.58333333333333
0,6000,100,1.66666666666667
0,6300,105,1.75
0,7200,120,2
1,6600,110,1.83333333333333
0,5700,95,1.58333333333333
0,7800,130,2.16666666666667
0,6600,110,1.83333333333333
0,9300,155,2.58333333333333
0,6300,105,1.75
0,7200,120,2
0,6300,105,1.75
1,6600,110,1.83333333333333
0,7500,125,2.08333333333333
0,6000,100,1.66666666666667
0,6900,115,1.91666666666667
0,6600,110,1.83333333333333
0,6300,105,1.75
1,6600,110,1.83333333333333
0,7200,120,2
1,6900,115,1.91666666666667
0,6300,105,1.75
0,6600,110,1.83333333333333
1,5700,95,1.58333333333333
0,6000,100,1.66666666666667
0,6600,110,1.83333333333333
0,6900,115,1.91666666666667
1,6600,110,1.83333333333333
0,6300,105,1.75
0,6900,115,1.91666666666667
0,6300,105,1.75
0,5400,90,1.5
0,5700,95,1.58333333333333
0,8100,135,2.25
0,7200,120,2
0,6600,110,1.83333333333333
0,6300,105,1.75
1,6000,100,1.66666666666667
0,6300,105,1.75
1,7500,125,2.08333333333333
0,8400,140,2.33333333333333
0,6900,115,1.91666666666667
0,6600,110,1.83333333333333
0,6600,110,1.83333333333333
0,5400,90,1.5
0,8400,140,2.33333333333333
1,9000,150,2.5
0,6000,100,1.66666666666667
1,6300,105,1.75
0,5700,95,1.58333333333333
1,6000,100,1.66666666666667
1,5100,85,1.41666666666667
0,5400,90,1.5
0,6000,100,1.66666666666667
0,6600,110,1.83333333333333
0,5400,90,1.5
0,6300,105,1.75
1,6300,105,1.75
0,5400,90,1.5
0,9300,155,2.58333333333333
0,6600,110,1.83333333333333
0,6000,100,1.66666666666667
0,6600,110,1.83333333333333
1,6600,110,1.83333333333333
0,7200,120,2
0,5400,90,1.5
0,4200,70,1.16666666666667
0,5100,85,1.41666666666667
1,5100,85,1.41666666666667
0,6000,100,1.66666666666667
0,7500,125,2.08333333333333
0,5100,85,1.41666666666667
1,5400,90,1.5
0,5700,95,1.58333333333333
0,6300,105,1.75
1,6900,115,1.91666666666667
0,5100,85,1.41666666666667
0,6300,105,1.75
0,8100,135,2.25
0,5700,95,1.58333333333333
1,6600,110,1.83333333333333
0,6600,110,1.83333333333333
1,6900,115,1.91666666666667
0,5400,90,1.5
1,5400,90,1.5
0,5700,95,1.58333333333333
0,6000,100,1.66666666666667
1,6300,105,1.75
0,6300,105,1.75
0,5700,95,1.58333333333333
0,6900,115,1.91666666666667
0,5700,95,1.58333333333333
1,5400,90,1.5
0,6300,105,1.75
0,6000,100,1.66666666666667
0,7200,120,2
0,5700,95,1.58333333333333
1,7800,130,2.16666666666667
0,6300,105,1.75
0,4800,80,1.33333333333333
0,5400,90,1.5
0,5400,90,1.5
1,5400,90,1.5
0,6000,100,1.66666666666667
0,4800,80,1.33333333333333
0,6600,110,1.83333333333333
1,6900,115,1.91666666666667
0,5100,85,1.41666666666667
0,5100,85,1.41666666666667
1,5400,90,1.5
0,5700,95,1.58333333333333
