"division_number","delta_t","minutes","hours"
1,5400,90,1.5
0,6900,115,1.91666666666667
1,4500,75,1.25
1,6600,110,1.83333333333333
0,5700,95,1.58333333333333
0,7800,130,2.16666666666667
0,5700,95,1.58333333333333
0,6900,115,1.91666666666667
0,10500,175,2.91666666666667
0,10200,170,2.83333333333333
0,9000,150,2.5
0,9300,155,2.58333333333333
1,6300,105,1.75
1,6600,110,1.83333333333333
0,9300,155,2.58333333333333
0,10800,180,3
0,11700,195,3.25
1,7200,120,2
0,10500,175,2.91666666666667
0,9600,160,2.66666666666667
1,5400,90,1.5
0,8100,135,2.25
1,3000,50,0.833333333333333
0,6900,115,1.91666666666667
1,7200,120,2
0,8100,135,2.25
0,7500,125,2.08333333333333
0,10200,170,2.83333333333333
1,6900,115,1.91666666666667
0,8100,135,2.25
1,6300,105,1.75
0,6900,115,1.91666666666667
0,9900,165,2.75
0,6900,115,1.91666666666667
0,17100,285,4.75
1,10200,170,2.83333333333333
0,11100,185,3.08333333333333
1,5400,90,1.5
0,6600,110,1.83333333333333
0,6600,110,1.83333333333333
0,6300,105,1.75
1,11400,190,3.16666666666667
0,14700,245,4.08333333333333
0,6600,110,1.83333333333333
0,12300,205,3.41666666666667
0,6900,115,1.91666666666667
1,6600,110,1.83333333333333
1,6600,110,1.83333333333333
0,6300,105,1.75
0,6000,100,1.66666666666667
0,7500,125,2.08333333333333
0,12900,215,3.58333333333333
0,9000,150,2.5
1,4500,75,1.25
0,5100,85,1.41666666666667
1,6900,115,1.91666666666667
0,8400,140,2.33333333333333
0,7800,130,2.16666666666667
1,8400,140,2.33333333333333
0,5700,95,1.58333333333333
0,6900,115,1.91666666666667
0,9000,150,2.5
0,13200,220,3.66666666666667
0,15000,250,4.16666666666667
0,12900,215,3.58333333333333
1,8100,135,2.25
1,7800,130,2.16666666666667
0,11400,190,3.16666666666667
0,10200,170,2.83333333333333
0,13800,230,3.83333333333333
0,7200,120,2
0,8100,135,2.25
0,8700,145,2.41666666666667
0,8100,135,2.25
0,7200,120,2
0,10800,180,3
0,12000,200,3.33333333333333
0,7800,130,2.16666666666667
0,9000,150,2.5
1,7200,120,2
0,9900,165,2.75
0,11400,190,3.16666666666667
0,6600,110,1.83333333333333
1,8700,145,2.41666666666667
0,11700,195,3.25
0,11400,190,3.16666666666667
0,10500,175,2.91666666666667
0,10800,180,3
0,7800,130,2.16666666666667
0,6600,110,1.83333333333333
0,9000,150,2.5
1,7200,120,2
0,8400,140,2.33333333333333
0,7500,125,2.08333333333333
0,10200,170,2.83333333333333
1,6600,110,1.83333333333333
0,9600,160,2.66666666666667
1,13500,225,3.75
1,4500,75,1.25
0,7500,125,2.08333333333333
1,7500,125,2.08333333333333
1,9000,150,2.5
0,7200,120,2
0,8700,145,2.41666666666667
0,5700,95,1.58333333333333
0,6000,100,1.66666666666667
0,6300,105,1.75
0,9900,165,2.75
0,7500,125,2.08333333333333
0,6300,105,1.75
0,11100,185,3.08333333333333
0,9900,165,2.75
0,9300,155,2.58333333333333
1,6300,105,1.75
0,9300,155,2.58333333333333
0,8100,135,2.25
1,7500,125,2.08333333333333
0,9300,155,2.58333333333333
1,6600,110,1.83333333333333
0,12600,210,3.5
0,13800,230,3.83333333333333
0,8700,145,2.41666666666667
1,8400,140,2.33333333333333
0,10200,170,2.83333333333333
0,7200,120,2
1,8100,135,2.25
1,6900,115,1.91666666666667
0,7800,130,2.16666666666667
0,12900,215,3.58333333333333
0,10800,180,3
1,6600,110,1.83333333333333
0,8400,140,2.33333333333333
0,8700,145,2.41666666666667
0,11400,190,3.16666666666667
0,8700,145,2.41666666666667
0,8400,140,2.33333333333333
0,9300,155,2.58333333333333
0,11100,185,3.08333333333333
1,4800,80,1.33333333333333
0,7200,120,2
0,5400,90,1.5
0,6000,100,1.66666666666667
1,9600,160,2.66666666666667
1,6300,105,1.75
0,6600,110,1.83333333333333
0,13500,225,3.75
0,5100,85,1.41666666666667
0,9600,160,2.66666666666667
0,9000,150,2.5
0,7500,125,2.08333333333333
0,8400,140,2.33333333333333
0,10200,170,2.83333333333333
0,10800,180,3
1,12900,215,3.58333333333333
0,8400,140,2.33333333333333
0,12300,205,3.41666666666667
1,8400,140,2.33333333333333
0,6600,110,1.83333333333333
0,15300,255,4.25
1,7800,130,2.16666666666667
0,12000,200,3.33333333333333
1,8400,140,2.33333333333333
0,9900,165,2.75
0,9000,150,2.5
0,7500,125,2.08333333333333
0,8700,145,2.41666666666667
0,10500,175,2.91666666666667
1,8100,135,2.25
0,9600,160,2.66666666666667
0,9000,150,2.5
1,7200,120,2
0,7800,130,2.16666666666667
1,8700,145,2.41666666666667
0,9000,150,2.5
1,10200,170,2.83333333333333
0,11400,190,3.16666666666667
0,15600,260,4.33333333333333
0,14100,235,3.91666666666667
0,7800,130,2.16666666666667
0,10500,175,2.91666666666667
0,7500,125,2.08333333333333
0,10500,175,2.91666666666667
1,6600,110,1.83333333333333
