division_number,delta_t,minutes,hours
0,6300,105,1.75
0,5400,90,1.5
0,7500,125,2.083333333
0,7200,120,2
0,7500,125,2.083333333
0,8100,135,2.25
0,6300,105,1.75
0,3900,65,1.083333333
0,8100,135,2.25
0,7800,130,2.166666667
0,7200,120,2
0,11100,185,3.083333333
0,6300,105,1.75
0,12300,205,3.416666667
0,7500,125,2.083333333
0,7500,125,2.083333333
0,5400,90,1.5
0,7800,130,2.166666667
0,9300,155,2.583333333
0,9000,150,2.5
0,8700,145,2.416666667
0,8100,135,2.25
0,9600,160,2.666666667
0,8100,135,2.25
0,7500,125,2.083333333
0,14400,240,4
0,5400,90,1.5
0,8400,140,2.333333333
0,9900,165,2.75
0,7200,120,2
0,8400,140,2.333333333
0,7500,125,2.083333333
0,9300,155,2.583333333
0,9000,150,2.5
0,7800,130,2.166666667
0,7500,125,2.083333333
0,5700,95,1.583333333
0,10500,175,2.916666667
0,7200,120,2
0,13800,230,3.833333333
0,9300,155,2.583333333
0,8700,145,2.416666667
0,9300,155,2.583333333
0,9000,150,2.5
0,8100,135,2.25
0,9600,160,2.666666667
0,11100,185,3.083333333
0,7500,125,2.083333333
1,6300,105,1.75
1,5400,90,1.5
1,7500,125,2.083333333
1,7200,120,2
1,7500,125,2.083333333
1,8100,135,2.25
1,6300,105,1.75
1,3900,65,1.083333333
1,8100,135,2.25
1,7800,130,2.166666667
1,7200,120,2
1,11100,185,3.083333333
1,6300,105,1.75
1,12300,205,3.416666667
1,7500,125,2.083333333
1,7500,125,2.083333333
1,5400,90,1.5
1,7800,130,2.166666667
1,9300,155,2.583333333
1,9000,150,2.5
1,8700,145,2.416666667
1,8100,135,2.25
1,9600,160,2.666666667
1,8100,135,2.25
1,7500,125,2.083333333
1,14400,240,4
1,5400,90,1.5
1,8400,140,2.333333333
1,9900,165,2.75
1,7200,120,2
1,8400,140,2.333333333
1,7500,125,2.083333333
1,9300,155,2.583333333
1,9000,150,2.5
1,7800,130,2.166666667
1,7500,125,2.083333333
1,5700,95,1.583333333
1,10500,175,2.916666667
1,7200,120,2
1,13800,230,3.833333333
1,9300,155,2.583333333
1,8700,145,2.416666667
1,9300,155,2.583333333
1,9000,150,2.5
1,8100,135,2.25
1,9600,160,2.666666667
1,11100,185,3.083333333
1,7500,125,2.083333333
