"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,"petite","second",37063,41717,3625171,6374834,83434,12749668,2876,4210,306963,693263,8420,1386526,"10mill-boot"
37,2,"petite","second",37048,41526,3630558,6369465,83052,12738930,2865,4224,303516,696635,8448,1393270,"10mill-boot"
37,3,"petite","second",36945,41910,3605033,6394992,83820,12789984,2802,4331,294244,705790,8662,1411580,"10mill-boot"
37,4,"petite","second",37300,41712,3635043,6364965,83424,12729930,2943,4197,307662,692580,8394,1385160,"10mill-boot"
37,5,"petite","second",37144,41707,3635872,6364218,83414,12728436,2777,4318,292720,707301,8636,1414602,"10mill-boot"
37,6,"petite","second",37249,41675,3635681,6364344,83350,12728688,2853,4261,302240,697956,8522,1395912,"10mill-boot"
37,7,"petite","second",37049,41752,3611428,6388636,83504,12777272,2789,4297,293085,706932,8594,1413864,"10mill-boot"
37,8,"petite","second",37158,41531,3638028,6362219,83062,12724438,2784,4284,295284,704989,8568,1409978,"10mill-boot"
37,9,"petite","second",37134,41619,3622173,6377831,83238,12755662,2813,4260,302007,698064,8520,1396128,"10mill-boot"
37,10,"petite","second",37326,41495,3648928,6351181,82990,12702362,2790,4272,293209,707115,8544,1414230,"10mill-boot"
37,11,"petite","second",37001,41676,3615395,6384696,83352,12769392,2857,4257,304115,696175,8514,1392350,"10mill-boot"
37,12,"petite","second",37182,41631,3626587,6373523,83262,12747046,2728,4325,289271,710868,8650,1421736,"10mill-boot"
37,13,"petite","second",37272,41614,3638069,6361942,83228,12723884,2775,4301,293712,706503,8602,1413006,"10mill-boot"
37,14,"petite","second",37086,41715,3625672,6374542,83430,12749084,2848,4234,300854,699457,8468,1398914,"10mill-boot"
37,15,"petite","second",37332,41613,3653586,6346693,83226,12693386,2778,4312,291858,708571,8624,1417142,"10mill-boot"
37,16,"petite","second",37335,41707,3636905,6363132,83414,12726264,2814,4248,298812,701247,8496,1402494,"10mill-boot"
37,17,"petite","second",37407,41342,3662093,6338021,82684,12676042,2843,4240,298159,702283,8480,1404566,"10mill-boot"
37,18,"petite","second",37096,41744,3615255,6384779,83488,12769558,2793,4291,293510,706744,8582,1413488,"10mill-boot"
37,19,"petite","second",36804,41691,3603687,6396422,83382,12792844,2734,4259,290330,710081,8518,1420162,"10mill-boot"
37,20,"petite","second",37420,41574,3657985,6342033,83148,12684066,2701,4355,282636,717881,8710,1435762,"10mill-boot"
37,21,"petite","second",37431,41626,3642280,6357744,83252,12715488,2864,4236,303822,696346,8472,1392692,"10mill-boot"
37,22,"petite","second",37205,41951,3615439,6384600,83902,12769200,2851,4266,299419,700607,8532,1401214,"10mill-boot"
37,23,"petite","second",37332,41457,3644091,6355966,82914,12711932,2814,4286,295172,705414,8572,1410828,"10mill-boot"
37,24,"petite","second",37428,41443,3668386,6331633,82886,12663266,2837,4274,301063,698985,8548,1397970,"10mill-boot"
