"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,"petite","second",3779,4164,368689,631357,8328,1262714,14,384,2476,97832,768,195664,"10mill-boot"
37,2,"petite","second",3791,4171,369186,630821,8342,1261642,12,394,2335,97727,788,195454,"10mill-boot"
37,3,"petite","second",3797,4139,371662,628533,8278,1257066,15,390,2596,97492,780,194984,"10mill-boot"
37,4,"petite","second",3590,4236,351733,648345,8472,1296690,8,385,1497,98619,770,197238,"10mill-boot"
37,5,"petite","second",3678,4204,357139,642933,8408,1285866,17,375,3190,96835,750,193670,"10mill-boot"
37,6,"petite","second",3745,4155,365813,634237,8310,1268474,15,394,2849,97590,788,195180,"10mill-boot"
37,7,"petite","second",3703,4158,363355,636712,8316,1273424,13,383,2522,97998,766,195996,"10mill-boot"
37,8,"petite","second",3718,4165,365021,635100,8330,1270200,16,375,2800,97237,750,194474,"10mill-boot"
37,9,"petite","second",3794,4167,374583,625537,8334,1251074,12,386,2125,98151,772,196302,"10mill-boot"
37,10,"petite","second",3706,4147,362612,637409,8294,1274818,8,380,1484,98884,760,197768,"10mill-boot"
37,11,"petite","second",3826,4088,375272,624793,8176,1249586,15,391,2578,97447,782,194894,"10mill-boot"
37,12,"petite","second",3764,4141,368957,631095,8282,1262190,13,386,2292,97976,772,195952,"10mill-boot"
37,13,"petite","second",3674,4202,361163,638900,8404,1277800,11,386,2052,98141,772,196282,"10mill-boot"
37,14,"petite","second",3716,4221,360955,639092,8442,1278184,19,386,3310,97178,772,194356,"10mill-boot"
37,15,"petite","second",3670,4143,363936,636117,8286,1272234,10,386,1798,98346,772,196692,"10mill-boot"
37,16,"petite","second",3690,4175,362455,637636,8350,1275272,9,389,1571,98573,778,197146,"10mill-boot"
37,17,"petite","second",3649,4173,356044,644006,8346,1288012,10,379,1919,98094,758,196188,"10mill-boot"
