"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
38,1,755,"petite","second",1,1,144,89,2,233,52,32,5128,5123,84,10251,"10k"
8,1,730,"petite","second",1,1,61,161,2,222,19,53,1992,8090,72,10082,"10k"
39,1,750,"petite","second",1,1,120,106,2,226,44,40,4254,5860,84,10114,"10k"
23,1,760,"petite","second",1,1,79,118,2,197,32,45,3097,6977,77,10074,"10k"
5,1,775,"petite","second",1,1,81,101,2,182,31,42,3313,6770,73,10083,"10k"
16,1,735,"petite","second",1,1,88,140,2,228,29,48,3003,7175,77,10178,"10k"
35,1,700,"petite","second",1,1,83,192,2,275,25,46,2264,7908,71,10172,"10k"
35,2,660,"petite","second",1,1,81,247,2,328,19,56,1934,8333,75,10267,"10k"
35,3,625,"petite","second",1,1,82,297,2,379,17,54,1650,8539,71,10189,"10k"
14,1,735,"petite","second",1,1,95,133,2,228,29,49,3190,6932,78,10122,"10k"
14,2,770,"petite","second",1,1,59,118,2,177,25,47,2559,7534,72,10093,"10k"
14,3,690,"petite","second",1,1,84,203,2,287,20,46,2284,7791,66,10075,"10k"
3,1,630,"petite","second",1,1,142,264,2,406,28,48,2763,7434,76,10197,"10k"
3,2,670,"petite","second",1,1,70,233,2,303,18,49,1871,8214,67,10085,"10k"
36,1,705,"petite","second",1,1,116,153,2,269,35,44,3391,6609,79,10000,"10k"
19,1,725,"petite","second",1,1,141,115,2,256,45,37,4333,5890,82,10223,"10k"
4,1,725,"petite","second",1,1,109,139,2,248,38,44,3423,6825,82,10248,"10k"
4,2,770,"petite","second",1,1,84,113,2,197,32,51,3485,6796,83,10281,"10k"
1,1,720,"petite","second",1,1,135,128,2,263,42,37,4070,6148,79,10218,"10k"
34,1,775,"petite","second",1,1,154,62,2,216,64,26,6108,4089,90,10197,"10k"
34,2,635,"petite","second",1,1,94,281,2,375,20,51,1957,8137,71,10094,"10k"
28,1,695,"petite","second",1,1,113,166,2,279,33,47,3023,7108,80,10131,"10k"
15,1,755,"petite","second",1,1,97,112,2,209,34,45,3642,6583,79,10225,"10k"
21,1,660,"petite","second",1,1,65,254,2,319,16,49,1447,8654,65,10101,"10k"
25,1,755,"petite","second",2,1,122,96,3,218,40,35,4498,5714,75,10212,"10k"
25,2,765,"petite","second",1,1,113,87,2,200,47,36,4694,5408,83,10102,"10k"
31,1,830,"petite","second",1,1,100,56,2,156,55,32,5168,5044,87,10212,"10k"
12,1,680,"petite","second",1,1,77,218,2,295,20,57,1909,8203,77,10112,"10k"
9,1,705,"petite","second",1,1,103,161,2,264,34,47,3019,7055,81,10074,"10k"
29,1,820,"petite","second",1,1,82,69,2,151,43,31,4276,5884,74,10160,"10k"
45,1,755,"petite","second",1,1,88,121,2,209,33,47,3355,6955,80,10310,"10k"
37,1,740,"petite","second",1,1,123,112,2,235,45,38,4279,5813,83,10092,"10k"
42,1,715,"petite","second",1,1,159,118,2,277,49,34,4747,5474,83,10221,"10k"
22,1,725,"petite","second",1,1,152,107,2,259,41,37,4701,5444,78,10145,"10k"
18,1,755,"petite","second",1,1,104,106,2,210,41,39,3675,6475,80,10150,"10k"
41,1,650,"petite","second",1,1,173,195,2,368,39,43,3752,6351,82,10103,"10k"
41,2,705,"petite","second",1,1,89,171,2,260,28,43,2778,7382,71,10160,"10k"
41,3,825,"petite","second",1,1,70,71,2,141,40,40,4029,6112,80,10141,"10k"
40,1,705,"petite","second",1,1,132,153,2,285,38,45,3657,6523,83,10180,"10k"
6,1,655,"petite","second",1,1,75,262,2,337,17,50,1613,8648,67,10261,"10k"
46,1,795,"petite","second",2,1,100,77,3,177,43,33,4460,5615,76,10075,"10k"
43,1,815,"petite","second",1,1,94,67,2,161,51,34,4669,5587,85,10256,"10k"
44,1,785,"petite","second",1,1,135,71,2,206,53,29,5547,4706,82,10253,"10k"
2,1,820,"petite","second",1,1,99,59,2,158,56,34,5034,5160,90,10194,"10k"
48,1,770,"petite","second",1,1,108,94,2,202,41,42,4358,5926,83,10284,"10k"
10,1,690,"petite","second",1,1,52,214,2,266,13,57,1467,8668,70,10135,"10k"
10,2,765,"petite","second",1,1,119,84,2,203,52,35,4950,5176,87,10126,"10k"
32,1,635,"petite","second",1,1,129,264,2,393,24,49,2509,7567,73,10076,"10k"
7,1,755,"petite","second",1,1,57,140,2,197,21,41,1914,8360,62,10274,"10k"
33,1,730,"petite","second",1,1,112,128,2,240,35,40,3687,6459,75,10146,"10k"
30,1,705,"petite","second",1,1,146,143,2,289,39,41,3976,6209,80,10185,"10k"
27,1,670,"petite","second",1,1,122,198,2,320,29,50,2872,7159,79,10031,"10k"
47,1,655,"petite","second",1,1,186,188,2,374,41,44,4107,6138,85,10245,"10k"
49,1,860,"petite","second",1,1,69,58,2,127,44,39,4335,5904,83,10239,"10k"
24,1,805,"petite","second",1,1,108,63,2,171,50,37,5161,4997,87,10158,"10k"
20,1,670,"petite","second",1,1,78,229,2,307,19,53,1870,8328,72,10198,"10k"
26,1,690,"petite","second",1,1,70,210,2,280,20,53,1835,8310,73,10145,"10k"
17,1,760,"petite","second",1,1,148,79,2,227,52,30,5452,4619,82,10071,"10k"
11,1,690,"petite","second",1,1,79,203,2,282,22,48,2075,7957,70,10032,"10k"
50,1,775,"petite","second",1,1,96,101,2,197,42,36,3967,6334,78,10301,"10k"
50,2,670,"petite","second",1,1,73,237,2,310,19,53,1885,8407,72,10292,"10k"
13,1,740,"petite","second",1,1,94,129,2,223,34,48,3243,6765,82,10008,"10k"
38,1,870,"petite","second",5,3,531,566,8,1097,359,445,35442,64683,804,100125,"100k"
38,2,865,"petite","second",3,5,292,734,8,1026,199,528,20590,80607,727,101197,"100k"
38,3,860,"petite","second",3,5,250,799,8,1049,169,580,16793,85503,749,102296,"100k"
38,4,840,"petite","second",2,6,137,969,8,1106,87,603,8348,92944,690,101292,"100k"
38,5,845,"petite","second",1,7,67,1002,8,1069,42,649,4475,98178,691,102653,"100k"
8,1,880,"petite","second",6,4,519,518,10,1037,376,422,36678,63347,798,100025,"100k"
39,1,875,"petite","second",5,3,600,514,8,1114,428,397,40675,60051,825,100726,"100k"
39,2,870,"petite","second",5,5,497,580,10,1077,364,443,35978,66828,807,102806,"100k"
39,3,875,"petite","second",4,4,369,651,8,1020,264,502,27062,75372,766,102434,"100k"
39,4,855,"petite","second",1,8,102,921,9,1023,71,637,6761,95493,708,102254,"100k"
23,1,865,"petite","second",5,4,552,600,9,1152,372,438,35746,66998,810,102744,"100k"
23,2,885,"petite","second",5,3,615,435,8,1050,482,346,47700,53064,828,100764,"100k"
23,3,860,"petite","second",3,6,244,787,9,1031,165,555,16439,84501,720,100940,"100k"
23,4,870,"petite","second",5,4,459,594,9,1053,354,428,33612,67806,782,101418,"100k"
23,5,850,"petite","second",3,4,404,751,7,1155,269,474,26176,75045,743,101221,"100k"
23,6,840,"petite","second",2,5,158,948,7,1106,99,583,9716,90856,682,100572,"100k"
5,1,890,"petite","second",4,3,502,520,7,1022,366,417,37021,65575,783,102596,"100k"
5,2,875,"petite","second",5,4,503,551,9,1054,377,429,36864,63491,806,100355,"100k"
5,3,875,"petite","second",4,3,393,619,7,1012,297,473,28610,72381,770,100991,"100k"
5,4,835,"petite","second",1,6,153,1011,7,1164,96,576,9262,92626,672,101888,"100k"
16,1,875,"petite","second",6,5,591,551,11,1142,410,409,39951,62650,819,102601,"100k"
16,2,850,"petite","second",1,6,59,946,7,1005,38,633,3773,96490,671,100263,"100k"
35,1,850,"petite","second",7,5,542,673,12,1215,348,434,32745,67518,782,100263,"100k"
35,2,885,"petite","second",5,3,570,478,8,1048,445,378,44162,58482,823,102644,"100k"
35,3,855,"petite","second",4,4,294,794,8,1088,197,542,19835,81500,739,101335,"100k"
35,4,850,"petite","second",1,7,61,981,8,1042,40,644,4022,98131,684,102153,"100k"
14,1,880,"petite","second",6,4,516,549,10,1065,371,437,36535,65354,808,101889,"100k"
14,2,830,"petite","second",1,8,138,1026,9,1164,84,605,7841,92159,689,100000,"100k"
14,3,840,"petite","second",1,6,117,976,7,1093,76,596,7400,92741,672,100141,"100k"
14,4,840,"petite","second",1,5,108,1010,6,1118,64,637,6573,95806,701,102379,"100k"
14,5,855,"petite","second",2,4,234,852,6,1086,151,579,15150,87596,730,102746,"100k"
14,6,850,"petite","second",2,5,245,853,7,1098,163,545,15800,85323,708,101123,"100k"
14,7,860,"petite","second",1,4,141,872,5,1013,100,596,9347,92088,696,101435,"100k"
14,8,845,"petite","second",1,9,75,979,10,1054,50,646,4700,97173,696,101873,"100k"
3,1,865,"petite","second",6,3,574,590,9,1164,373,420,37364,64908,793,102272,"100k"
3,2,845,"petite","second",4,6,414,761,10,1175,262,484,26347,73967,746,100314,"100k"
3,3,845,"petite","second",2,7,188,913,9,1101,120,595,11826,89158,715,100984,"100k"
3,4,865,"petite","second",3,4,325,702,7,1027,238,511,22629,77394,749,100023,"100k"
3,5,850,"petite","second",2,6,154,907,8,1061,105,601,9899,91575,706,101474,"100k"
3,6,845,"petite","second",1,5,109,985,6,1094,71,628,6916,95670,699,102586,"100k"
3,7,840,"petite","second",1,5,133,973,6,1106,82,626,8120,92908,708,101028,"100k"
36,1,870,"petite","second",7,3,603,538,10,1141,419,397,40134,60654,816,100788,"100k"
36,2,855,"petite","second",3,5,270,805,8,1075,182,554,17985,83565,736,101550,"100k"
36,3,850,"petite","second",2,4,297,807,6,1104,206,527,19524,81147,733,100671,"100k"
36,4,860,"petite","second",4,7,332,737,11,1069,227,531,22691,79656,758,102347,"100k"
36,5,860,"petite","second",1,5,164,844,6,1008,109,591,11365,89628,700,100993,"100k"
19,1,870,"petite","second",6,3,573,550,9,1123,399,424,37875,62751,823,100626,"100k"
19,2,855,"petite","second",4,6,287,784,10,1071,196,537,19480,80566,733,100046,"100k"
19,3,870,"petite","second",3,5,293,711,8,1004,204,530,20943,79745,734,100688,"100k"
4,1,865,"petite","second",5,4,533,606,9,1139,351,435,34868,65879,786,100747,"100k"
4,2,835,"petite","second",2,7,128,1004,9,1132,80,606,7974,93578,686,101552,"100k"
4,3,835,"petite","second",3,6,268,926,9,1194,163,542,16518,84072,705,100590,"100k"
1,1,865,"petite","second",6,5,547,598,11,1145,388,428,36619,65359,816,101978,"100k"
1,2,865,"petite","second",3,7,288,742,10,1030,201,539,19755,80749,740,100504,"100k"
1,3,860,"petite","second",3,7,166,858,10,1024,104,599,11293,90720,703,102013,"100k"
34,1,870,"petite","second",7,3,593,537,10,1130,424,392,40460,61198,816,101658,"100k"
34,2,900,"petite","second",8,3,680,333,11,1013,578,294,57969,44439,872,102408,"100k"
34,3,915,"petite","second",8,1,925,110,9,1035,861,111,83884,16918,972,100802,"100k"
34,4,870,"petite","second",5,2,563,537,7,1100,411,400,39785,60614,811,100399,"100k"
34,5,855,"petite","second",2,6,167,889,8,1056,115,597,10947,91938,712,102885,"100k"
34,6,855,"petite","second",1,7,105,916,8,1021,69,618,6758,95206,687,101964,"100k"
28,1,865,"petite","second",6,4,547,602,10,1149,371,427,35528,65914,798,101442,"100k"
28,2,850,"petite","second",1,5,70,955,6,1025,47,635,4549,96963,682,101512,"100k"
15,1,870,"petite","second",6,3,550,570,9,1120,366,427,36195,65002,793,101197,"100k"
15,2,850,"petite","second",1,4,39,961,5,1000,25,628,2524,97621,653,100145,"100k"
21,1,830,"petite","second",6,4,575,777,10,1352,313,464,31143,70688,777,101831,"100k"
21,2,840,"petite","second",3,7,184,940,10,1124,108,574,11152,89742,682,100894,"100k"
25,1,855,"petite","second",5,4,570,636,9,1206,353,438,35000,66336,791,101336,"100k"
25,2,875,"petite","second",4,4,425,604,8,1029,316,468,31308,69799,784,101107,"100k"
25,3,860,"petite","second",2,5,213,805,7,1018,153,562,14850,85243,715,100093,"100k"
25,4,830,"petite","second",1,6,93,1046,7,1139,58,632,5550,94778,690,100328,"100k"
31,1,860,"petite","second",5,4,645,579,9,1224,427,409,40742,61473,836,102215,"100k"
31,2,835,"petite","second",1,7,117,1016,8,1133,71,618,6921,93892,689,100813,"100k"
12,1,885,"petite","second",5,3,565,511,8,1076,421,394,40420,62195,815,102615,"100k"
12,2,865,"petite","second",4,5,320,725,9,1045,236,528,22961,79716,764,102677,"100k"
12,3,845,"petite","second",2,6,243,882,8,1125,153,563,15257,86057,716,101314,"100k"
9,1,860,"petite","second",4,4,552,615,8,1167,345,445,34439,66193,790,100632,"100k"
9,2,855,"petite","second",3,5,298,795,8,1093,208,552,19695,82936,760,102631,"100k"
9,3,850,"petite","second",1,6,56,964,7,1020,37,638,3484,97726,675,101210,"100k"
29,1,880,"petite","second",5,3,546,525,8,1071,387,396,37834,62211,783,100045,"100k"
29,2,855,"petite","second",4,5,367,741,9,1108,246,493,24460,76823,739,101283,"100k"
29,3,845,"petite","second",3,3,216,904,6,1120,133,586,13530,87768,719,101298,"100k"
45,1,860,"petite","second",5,4,603,596,9,1199,386,430,38070,63095,816,101165,"100k"
45,2,860,"petite","second",2,4,429,674,6,1103,298,485,29244,72258,783,101502,"100k"
45,3,885,"petite","second",4,6,491,529,10,1020,383,415,37060,64475,798,101535,"100k"
45,4,875,"petite","second",6,4,529,531,10,1060,408,404,39053,61054,812,100107,"100k"
45,5,825,"petite","second",2,6,127,1080,8,1207,69,622,7047,93376,691,100423,"100k"
37,1,845,"petite","second",4,5,608,678,9,1286,371,432,35556,65792,803,101348,"100k"
37,2,880,"petite","second",3,4,436,579,7,1015,334,457,32680,69230,791,101910,"100k"
37,3,855,"petite","second",2,7,189,857,9,1046,128,579,12310,88000,707,100310,"100k"
37,4,815,"petite","second",2,6,197,1088,8,1285,105,579,10708,89827,684,100535,"100k"
37,5,865,"petite","second",2,6,200,809,8,1009,136,571,13989,88672,707,102661,"100k"
37,6,820,"petite","second",1,6,102,1150,7,1252,59,622,5738,96714,681,102452,"100k"
42,1,875,"petite","second",7,3,584,520,10,1104,406,405,39991,60121,811,100112,"100k"
42,2,820,"petite","second",3,4,264,1016,7,1280,146,564,14875,86986,710,101861,"100k"
42,3,850,"petite","second",3,6,298,813,9,1111,200,509,19084,81420,709,100504,"100k"
