"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,955,"petite","second-15min",52,36,5020,5113,88,10133,5228,3303,516878,505420,8531,1022298,"Equal Growth Rates"
37,2,955,"petite","second-15min",39,35,4396,5664,74,10060,4581,3668,454139,560241,8249,1014380,"Equal Growth Rates"
37,3,955,"petite","second-15min",36,37,4146,5894,73,10040,4337,3854,428981,580127,8191,1009108,"Equal Growth Rates"
37,4,955,"petite","second-15min",40,34,4151,5850,74,10001,4340,3817,428875,579228,8157,1008103,"Equal Growth Rates"
37,5,955,"petite","second-15min",36,44,3412,6787,80,10199,3547,4394,354006,666874,7941,1020880,"Equal Growth Rates"
37,6,955,"petite","second-15min",40,37,3940,6080,77,10020,4112,3878,408776,599130,7990,1007906,"Equal Growth Rates"
37,7,955,"petite","second-15min",34,42,3659,6402,76,10061,3805,4155,374503,628105,7960,1002608,"Equal Growth Rates"
37,8,955,"petite","second-15min",30,48,2966,7199,78,10165,3109,4652,306246,709455,7761,1015701,"Equal Growth Rates"
37,9,960,"petite","second-15min",27,48,2651,7352,75,10003,2843,4907,281358,741830,7750,1023188,"Equal Growth Rates"
37,10,955,"petite","second-15min",24,44,2621,7415,68,10036,2746,4793,269598,731882,7539,1001480,"Equal Growth Rates"
37,11,955,"petite","second-15min",21,52,1993,8069,73,10062,2071,5224,205556,796393,7295,1001949,"Equal Growth Rates"
37,12,960,"petite","second-15min",20,47,2397,7649,67,10046,2551,5075,254449,770822,7626,1025271,"Equal Growth Rates"
37,13,960,"petite","second-15min",15,47,1594,8426,62,10020,1661,5617,167520,848625,7278,1016145,"Equal Growth Rates"
37,14,960,"petite","second-15min",7,62,710,9326,69,10036,755,6220,75168,945643,6975,1020811,"Equal Growth Rates"
37,15,960,"petite","second-15min",4,56,514,9578,60,10092,566,6432,54880,969394,6998,1024274,"Equal Growth Rates"
37,16,960,"petite","second-15min",7,53,907,9139,60,10046,969,6116,96444,924698,7085,1021142,"Equal Growth Rates"
