"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
35,1,"petite","second",1,7,81,1008,8,1089,1,1,81,247,2,328,"10k"
35,2,"petite","second",3,5,198,826,8,1024,1,1,82,297,2,379,"10k"
14,1,"petite","second",6,2,534,281,8,815,1,1,59,118,2,177,"10k"
14,2,"petite","second",5,3,406,527,8,933,1,1,84,203,2,287,"10k"
3,1,"petite","second",3,5,319,816,8,1135,1,1,70,233,2,303,"10k"
4,1,"petite","second",4,5,278,760,9,1038,1,1,84,113,2,197,"10k"
34,1,"petite","second",6,3,493,571,9,1064,1,1,94,281,2,375,"10k"
25,1,"petite","second",5,3,621,223,8,844,1,1,113,87,2,200,"10k"
41,1,"petite","second",5,4,409,664,9,1073,1,1,89,171,2,260,"10k"
41,2,"petite","second",3,5,257,843,8,1100,1,1,70,71,2,141,"10k"
10,1,"petite","second",3,4,435,532,7,967,1,1,119,84,2,203,"10k"
50,1,"petite","second",3,5,227,792,8,1019,1,1,73,237,2,310,"10k"
38,1,"petite","second",33,48,3328,6881,81,10209,3,5,292,734,8,1026,"100k"
38,2,"petite","second",20,53,1818,7459,73,9277,3,5,250,799,8,1049,"100k"
38,3,"petite","second",15,60,1453,8423,75,9876,2,6,137,969,8,1106,"100k"
38,4,"petite","second",8,61,747,9075,69,9822,1,7,67,1002,8,1069,"100k"
39,1,"petite","second",47,36,4444,5879,83,10323,5,5,497,580,10,1077,"100k"
39,2,"petite","second",43,38,4283,5907,81,10190,4,4,369,651,8,1020,"100k"
39,3,"petite","second",25,52,2304,6989,77,9293,1,8,102,921,9,1023,"100k"
23,1,"petite","second",44,37,4332,5381,81,9713,5,3,615,435,8,1050,"100k"
23,2,"petite","second",40,43,4193,6971,83,11164,3,6,244,787,9,1031,"100k"
23,3,"petite","second",18,54,1713,7559,72,9272,5,4,459,594,9,1053,"100k"
23,4,"petite","second",39,40,3674,6271,79,9945,3,4,404,751,7,1155,"100k"
23,5,"petite","second",27,48,2466,8733,75,11199,2,5,158,948,7,1106,"100k"
5,1,"petite","second",36,43,3224,6520,79,9744,5,4,503,551,9,1054,"100k"
5,2,"petite","second",43,38,4067,6086,81,10153,4,3,393,619,7,1012,"100k"
5,3,"petite","second",24,53,2012,7879,77,9891,1,6,153,1011,7,1164,"100k"
16,1,"petite","second",40,42,3719,6078,82,9797,1,6,59,946,7,1005,"100k"
35,1,"petite","second",37,42,3563,6134,79,9697,5,3,570,478,8,1048,"100k"
35,2,"petite","second",48,35,4549,5837,83,10386,4,4,294,794,8,1088,"100k"
35,3,"petite","second",19,55,1880,7528,74,9408,1,7,61,981,8,1042,"100k"
14,1,"petite","second",39,42,3789,5135,81,8924,1,8,138,1026,9,1164,"100k"
14,2,"petite","second",12,57,1129,7980,69,9109,1,6,117,976,7,1093,"100k"
14,3,"petite","second",2,66,225,9508,68,9733,1,5,108,1010,6,1118,"100k"
14,4,"petite","second",6,65,537,9718,71,10255,2,4,234,852,6,1086,"100k"
14,5,"petite","second",17,56,1680,8288,73,9968,2,5,245,853,7,1098,"100k"
14,6,"petite","second",12,59,1069,9052,71,10121,1,4,141,872,5,1013,"100k"
14,7,"petite","second",9,61,789,8807,70,9596,1,9,75,979,10,1054,"100k"
3,1,"petite","second",33,47,3038,6877,80,9915,4,6,414,761,10,1175,"100k"
3,2,"petite","second",26,49,2223,6712,75,8935,2,7,188,913,9,1101,"100k"
3,3,"petite","second",11,61,1111,8264,72,9375,3,4,325,702,7,1027,"100k"
3,4,"petite","second",29,46,2367,6436,75,8803,2,6,154,907,8,1061,"100k"
3,5,"petite","second",12,59,1296,8197,71,9493,1,5,109,985,6,1094,"100k"
3,6,"petite","second",6,64,588,9440,70,10028,1,5,133,973,6,1106,"100k"
36,1,"petite","second",44,38,3843,5736,82,9579,3,5,270,805,8,1075,"100k"
36,2,"petite","second",17,57,1676,8715,74,10391,2,4,297,807,6,1104,"100k"
36,3,"petite","second",20,54,1903,8006,74,9909,4,7,332,737,11,1069,"100k"
36,4,"petite","second",23,53,2086,7714,76,9800,1,5,164,844,6,1008,"100k"
19,1,"petite","second",38,45,3199,6906,83,10105,4,6,287,784,10,1071,"100k"
19,2,"petite","second",20,54,1952,8230,74,10182,3,5,293,711,8,1004,"100k"
4,1,"petite","second",32,47,2974,6701,79,9675,2,7,128,1004,9,1132,"100k"
4,2,"petite","second",12,57,1080,8329,69,9409,3,6,268,926,9,1194,"100k"
1,1,"petite","second",31,51,2623,7223,82,9846,3,7,288,742,10,1030,"100k"
1,2,"petite","second",17,57,1377,8198,74,9575,3,7,166,858,10,1024,"100k"
34,1,"petite","second",48,34,4735,4947,82,9682,8,3,680,333,11,1013,"100k"
34,2,"petite","second",62,26,5913,3538,88,9451,8,1,925,110,9,1035,"100k"
34,3,"petite","second",88,10,8398,1513,98,9911,5,2,563,537,7,1100,"100k"
34,4,"petite","second",41,41,4204,6678,82,10882,2,6,167,889,8,1056,"100k"
34,5,"petite","second",17,55,1686,8616,72,10302,1,7,105,916,8,1021,"100k"
28,1,"petite","second",41,39,3949,6567,80,10516,1,5,70,955,6,1025,"100k"
15,1,"petite","second",26,54,2388,8414,80,10802,1,4,39,961,5,1000,"100k"
21,1,"petite","second",34,44,3088,6505,78,9593,3,7,184,940,10,1124,"100k"
25,1,"petite","second",35,45,3310,6451,80,9761,4,4,425,604,8,1029,"100k"
25,2,"petite","second",31,48,2885,6940,79,9825,2,5,213,805,7,1018,"100k"
25,3,"petite","second",13,59,1045,8279,72,9324,1,6,93,1046,7,1139,"100k"
31,1,"petite","second",43,41,3970,5823,84,9793,1,7,117,1016,8,1133,"100k"
12,1,"petite","second",43,39,4029,5527,82,9556,4,5,320,725,9,1045,"100k"
12,2,"petite","second",26,51,2583,7253,77,9836,2,6,243,882,8,1125,"100k"
9,1,"petite","second",34,45,3051,6229,79,9280,3,5,298,795,8,1093,"100k"
9,2,"petite","second",20,56,1675,8182,76,9857,1,6,56,964,7,1020,"100k"
29,1,"petite","second",38,41,3727,6451,79,10178,4,5,367,741,9,1108,"100k"
29,2,"petite","second",25,49,2766,7239,74,10005,3,3,216,904,6,1120,"100k"
45,1,"petite","second",34,48,3405,7080,82,10485,2,4,429,674,6,1103,"100k"
45,2,"petite","second",38,41,3504,5562,79,9066,4,6,491,529,10,1020,"100k"
45,3,"petite","second",44,36,4153,5633,80,9786,6,4,529,531,10,1060,"100k"
45,4,"petite","second",37,45,3506,7161,82,10667,2,6,127,1080,8,1207,"100k"
37,1,"petite","second",43,38,4216,5384,81,9600,3,4,436,579,7,1015,"100k"
37,2,"petite","second",30,50,3261,7223,80,10484,2,7,189,857,9,1046,"100k"
37,3,"petite","second",17,54,1802,7552,71,9354,2,6,197,1088,8,1285,"100k"
37,4,"petite","second",10,59,939,9172,69,10111,2,6,200,809,8,1009,"100k"
37,5,"petite","second",13,58,1260,8305,71,9565,1,6,102,1150,7,1252,"100k"
42,1,"petite","second",43,39,4102,6015,82,10117,3,4,264,1016,7,1280,"100k"
42,2,"petite","second",16,55,1762,7513,71,9275,3,6,298,813,9,1111,"100k"
22,1,"petite","second",32,47,2851,6989,79,9840,1,8,145,913,9,1058,"100k"
22,2,"petite","second",13,57,1297,8573,70,9870,1,5,73,956,6,1029,"100k"
22,3,"petite","second",7,59,589,8889,66,9478,1,8,154,922,9,1076,"100k"
22,4,"petite","second",8,64,684,9280,72,9964,2,6,181,981,8,1162,"100k"
22,5,"petite","second",10,60,1141,8942,70,10083,1,7,152,886,8,1038,"100k"
22,6,"petite","second",12,57,1046,8499,69,9545,2,6,183,966,8,1149,"100k"
22,7,"petite","second",11,58,1432,8564,69,9996,1,7,106,1098,8,1204,"100k"
22,8,"petite","second",7,63,585,9936,70,10521,1,6,63,950,7,1013,"100k"
22,9,"petite","second",3,66,332,9923,69,10255,1,7,110,1063,8,1173,"100k"
