"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,"petite","second-15min",532,322,51360,50012,854,101372,39,35,4396,5664,74,10060,"Equal Growth Rates"
37,2,"petite","second-15min",476,349,49006,52194,825,101200,36,37,4146,5894,73,10040,"Equal Growth Rates"
37,3,"petite","second-15min",441,379,43584,59061,820,102645,40,34,4151,5850,74,10001,"Equal Growth Rates"
37,4,"petite","second-15min",438,378,42496,56817,816,99313,36,44,3412,6787,80,10199,"Equal Growth Rates"
37,5,"petite","second-15min",350,445,35103,67609,795,102712,40,37,3940,6080,77,10020,"Equal Growth Rates"
37,6,"petite","second-15min",423,376,42770,58099,799,100869,34,42,3659,6402,76,10061,"Equal Growth Rates"
37,7,"petite","second-15min",374,422,36155,63489,796,99644,30,48,2966,7199,78,10165,"Equal Growth Rates"
37,8,"petite","second-15min",327,450,31943,69310,777,101253,27,48,2651,7352,75,10003,"Equal Growth Rates"
37,9,"petite","second-15min",276,499,27804,75993,775,103797,24,44,2621,7415,68,10036,"Equal Growth Rates"
37,10,"petite","second-15min",248,506,24092,76871,754,100963,21,52,1993,8069,73,10062,"Equal Growth Rates"
37,11,"petite","second-15min",194,536,19005,81974,730,100979,20,47,2397,7649,67,10046,"Equal Growth Rates"
37,12,"petite","second-15min",260,503,25489,79183,763,104672,15,47,1594,8426,62,10020,"Equal Growth Rates"
37,13,"petite","second-15min",154,574,16260,87306,728,103566,7,62,710,9326,69,10036,"Equal Growth Rates"
37,14,"petite","second-15min",63,635,6292,98450,698,104742,4,56,514,9578,60,10092,"Equal Growth Rates"
37,15,"petite","second-15min",63,637,6268,97254,700,103522,7,53,907,9139,60,10046,"Equal Growth Rates"
37,16,"petite","second-15min",93,616,9911,92244,709,102155,5,58,610,9428,63,10038,"Equal Growth Rates"
37,17,"petite","second-15min",67,628,6757,94256,695,101013,3,59,403,9603,62,10006,"Equal Growth Rates"
37,18,"petite","second-15min",39,645,3869,97338,684,101207,4,61,253,10038,65,10291,"Equal Growth Rates"
37,19,"petite","second-15min",21,659,1861,100145,680,102006,1,62,177,9844,63,10021,"Equal Growth Rates"
37,20,"petite","second-15min",14,661,1612,99226,675,100838,1,63,112,10030,64,10142,"Equal Growth Rates"
30,1,"petite","second-15min",518,331,51260,51436,849,102696,47,31,4817,5274,78,10091,"Equal Growth Rates"
30,2,"petite","second-15min",514,315,52609,47783,829,100392,36,31,3900,6131,67,10031,"Equal Growth Rates"
30,3,"petite","second-15min",423,386,41663,58222,809,99885,31,47,3133,6951,78,10084,"Equal Growth Rates"
30,4,"petite","second-15min",322,453,32564,68717,775,101281,27,45,3033,7017,72,10050,"Equal Growth Rates"
30,5,"petite","second-15min",300,467,30341,71311,767,101652,27,49,2374,7741,76,10115,"Equal Growth Rates"
30,6,"petite","second-15min",240,510,23643,79409,750,103052,20,46,2182,7910,66,10092,"Equal Growth Rates"
30,7,"petite","second-15min",242,498,23435,75738,740,99173,17,52,1858,8324,69,10182,"Equal Growth Rates"
30,8,"petite","second-15min",188,543,18684,82494,731,101178,14,54,1499,8639,68,10138,"Equal Growth Rates"
30,9,"petite","second-15min",172,543,17433,85158,715,102591,18,51,1883,8224,69,10107,"Equal Growth Rates"
30,10,"petite","second-15min",204,526,21089,77921,730,99010,18,49,1958,8122,67,10080,"Equal Growth Rates"
30,11,"petite","second-15min",195,537,19533,83197,732,102730,16,49,1716,8322,65,10038,"Equal Growth Rates"
30,12,"petite","second-15min",145,589,14442,88514,734,102956,21,54,2068,8001,75,10069,"Equal Growth Rates"
30,13,"petite","second-15min",209,527,21668,81079,736,102747,20,50,2149,7951,70,10100,"Equal Growth Rates"
30,14,"petite","second-15min",247,488,24570,73930,735,98500,19,48,2091,7943,67,10034,"Equal Growth Rates"
