"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
37,1,865,"petite","second",6,4,546,600,10,1146,365,432,35814,66380,797,102194,"100k"
30,1,860,"petite","second",5,3,564,630,8,1194,366,440,35212,66832,806,102044,"100k"
30,2,860,"petite","second",1,3,138,865,4,1003,93,591,9292,92461,684,101753,"100k"
39,1,880,"petite","second",6,4,556,514,10,1070,410,424,39747,62695,834,102442,"100k"
4,1,870,"petite","second",6,3,591,539,9,1130,387,405,39155,60967,792,100122,"100k"
3,1,880,"petite","second",7,4,513,549,11,1062,363,432,36048,66019,795,102067,"100k"
2,1,865,"petite","second",6,4,558,596,10,1154,371,440,36455,66209,811,102664,"100k"
38,1,870,"petite","second",6,3,542,566,9,1108,369,422,36341,65042,791,101383,"100k"
5,1,865,"petite","second",6,4,548,614,10,1162,365,430,35813,66804,795,102617,"100k"
31,1,870,"petite","second",6,5,523,597,11,1120,357,441,35245,67081,798,102326,"100k"
36,1,845,"petite","second",6,4,657,624,10,1281,381,413,38372,61698,794,100070,"100k"
36,2,865,"petite","second",1,3,253,771,4,1024,181,565,18053,83785,746,101838,"100k"
36,3,855,"petite","second",1,4,230,837,5,1067,156,539,15499,85561,695,101060,"100k"
14,1,865,"petite","second",6,3,669,520,9,1189,445,380,43079,57580,825,100659,"100k"
13,1,870,"petite","second",5,3,518,580,8,1098,345,438,33937,66586,783,100523,"100k"
25,1,885,"petite","second",6,5,523,527,11,1050,394,429,38008,64137,823,102145,"100k"
22,1,865,"petite","second",6,4,590,561,10,1151,401,393,38639,61639,794,100278,"100k"
49,1,865,"petite","second",6,4,602,574,10,1176,385,402,39494,61789,787,101283,"100k"
49,2,860,"petite","second",1,4,159,848,5,1007,106,583,10748,90345,689,101093,"100k"
47,1,885,"petite","second",5,4,553,504,9,1057,395,401,38314,62043,796,100357,"100k"
40,1,885,"petite","second",5,3,502,529,8,1031,364,424,35825,65224,788,101049,"100k"
23,1,875,"petite","second",5,4,501,567,9,1068,346,446,33819,66393,792,100212,"100k"
24,1,880,"petite","second",4,6,543,530,10,1073,415,420,38242,64245,835,102487,"100k"
24,2,860,"petite","second",1,4,164,849,5,1013,112,595,11379,90405,707,101784,"100k"
12,1,865,"petite","second",4,3,529,593,7,1122,355,433,34277,65808,788,100085,"100k"
15,1,865,"petite","second",3,3,534,585,6,1119,347,437,34709,65339,784,100048,"100k"
41,1,835,"petite","second",6,5,550,751,11,1301,319,478,30598,70441,797,101039,"100k"
46,1,860,"petite","second",7,5,598,595,12,1193,374,424,38358,62991,798,101349,"100k"
48,1,855,"petite","second",5,4,556,633,9,1189,344,440,34737,66366,784,101103,"100k"
48,2,865,"petite","second",2,3,456,635,5,1091,334,454,32336,68860,788,101196,"100k"
33,1,870,"petite","second",5,4,548,577,9,1125,374,426,35944,66346,800,102290,"100k"
9,1,865,"petite","second",5,3,507,617,8,1124,338,456,33268,68804,794,102072,"100k"
34,1,860,"petite","second",6,3,637,556,9,1193,401,389,40465,60127,790,100592,"100k"
34,2,855,"petite","second",1,4,177,874,5,1051,122,593,12045,90146,715,102191,"100k"
7,1,835,"petite","second",6,4,536,786,10,1322,291,471,29676,71760,762,101436,"100k"
6,1,875,"petite","second",4,4,563,548,8,1111,413,418,38458,63255,831,101713,"100k"
6,2,860,"petite","second",1,4,246,796,5,1042,175,558,16878,84844,733,101722,"100k"
1,1,890,"petite","second",5,3,532,502,8,1034,402,424,39224,63379,826,102603,"100k"
8,1,885,"petite","second",5,3,543,507,8,1050,417,413,39397,63047,830,102444,"100k"
35,1,860,"petite","second",5,4,567,605,9,1172,374,418,36312,63826,792,100138,"100k"
35,2,870,"petite","second",1,3,255,746,4,1001,179,547,18105,83012,726,101117,"100k"
32,1,885,"petite","second",5,3,538,510,8,1048,396,418,38897,63457,814,102354,"100k"
50,1,865,"petite","second",5,4,569,594,9,1163,378,428,37127,65577,806,102704,"100k"
43,1,880,"petite","second",7,4,570,528,11,1098,425,402,39576,63143,827,102719,"100k"
44,1,865,"petite","second",5,4,525,601,9,1126,343,425,34384,66890,768,101274,"100k"
10,1,870,"petite","second",5,4,619,539,9,1158,413,387,40744,60968,800,101712,"100k"
17,1,885,"petite","second",6,3,566,513,9,1079,413,409,40531,61573,822,102104,"100k"
