"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,950,"petite","second-15min",56,34,5052,5192,90,10244,5131,3287,504418,499059,8418,1003477,"Equal Growth Rates"
37,2,955,"petite","second-15min",8,33,1746,8407,41,10153,1801,5513,178896,829352,7314,1008248,"Equal Growth Rates"
37,3,955,"petite","second-15min",2,41,260,9885,43,10145,268,6422,26479,973562,6690,1000041,"Equal Growth Rates"
30,1,955,"petite","second-15min",54,33,5063,5069,87,10132,5343,3330,524476,501681,8673,1026157,"Equal Growth Rates"
30,2,960,"petite","second-15min",1,43,148,9909,44,10057,157,6710,15794,1004308,6867,1020102,"Equal Growth Rates"
39,1,950,"petite","second-15min",49,32,5043,5132,81,10175,5183,3207,508753,492185,8390,1000938,"Equal Growth Rates"
39,2,960,"petite","second-15min",2,44,412,9600,46,10012,448,6371,43829,966155,6819,1009984,"Equal Growth Rates"
4,1,950,"petite","second-15min",56,29,5067,5111,85,10178,5132,3251,510372,493005,8383,1003377,"Equal Growth Rates"
4,2,960,"petite","second-15min",2,42,310,9763,44,10073,338,6500,33468,984053,6838,1017521,"Equal Growth Rates"
3,1,950,"petite","second-15min",50,32,5140,5011,82,10151,5248,3185,518530,482591,8433,1001121,"Equal Growth Rates"
3,2,955,"petite","second-15min",7,38,1231,8838,45,10069,1287,5765,128044,873287,7052,1001331,"Equal Growth Rates"
3,3,955,"petite","second-15min",1,42,240,9863,43,10103,246,6414,24481,975520,6660,1000001,"Equal Growth Rates"
2,1,955,"petite","second-15min",51,32,5064,5085,83,10149,5317,3349,522427,503071,8666,1025498,"Equal Growth Rates"
2,2,960,"petite","second-15min",3,42,591,9477,45,10068,632,6279,62346,956890,6911,1019236,"Equal Growth Rates"
2,3,960,"petite","second-15min",1,42,260,9809,43,10069,281,6544,27514,993833,6825,1021347,"Equal Growth Rates"
38,1,955,"petite","second-15min",52,37,5056,5084,89,10140,5305,3307,522040,501421,8612,1023461,"Equal Growth Rates"
38,2,960,"petite","second-15min",7,37,1623,8404,44,10027,1705,5621,172337,850302,7326,1022639,"Equal Growth Rates"
38,3,960,"petite","second-15min",1,40,249,9875,41,10124,260,6654,27081,997727,6914,1024808,"Equal Growth Rates"
5,1,950,"petite","second-15min",53,31,5027,5140,84,10167,5192,3238,505988,495336,8430,1001324,"Equal Growth Rates"
5,2,955,"petite","second-15min",3,39,642,9496,42,10138,673,6119,67377,933911,6792,1001288,"Equal Growth Rates"
31,1,950,"petite","second-15min",49,32,5030,5298,81,10328,5104,3347,503898,509248,8451,1013146,"Equal Growth Rates"
31,2,955,"petite","second-15min",3,38,517,9697,41,10214,517,6309,53123,955240,6826,1008363,"Equal Growth Rates"
36,1,950,"petite","second-15min",52,34,5148,5151,86,10299,5261,3257,517251,494226,8518,1011477,"Equal Growth Rates"
36,2,960,"petite","second-15min",4,40,823,9237,44,10060,894,6200,87950,936381,7094,1024331,"Equal Growth Rates"
36,3,960,"petite","second-15min",1,41,238,9765,42,10003,243,6518,25130,984152,6761,1009282,"Equal Growth Rates"
14,1,955,"petite","second-15min",48,36,5051,5027,84,10078,5315,3248,520249,491292,8563,1011541,"Equal Growth Rates"
14,2,955,"petite","second-15min",6,42,1093,9094,48,10187,1146,5855,113443,894532,7001,1007975,"Equal Growth Rates"
13,1,955,"petite","second-15min",48,34,5072,5134,82,10206,5236,3361,520150,505177,8597,1025327,"Equal Growth Rates"
13,2,960,"petite","second-15min",1,42,209,9846,43,10055,206,6560,21542,997948,6766,1019490,"Equal Growth Rates"
25,1,955,"petite","second-15min",56,34,5021,5077,90,10098,5276,3273,517206,499996,8549,1017202,"Equal Growth Rates"
25,2,955,"petite","second-15min",5,42,1022,9105,47,10127,1064,5858,105874,898428,6922,1004302,"Equal Growth Rates"
22,1,955,"petite","second-15min",44,33,5027,5018,77,10045,5293,3200,517326,493516,8493,1010842,"Equal Growth Rates"
22,2,960,"petite","second-15min",5,39,994,9117,44,10111,1060,6081,104939,919436,7141,1024375,"Equal Growth Rates"
22,3,955,"petite","second-15min",1,43,173,9985,44,10158,187,6530,17683,985269,6717,1002952,"Equal Growth Rates"
49,1,955,"petite","second-15min",50,31,5048,5072,81,10120,5205,3286,515726,496955,8491,1012681,"Equal Growth Rates"
