"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,1,"petite","second",38,43,3706,7080,81,10786,1,3,138,865,4,1003,"100k"
36,1,"petite","second",39,41,3743,5905,80,9648,1,3,253,771,4,1024,"100k"
36,2,"petite","second",24,51,2730,6526,75,9256,1,4,230,837,5,1067,"100k"
49,1,"petite","second",38,41,3858,5492,79,9350,1,4,159,848,5,1007,"100k"
24,1,"petite","second",43,41,4028,5783,84,9811,1,4,164,849,5,1013,"100k"
48,1,"petite","second",32,47,3214,5857,79,9071,2,3,456,635,5,1091,"100k"
34,1,"petite","second",41,38,4124,5320,79,9444,1,4,177,874,5,1051,"100k"
6,1,"petite","second",42,42,4044,5882,84,9926,1,4,246,796,5,1042,"100k"
35,1,"petite","second",40,40,3905,5188,80,9093,1,3,255,746,4,1001,"100k"
17,1,"petite","second",51,32,4918,4462,83,9380,2,3,505,590,5,1095,"100k"
17,2,"petite","second",41,39,3948,5853,80,9801,1,3,266,993,4,1259,"100k"
45,1,"petite","second",36,43,3017,5965,79,8982,1,3,129,977,4,1106,"100k"
11,1,"petite","second",37,43,3564,6181,80,9745,1,4,136,994,5,1130,"100k"
30,1,"petite","second",383,430,38167,66231,813,104398,2,38,393,9776,40,10169,"1mill"
39,1,"petite","second",389,414,38456,62769,803,101225,1,38,225,9798,39,10023,"1mill"
4,1,"petite","second",380,427,36340,67081,807,103421,1,38,149,9908,39,10057,"1mill"
3,1,"petite","second",386,421,37451,63551,807,101002,2,43,378,9800,45,10178,"1mill"
2,1,"petite","second",364,433,36019,65703,797,101722,1,40,232,9825,41,10057,"1mill"
5,1,"petite","second",384,424,39006,63481,808,102487,2,37,368,9815,39,10183,"1mill"
5,2,"petite","second",25,658,2632,101016,683,103648,1,37,277,9737,38,10014,"1mill"
31,1,"petite","second",374,416,37155,64562,790,101717,3,37,467,9549,40,10016,"1mill"
13,1,"petite","second",383,409,36805,62482,792,99287,2,38,466,9707,40,10173,"1mill"
25,1,"petite","second",395,409,38826,62066,804,100892,1,38,155,9895,39,10050,"1mill"
22,1,"petite","second",383,418,38146,64530,801,102676,3,38,564,9524,41,10088,"1mill"
22,2,"petite","second",37,647,3945,98929,684,102874,1,41,198,9961,42,10159,"1mill"
49,1,"petite","second",376,416,37206,62321,792,99527,1,39,130,9906,40,10036,"1mill"
40,1,"petite","second",385,413,37965,61438,798,99403,2,42,356,9724,44,10080,"1mill"
23,1,"petite","second",395,416,38110,65054,811,103164,3,38,560,9545,41,10105,"1mill"
12,1,"petite","second",390,420,39054,62422,810,101476,2,42,347,9751,44,10098,"1mill"
15,1,"petite","second",367,424,36041,65500,791,101541,1,41,171,9892,42,10063,"1mill"
46,1,"petite","second",377,419,37233,63492,796,100725,2,39,410,9797,41,10207,"1mill"
48,1,"petite","second",365,432,34911,68419,797,103330,2,36,416,9659,38,10075,"1mill"
33,1,"petite","second",368,430,35714,66095,798,101809,2,38,315,9690,40,10005,"1mill"
9,1,"petite","second",394,413,39847,62441,807,102288,4,40,741,9365,44,10106,"1mill"
34,1,"petite","second",389,417,37486,62179,806,99665,3,40,392,9755,43,10147,"1mill"
7,1,"petite","second",384,414,37422,63465,798,100887,1,42,208,10123,43,10331,"1mill"
6,1,"petite","second",390,412,38183,63120,802,101303,2,35,327,9774,37,10101,"1mill"
1,1,"petite","second",395,406,38580,60026,801,98606,1,37,226,9904,38,10130,"1mill"
35,1,"petite","second",381,406,37267,63628,787,100895,1,41,206,9844,42,10050,"1mill"
32,1,"petite","second",384,407,37467,62160,791,99627,1,38,215,10005,39,10220,"1mill"
50,1,"petite","second",366,423,36129,68099,789,104228,2,36,349,9691,38,10040,"1mill"
43,1,"petite","second",389,416,38098,66277,805,104375,1,40,244,9879,41,10123,"1mill"
44,1,"petite","second",390,398,38296,60346,788,98642,1,39,200,9808,40,10008,"1mill"
10,1,"petite","second",374,428,38246,65408,802,103654,1,41,277,9863,42,10140,"1mill"
28,1,"petite","second",388,422,38726,64951,810,103677,1,40,189,9992,41,10181,"1mill"
45,1,"petite","second",363,432,34624,64667,795,99291,1,42,253,9872,43,10125,"1mill"
42,1,"petite","second",371,433,36591,65990,804,102581,1,36,223,9890,37,10113,"1mill"
27,1,"petite","second",364,436,35055,65962,800,101017,1,41,138,10007,42,10145,"1mill"
18,1,"petite","second",384,425,38193,67481,809,105674,1,38,186,9916,39,10102,"1mill"
20,1,"petite","second",387,407,36571,64921,794,101492,1,37,218,9955,38,10173,"1mill"
11,1,"petite","second",371,433,35993,66893,804,102886,1,41,216,9951,42,10167,"1mill"
37,1,"petite","second",3760,4185,370562,630112,7945,1000674,8,401,1602,98591,409,100193,"10mill"
30,1,"petite","second",3718,4271,360460,656619,7989,1017079,9,386,1789,98273,395,100062,"10mill"
39,1,"petite","second",3734,4210,363036,635809,7944,998845,16,391,3145,96962,407,100107,"10mill"
39,2,"petite","second",200,6591,19797,1007949,6791,1027746,1,393,211,100039,394,100250,"10mill"
4,1,"petite","second",3757,4208,369454,632234,7965,1001688,12,399,2522,97502,411,100024,"10mill"
3,1,"petite","second",3772,4175,368276,640445,7947,1008721,13,389,2729,97481,402,100210,"10mill"
2,1,"petite","second",3756,4190,369249,638334,7946,1007583,12,390,2449,97762,402,100211,"10mill"
38,1,"petite","second",3774,4174,372407,632047,7948,1004454,14,392,2790,97328,406,100118,"10mill"
38,2,"petite","second",191,6637,19284,1005616,6828,1024900,1,384,196,99901,385,100097,"10mill"
5,1,"petite","second",3727,4218,362611,638069,7945,1000680,7,397,1426,98787,404,100213,"10mill"
31,1,"petite","second",3754,4195,366659,632113,7949,998772,13,392,2690,97490,405,100180,"10mill"
31,2,"petite","second",187,6425,18165,977788,6612,995953,1,385,144,100010,386,100154,"10mill"
