"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
37,1,"petite","second-15min",513,329,49930,50510,842,100440,8,33,1746,8407,41,10153,"Equal Growth Rates"
37,2,"petite","second-15min",167,565,15764,87464,732,103228,2,41,260,9885,43,10145,"Equal Growth Rates"
30,1,"petite","second-15min",526,342,51255,52042,868,103297,1,43,148,9909,44,10057,"Equal Growth Rates"
39,1,"petite","second-15min",513,326,49749,49456,839,99205,2,44,412,9600,46,10012,"Equal Growth Rates"
4,1,"petite","second-15min",506,333,50279,51860,839,102139,2,42,310,9763,44,10073,"Equal Growth Rates"
3,1,"petite","second-15min",536,308,53866,46919,844,100785,7,38,1231,8838,45,10069,"Equal Growth Rates"
3,2,"petite","second-15min",120,586,11640,88148,706,99788,1,42,240,9863,43,10103,"Equal Growth Rates"
2,1,"petite","second-15min",530,337,52040,51507,867,103547,3,42,591,9477,45,10068,"Equal Growth Rates"
2,2,"petite","second-15min",67,625,6748,93831,692,100579,1,42,260,9809,43,10069,"Equal Growth Rates"
38,1,"petite","second-15min",530,332,53324,48063,862,101387,7,37,1623,8404,44,10027,"Equal Growth Rates"
38,2,"petite","second-15min",166,567,16650,84989,733,101639,1,40,249,9875,41,10124,"Equal Growth Rates"
5,1,"petite","second-15min",533,310,52135,48315,843,100450,3,39,642,9496,42,10138,"Equal Growth Rates"
31,1,"petite","second-15min",508,338,50112,52643,846,102755,3,38,517,9697,41,10214,"Equal Growth Rates"
36,1,"petite","second-15min",517,335,50953,51848,852,102801,4,40,823,9237,44,10060,"Equal Growth Rates"
36,2,"petite","second-15min",79,631,8126,94982,710,103108,1,41,238,9765,42,10003,"Equal Growth Rates"
14,1,"petite","second-15min",533,324,52690,47710,857,100400,6,42,1093,9094,48,10187,"Equal Growth Rates"
13,1,"petite","second-15min",526,334,52334,51236,860,103570,1,42,209,9846,43,10055,"Equal Growth Rates"
25,1,"petite","second-15min",526,329,51596,48997,855,100593,5,42,1022,9105,47,10127,"Equal Growth Rates"
22,1,"petite","second-15min",517,333,50950,52141,850,103091,5,39,994,9117,44,10111,"Equal Growth Rates"
22,2,"petite","second-15min",118,597,11820,90577,715,102397,1,43,173,9985,44,10158,"Equal Growth Rates"
49,1,"petite","second-15min",509,341,51432,53034,850,104466,3,41,531,9624,44,10155,"Equal Growth Rates"
47,1,"petite","second-15min",514,334,49068,50784,848,99852,4,42,762,9421,46,10183,"Equal Growth Rates"
23,1,"petite","second-15min",513,338,50774,51440,851,102214,7,41,1444,8702,48,10146,"Equal Growth Rates"
