"","strain_timepoint","Division_1","Division_2","Division_3","Division_4","Division_5","Division_6","Division_7"
"1","PA1_t1000",1.97,1.92,2.05,2.32,NA,NA,NA
"2","PA1_t200",1.49,1.51,1.25,NA,NA,NA,NA
"3","PA1_t400",1.66,1.67,1.54,1.5,NA,NA,NA
"4","PA1_t600",1.44,1.44,1.4,1.35,1.27,NA,NA
"5","PA2_t1000",1.61,1.59,1.55,1.53,NA,NA,NA
"6","PA2_t200",1.29,1.29,1.25,1.17,NA,NA,NA
"7","PA2_t400",2.09,2.05,1.77,1.61,1.58,NA,NA
"8","PA2_t600",1.52,1.55,1.41,1.4,1.45,1.33,NA
"9","PA3_t1000",1.68,1.71,1.54,1.5,1.58,NA,NA
"10","PA3_t200",1.39,1.37,1.3,NA,NA,NA,NA
"11","PA3_t400",1.57,1.61,1.55,1.5,NA,NA,NA
"12","PA3_t600",1.48,1.46,1.43,1.31,1.25,1.25,1.17
"13","PA4_t1000",1.86,1.89,1.71,1.79,NA,NA,NA
"14","PA4_t200",1.43,1.4,1.21,1.42,NA,NA,NA
"15","PA4_t400",1.81,1.83,1.68,1.58,1.62,2,NA
"16","PA4_t600",1.72,1.74,1.77,1.89,1.79,NA,NA
"17","PA5_t1000",1.59,1.57,1.39,NA,NA,NA,NA
"18","PA5_t200",1.41,1.37,1.31,1.33,NA,NA,NA
"19","PA5_t400",1.61,1.61,1.61,1.67,NA,NA,NA
"20","PA5_t600",1.7,1.72,1.63,1.6,1.57,1.53,NA
"21","grande_t0",1.78,1.77,1.64,NA,NA,NA,NA
"22","petite_t0",2.55,2.05,2.06,1.33,NA,NA,NA
