"sim_number","generation","diameter","strain"
1,0,12,"Petite"
1,1,12,"Petite"
1,2,12,"Petite"
1,3,12,"Petite"
1,4,13,"Petite"
1,5,12,"Petite"
1,6,11,"Petite"
1,7,13,"Petite"
1,8,11,"Petite"
1,9,10,"Petite"
1,10,13,"Petite"
1,11,12,"Petite"
1,12,13,"Petite"
1,13,15,"Petite"
1,14,13,"Petite"
1,15,14,"Petite"
1,16,13,"Petite"
1,17,13,"Petite"
1,18,12,"Petite"
1,19,12,"Petite"
1,20,13,"Petite"
1,21,14,"Petite"
1,22,12,"Petite"
1,23,13,"Petite"
1,24,14,"Petite"
1,25,12,"Petite"
1,26,12,"Petite"
1,27,12,"Petite"
1,28,13,"Petite"
1,29,13,"Petite"
1,30,13,"Petite"
1,31,12,"Petite"
1,32,14,"Petite"
1,33,15,"Petite"
1,34,13,"Petite"
1,35,13,"Petite"
1,36,14,"Petite"
1,37,14,"Petite"
1,38,12,"Petite"
1,39,13,"Petite"
1,40,10,"Petite"
1,41,13,"Petite"
1,42,11,"Petite"
1,43,12,"Petite"
1,44,11,"Petite"
1,45,13,"Petite"
1,46,13,"Petite"
1,47,13,"Petite"
1,48,13,"Petite"
1,49,14,"Petite"
1,50,13,"Petite"
1,51,12,"Petite"
1,52,13,"Petite"
1,53,14,"Petite"
1,54,13,"Petite"
1,55,13,"Petite"
1,56,12,"Petite"
1,57,12,"Petite"
1,58,13,"Petite"
1,59,13,"Petite"
1,60,13,"Petite"
1,61,13,"Petite"
1,62,14,"Petite"
1,63,14,"Petite"
1,64,13,"Petite"
1,65,12,"Petite"
1,66,12,"Petite"
1,67,12,"Petite"
1,68,12,"Petite"
1,69,12,"Petite"
1,70,10,"Petite"
1,71,12,"Petite"
1,72,11,"Petite"
1,73,11,"Petite"
1,74,10,"Petite"
1,75,12,"Petite"
1,76,12,"Petite"
1,77,12,"Petite"
1,78,13,"Petite"
1,79,12,"Petite"
1,80,13,"Petite"
1,81,14,"Petite"
1,82,13,"Petite"
1,83,12,"Petite"
1,84,12,"Petite"
1,85,15,"Petite"
1,86,15,"Petite"
1,87,12,"Petite"
1,88,11,"Petite"
1,89,11,"Petite"
1,90,11,"Petite"
1,91,12,"Petite"
1,92,13,"Petite"
1,93,12,"Petite"
1,94,11,"Petite"
1,95,10,"Petite"
1,96,11,"Petite"
1,97,13,"Petite"
1,98,12,"Petite"
1,99,12,"Petite"
1,100,13,"Petite"
1,101,14,"Petite"
2,0,12,"Petite"
2,1,15,"Petite"
2,2,11,"Petite"
2,3,13,"Petite"
2,4,11,"Petite"
2,5,12,"Petite"
2,6,13,"Petite"
2,7,12,"Petite"
2,8,12,"Petite"
2,9,13,"Petite"
2,10,13,"Petite"
2,11,11,"Petite"
2,12,12,"Petite"
2,13,11,"Petite"
2,14,11,"Petite"
2,15,12,"Petite"
2,16,13,"Petite"
2,17,12,"Petite"
2,18,12,"Petite"
2,19,13,"Petite"
2,20,15,"Petite"
2,21,12,"Petite"
2,22,10,"Petite"
2,23,13,"Petite"
2,24,13,"Petite"
2,25,13,"Petite"
2,26,14,"Petite"
2,27,12,"Petite"
2,28,12,"Petite"
2,29,11,"Petite"
2,30,11,"Petite"
2,31,12,"Petite"
2,32,11,"Petite"
2,33,12,"Petite"
2,34,12,"Petite"
2,35,11,"Petite"
2,36,11,"Petite"
2,37,11,"Petite"
2,38,12,"Petite"
2,39,12,"Petite"
2,40,12,"Petite"
2,41,13,"Petite"
2,42,13,"Petite"
2,43,12,"Petite"
2,44,13,"Petite"
2,45,14,"Petite"
2,46,13,"Petite"
2,47,13,"Petite"
2,48,13,"Petite"
2,49,11,"Petite"
2,50,11,"Petite"
2,51,13,"Petite"
2,52,13,"Petite"
2,53,13,"Petite"
2,54,13,"Petite"
2,55,12,"Petite"
2,56,12,"Petite"
2,57,10,"Petite"
2,58,13,"Petite"
2,59,13,"Petite"
2,60,15,"Petite"
2,61,12,"Petite"
2,62,12,"Petite"
2,63,12,"Petite"
2,64,13,"Petite"
2,65,13,"Petite"
2,66,14,"Petite"
2,67,11,"Petite"
2,68,12,"Petite"
2,69,11,"Petite"
2,70,12,"Petite"
2,71,13,"Petite"
2,72,13,"Petite"
2,73,12,"Petite"
2,74,10,"Petite"
2,75,12,"Petite"
2,76,12,"Petite"
2,77,12,"Petite"
2,78,11,"Petite"
2,79,11,"Petite"
2,80,13,"Petite"
2,81,12,"Petite"
2,82,10,"Petite"
2,83,13,"Petite"
2,84,11,"Petite"
2,85,11,"Petite"
2,86,11,"Petite"
2,87,11,"Petite"
2,88,13,"Petite"
2,89,13,"Petite"
2,90,14,"Petite"
2,91,12,"Petite"
2,92,13,"Petite"
2,93,11,"Petite"
2,94,12,"Petite"
2,95,14,"Petite"
2,96,14,"Petite"
2,97,12,"Petite"
2,98,13,"Petite"
2,99,13,"Petite"
2,100,13,"Petite"
2,101,10,"Petite"
3,0,12,"Petite"
3,1,13,"Petite"
3,2,12,"Petite"
3,3,11,"Petite"
3,4,14,"Petite"
3,5,12,"Petite"
3,6,13,"Petite"
3,7,14,"Petite"
3,8,14,"Petite"
3,9,11,"Petite"
3,10,12,"Petite"
3,11,13,"Petite"
3,12,11,"Petite"
3,13,12,"Petite"
3,14,12,"Petite"
3,15,13,"Petite"
3,16,13,"Petite"
3,17,13,"Petite"
3,18,13,"Petite"
3,19,12,"Petite"
3,20,13,"Petite"
3,21,13,"Petite"
3,22,14,"Petite"
3,23,12,"Petite"
3,24,12,"Petite"
3,25,11,"Petite"
