"file_num","sim_number","size_fracture","volume","gyration_diam","strain"
1,1,252,28159.35,27.39849,"Petite"
1,2,282,31707.38,28.41191,"Petite"
1,3,305,35067.43,30.24314,"Petite"
1,4,267,25604.48,27.8756,"Petite"
1,5,280,28691.89,27.3519,"Petite"
1,6,281,36733.31,30.07254,"Petite"
1,7,295,41081.38,31.09717,"Petite"
1,8,336,52467.14,34.17741,"Petite"
1,9,300,37184.6,29.47384,"Petite"
1,10,299,34284.45,29.52476,"Petite"
1,11,317,39326.72,31.12842,"Petite"
1,12,257,25950.86,27.40514,"Petite"
1,13,311,39986.04,30.08828,"Petite"
1,14,303,34253.86,29.09345,"Petite"
1,15,374,52791.69,33.94613,"Petite"
1,16,255,24843.27,26.74448,"Petite"
1,17,267,31857.84,30.46889,"Petite"
1,18,318,38644.42,30.50116,"Petite"
1,19,330,41489.8,31.01442,"Petite"
1,20,354,54765.65,33.8542,"Petite"
1,21,341,41909.45,31.58042,"Petite"
1,22,283,33030.03,28.51805,"Petite"
1,23,313,38177.74,30.46832,"Petite"
1,24,318,43612.03,31.86148,"Petite"
1,25,384,62034.88,36.4041,"Petite"
1,26,340,49673.29,32.03493,"Petite"
1,27,301,37792.6,29.41383,"Petite"
1,28,284,32952.26,28.67914,"Petite"
1,29,255,33969.92,28.03171,"Petite"
1,30,280,28456.65,27.77018,"Petite"
10,1,327,41142.88,32.73406,"Petite"
10,2,294,39673.15,30.98222,"Petite"
10,3,345,46080.68,30.90484,"Petite"
10,4,219,21644.64,27.30558,"Petite"
10,5,321,40433.43,31.15444,"Petite"
10,6,295,36051.42,29.8542,"Petite"
10,7,329,44487.27,31.07693,"Petite"
10,8,260,29616.53,28.64468,"Petite"
10,9,295,38854.91,33.02343,"Petite"
10,10,297,38433.06,28.94592,"Petite"
10,11,316,42776.24,30.77554,"Petite"
10,12,332,48779.15,31.84759,"Petite"
10,13,316,41384.5,31.41085,"Petite"
10,14,340,47988.88,33.33978,"Petite"
10,15,375,57400.17,33.81734,"Petite"
10,16,312,42916.74,31.44851,"Petite"
10,17,289,28945.87,27.73509,"Petite"
10,18,305,35261.26,29.96936,"Petite"
10,19,328,41217.57,31.27475,"Petite"
10,20,308,41319.45,32.70028,"Petite"
10,21,233,23077.05,26.0051,"Petite"
10,22,323,44002.85,30.59514,"Petite"
10,23,333,47053.16,32.66821,"Petite"
10,24,368,55661.85,35.17883,"Petite"
10,25,370,53110.51,35.65819,"Petite"
10,26,276,35193.53,28.84659,"Petite"
10,27,307,34011.16,29.00147,"Petite"
10,28,331,40920.44,30.18289,"Petite"
10,29,330,40370.9,29.96941,"Petite"
10,30,315,40166.44,30.90799,"Petite"
100,1,306,44372.32,33.52028,"Petite"
