"sim_number","generation","diameter","strain"
1,0,13,"Petite"
1,1,13,"Petite"
1,2,14,"Petite"
1,3,14,"Petite"
1,4,14,"Petite"
1,5,14,"Petite"
1,6,13,"Petite"
1,7,13,"Petite"
1,8,13,"Petite"
1,9,13,"Petite"
1,10,13,"Petite"
1,11,14,"Petite"
1,12,11,"Petite"
1,13,13,"Petite"
1,14,13,"Petite"
1,15,14,"Petite"
1,16,13,"Petite"
1,17,13,"Petite"
1,18,13,"Petite"
1,19,14,"Petite"
1,20,12,"Petite"
1,21,13,"Petite"
1,22,14,"Petite"
1,23,14,"Petite"
1,24,15,"Petite"
1,25,11,"Petite"
1,26,12,"Petite"
1,27,13,"Petite"
1,28,12,"Petite"
1,29,11,"Petite"
1,30,13,"Petite"
1,31,15,"Petite"
1,32,11,"Petite"
1,33,13,"Petite"
1,34,12,"Petite"
1,35,11,"Petite"
1,36,13,"Petite"
1,37,14,"Petite"
1,38,14,"Petite"
1,39,13,"Petite"
1,40,13,"Petite"
1,41,14,"Petite"
1,42,13,"Petite"
1,43,13,"Petite"
1,44,14,"Petite"
1,45,12,"Petite"
1,46,12,"Petite"
1,47,13,"Petite"
1,48,13,"Petite"
1,49,15,"Petite"
1,50,13,"Petite"
1,51,13,"Petite"
1,52,14,"Petite"
1,53,11,"Petite"
1,54,11,"Petite"
1,55,11,"Petite"
1,56,13,"Petite"
1,57,13,"Petite"
1,58,13,"Petite"
1,59,12,"Petite"
1,60,12,"Petite"
1,61,13,"Petite"
1,62,14,"Petite"
1,63,13,"Petite"
1,64,14,"Petite"
1,65,14,"Petite"
1,66,15,"Petite"
1,67,14,"Petite"
1,68,15,"Petite"
1,69,13,"Petite"
1,70,14,"Petite"
1,71,13,"Petite"
1,72,13,"Petite"
1,73,12,"Petite"
1,74,13,"Petite"
1,75,15,"Petite"
1,76,14,"Petite"
1,77,14,"Petite"
1,78,14,"Petite"
1,79,13,"Petite"
1,80,12,"Petite"
1,81,12,"Petite"
1,82,13,"Petite"
1,83,13,"Petite"
1,84,14,"Petite"
1,85,15,"Petite"
1,86,13,"Petite"
1,87,13,"Petite"
1,88,12,"Petite"
1,89,12,"Petite"
1,90,13,"Petite"
1,91,14,"Petite"
1,92,14,"Petite"
1,93,15,"Petite"
1,94,15,"Petite"
1,95,14,"Petite"
1,96,14,"Petite"
1,97,15,"Petite"
1,98,15,"Petite"
1,99,13,"Petite"
1,100,14,"Petite"
1,101,14,"Petite"
2,0,14,"Petite"
2,1,13,"Petite"
2,2,12,"Petite"
2,3,12,"Petite"
2,4,13,"Petite"
2,5,13,"Petite"
2,6,13,"Petite"
2,7,13,"Petite"
2,8,13,"Petite"
2,9,14,"Petite"
2,10,13,"Petite"
2,11,14,"Petite"
2,12,13,"Petite"
2,13,12,"Petite"
2,14,13,"Petite"
2,15,13,"Petite"
2,16,12,"Petite"
2,17,12,"Petite"
2,18,12,"Petite"
2,19,13,"Petite"
2,20,13,"Petite"
2,21,13,"Petite"
2,22,14,"Petite"
2,23,14,"Petite"
2,24,13,"Petite"
2,25,14,"Petite"
2,26,13,"Petite"
2,27,12,"Petite"
2,28,12,"Petite"
2,29,12,"Petite"
2,30,11,"Petite"
2,31,11,"Petite"
2,32,11,"Petite"
2,33,13,"Petite"
2,34,11,"Petite"
2,35,14,"Petite"
2,36,14,"Petite"
2,37,13,"Petite"
2,38,13,"Petite"
2,39,15,"Petite"
2,40,13,"Petite"
2,41,14,"Petite"
2,42,15,"Petite"
2,43,14,"Petite"
2,44,14,"Petite"
2,45,13,"Petite"
2,46,13,"Petite"
2,47,14,"Petite"
2,48,12,"Petite"
2,49,12,"Petite"
2,50,13,"Petite"
2,51,14,"Petite"
2,52,13,"Petite"
2,53,13,"Petite"
2,54,16,"Petite"
2,55,16,"Petite"
2,56,12,"Petite"
2,57,14,"Petite"
2,58,12,"Petite"
2,59,13,"Petite"
2,60,12,"Petite"
2,61,14,"Petite"
2,62,15,"Petite"
2,63,12,"Petite"
2,64,13,"Petite"
2,65,15,"Petite"
2,66,13,"Petite"
2,67,14,"Petite"
2,68,13,"Petite"
2,69,14,"Petite"
2,70,13,"Petite"
2,71,14,"Petite"
2,72,14,"Petite"
2,73,16,"Petite"
2,74,14,"Petite"
2,75,12,"Petite"
2,76,15,"Petite"
2,77,14,"Petite"
2,78,14,"Petite"
2,79,12,"Petite"
2,80,14,"Petite"
2,81,13,"Petite"
2,82,13,"Petite"
2,83,13,"Petite"
2,84,13,"Petite"
