"","LABEL","TRACK_ID","N_PREDECESSORS","N_SUCCESSORS","DELTA_T","DISTANCE","MEAN_VELOCITY","FIRST","LAST","best_ellipse_angle","best_ellipse_id","ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","date","strain","strain_date","complete_id","cell_death","timepoint","strain_timepoint","strain_timepoint_date","id_file","big_clust","cell_id","division_number","mother_cell_id","budd_angle","mother_delta_t","max_num_div","TOTAL_DISTANCE","MEAN_SUCCESSORS_DELAY","MEAN_PREDECESSORS_DELAY","minutes","hours","mother_delta_hours","transfer","unique_id_branch"
"1","Track_0: ID10466 → ID10475",0,0,2,3600,1.90652983768308,0.45380427695747,10466,10475,27.0888135860198,10475,10475,1764,86.675170439963,77.5460548537302,0,3600,12,3.48208751243703,1,NA,12508.7928893905,12612,10396,13787,22165581,675.156124734885,-0.957981455414035,-844.806569451681,-0.0272306221221962,-0.0300239088005431,5.11501098886795,2.42851294802813,0.472788818482677,2.10623171394708,38.0916018337836,25.3286718559701,0.746129592402095,0.96933187294633,4.10390973092924,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0001","1","PA3_t400_6_2023jan12_0001_0",NA,NA,1,NA,NA,NA,60,1,NA,400,"PA3_t400_6_2023jan12_0"
"2","Track_0: ID10451 → ID10491",0,1,0,900,0.679900205594383,0.38507253113466,10451,10491,24.4874350713372,10491,10491,1121,86.6369354495614,77.6826757641125,0,4800,16,2.76617489236838,1,NA,12382.047279215,12417,10874,13572,13880275,519.070674115737,-0.958874824748168,-1112.37217045655,-0.0415084431515884,-0.036633963438902,4.26825310623196,1.84512234130891,0.427386214545171,2.31326292608008,24.0385984453877,20.8775412817825,0.693043196753175,0.966262975778546,4.25818748979568,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0001","2","PA3_t400_6_2023jan12_0001_1",NA,3600,1,NA,NA,NA,15,0.25,1,400,"PA3_t400_6_2023jan12_0"
"3","Track_63: ID10496 → ID10520",63,0,2,2400,1.09308669503473,0.559255050950123,10496,10520,72.8382220059833,10520,10520,2132,111.892707666586,95.6488994835304,0,8700,29,3.82295663845664,1,NA,12835.5656660413,12697,10049,15761,27365426,1190.45103421155,-0.956701885802658,-476.476098934567,0.0131366172899933,0.0139414108735941,4.9060360970897,3.01508737707515,1.27126634074371,1.62716216265975,45.9143686510606,26.1903846815278,0.841152473265598,0.976653696498054,3.86516082285255,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0003","1","PA3_t400_6_2023jan12_0003_0",NA,NA,3,NA,NA,NA,40,0.666666666666667,NA,400,"PA3_t400_6_2023jan12_63"
"4","Track_0: ID15532 → ID10521",0,1,2,6900,3.2041460262547,0.666891413185488,15532,10521,29.9229407315523,10525,10521,1456,78.1232155850317,73.4606619853247,0,10800,36,3.16140906644774,1,NA,12882.0253077975,12839,10218,15224,18833521,720.813255656548,-0.956959630238617,-794.710594182035,-0.0106761601039925,-0.0123988951397275,5.6618438766575,1.82109086762076,0.52937544159761,3.10903973949122,31.3986706641188,27.7167915674613,0.513612061241346,0.892627714897523,4.94637826458085,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0002","1","PA3_t400_6_2023jan12_0001_1",2.83412714553254,3600,1,NA,NA,NA,115,1.91666666666667,1,400,"PA3_t400_6_2023jan12_0"
"5","Track_106: ID10543 → ID10570",106,0,2,1800,0.365671255668436,0.29061264883342,10543,10570,55.6965334587396,10570,10570,2060,103.162356328905,76.9342750593936,0,14100,47,3.75835136068067,1,NA,12335.0834546337,12495,9991,14470,25422607,928.391321296752,-0.955655451168269,-572.666945900393,-0.0463200139984283,-0.0518030695845464,4.47850325036008,3.18664244531035,0.972087543218519,1.40539873149274,44.3756401024078,25.3585004689605,0.867176214508515,0.97933982426977,3.80672280102818,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0006","1","PA3_t400_6_2023jan12_0006_0",NA,NA,3,NA,NA,NA,30,0.5,NA,400,"PA3_t400_6_2023jan12_106"
"6","Track_63: ID14680 → ID10578",63,1,2,5100,5.89836513103358,0.448516617940347,14680,10578,100.191254764418,10578,10578,2485,113.404861502947,106.991198003233,0,14100,47,4.13044003503561,1,NA,12373.295062224,12244,9432,15360,30821878,1397.08678082082,-0.958972769432844,-414.024513042776,-0.0771393282649578,-0.0090860326380358,5.45903293604894,3.29583139985183,-1.39292487818622,1.65634471966447,53.5972510548237,28.9764459536359,0.802162113104364,0.981477832512315,3.95798240298989,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0004","1","PA3_t400_6_2023jan12_0003_1",NA,2400,4,NA,NA,NA,85,1.41666666666667,0.666666666666667,400,"PA3_t400_6_2023jan12_63"
"7","Track_0: ID10533 → ID10580",0,1,0,3300,1.2422208499183,0.399210996549161,10533,10580,32.9668718711924,10565,10580,1436,78.0121221717018,72.8605658015804,0,14400,48,3.12819034210884,1,NA,12833.2050384885,13003,10138,14665,18338650,869.752148008955,-0.95753091568946,-665.349027680528,-0.0330483424238644,-0.0052819940733373,4.14229342683881,2.40216406163621,0.627872740970917,1.72440071558531,30.7422899545536,23.7667296691839,0.683923026085995,0.945087661263644,4.28648510733189,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0002","2","PA3_t400_6_2023jan12_0002_1",16.3885146498692,6900,1,NA,NA,NA,55,0.916666666666667,1.91666666666667,400,"PA3_t400_6_2023jan12_0"
"8","Track_63: ID10508 → ID10582",63,1,2,5400,1.88154422560642,0.337933400224223,10508,10582,74.7543500646375,10582,10582,2197,113.525290410928,97.1867079718666,0,14400,48,3.88384335858925,1,NA,12589.7994555354,12392,9424,15789,27747918,1365.73587754961,-0.957584009133115,-416.226146020786,0.0028455650291235,0.0392496638818606,4.50750997736994,3.39770047984908,1.30470907229915,1.32663547128503,47.3885351627071,25.8574578242584,0.890659077179837,0.979319546364243,3.75620410365136,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0003","2","PA3_t400_6_2023jan12_0003_1",27.3530327584348,2400,3,NA,NA,NA,90,1.5,0.666666666666667,400,"PA3_t400_6_2023jan12_63"
"9","Track_0: ID15560 → ID10654",0,1,2,6900,2.06916235926843,0.557344553486401,15560,10654,46.3114553814215,10654,10654,2139,72.4666203083929,67.279023335297,0,18000,60,3.83101157182716,1,NA,12589.0326492537,12580,10164,14792,26990886,879.819481472644,-0.958140909805822,-655.040843646324,-0.01578266885854,0.0011642590455939,5.04351044359446,2.91600819069754,0.808287088781751,1.72959405933219,46.1080547620799,26.2793121191993,0.838993658445112,0.983249196879303,3.87013035133726,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0005","1","PA3_t400_6_2023jan12_0002_1",NA,6900,2,NA,NA,NA,115,1.91666666666667,1.91666666666667,400,"PA3_t400_6_2023jan12_0"
"10","Track_63: ID14731 → ID10706",63,1,2,5100,5.00848814951402,0.457357513103417,14731,10706,107.411604571673,10706,10706,2232,111.131906012384,117.471418442188,0,19500,65,3.91808611244378,1,NA,11973.2504456328,12005,9135,15053,26867974,1170.91797484352,-0.96086600046935,-502.139262640743,-0.0503932601782736,0.0498504189874202,5.71322686656041,2.76354236904128,-1.2669060459637,2.06735635051705,48.2278416437904,28.0099386260987,0.772473119540954,0.979672131147541,4.03332523970493,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0008","1","PA3_t400_6_2023jan12_0004_1",NA,5100,3,NA,NA,NA,85,1.41666666666667,1.41666666666667,400,"PA3_t400_6_2023jan12_63"
